ctcf	sequence	type
MACS_peak_325	ENSG00000172456	gene
MACS_peak_326	ENSG00000172456	gene
MACS_peak_327	ENSG00000172456	gene
MACS_peak_328	ENSG00000172456	gene
MACS_peak_331	ENSG00000162598	gene
MACS_peak_344	ENSG00000132849	gene
MACS_peak_345	ENSG00000132849	gene
MACS_peak_346	ENSG00000132849	gene
MACS_peak_347	ENSG00000132849	gene
MACS_peak_348	ENSG00000116641	gene
MACS_peak_351	ENSG00000088035	gene
MACS_peak_352	ENSG00000142856	gene
MACS_peak_353	ENSG00000177414	gene
MACS_peak_355	ENSG00000158966	gene
MACS_peak_358	ENSG00000162437	gene
MACS_peak_360	ENSG00000213625	gene
MACS_peak_360	ENSG00000116678	gene
MACS_peak_361	ENSG00000116678	gene
MACS_peak_362	ENSG00000116678	gene
MACS_peak_365	ENSG00000184588	gene
MACS_peak_366	ENSG00000184588	gene
MACS_peak_369	ENSG00000152760	gene
MACS_peak_370	ENSG00000152763	gene
MACS_peak_371	ENSG00000152763	gene
MACS_peak_372	ENSG00000198160	gene
MACS_peak_374	ENSG00000203963	gene
MACS_peak_374	ENSG00000162594	gene
MACS_peak_375	ENSG00000203963	gene
MACS_peak_375	ENSG00000162594	gene
MACS_peak_377	ENSG00000172380	gene
MACS_peak_378	ENSG00000172380	gene
MACS_peak_380	ENSG00000116729	gene
MACS_peak_392	ENSG00000033122	gene
MACS_peak_393	ENSG00000033122	gene
MACS_peak_394	ENSG00000033122	gene
MACS_peak_395	ENSG00000116754	gene
MACS_peak_396	ENSG00000118454	gene
MACS_peak_399	ENSG00000050628	gene
MACS_peak_401	ENSG00000172260	gene
MACS_peak_403	ENSG00000172260	gene
MACS_peak_404	ENSG00000172260	gene
MACS_peak_405	ENSG00000172260	gene
MACS_peak_406	ENSG00000172260	gene
MACS_peak_415	ENSG00000259030	gene
MACS_peak_415	ENSG00000254685	gene
MACS_peak_416	ENSG00000259030	gene
MACS_peak_416	ENSG00000162621	gene
MACS_peak_416	ENSG00000116783	gene
MACS_peak_421	ENSG00000137968	gene
MACS_peak_422	ENSG00000137968	gene
MACS_peak_423	ENSG00000137968	gene
MACS_peak_424	ENSG00000137968	gene
MACS_peak_425	ENSG00000137968	gene
MACS_peak_432	ENSG00000117054	gene
MACS_peak_433	ENSG00000057468	gene
MACS_peak_434	ENSG00000057468	gene
MACS_peak_436	ENSG00000184005	gene
MACS_peak_437	ENSG00000184005	gene
MACS_peak_438	ENSG00000117069	gene
MACS_peak_439	ENSG00000154027	gene
MACS_peak_440	ENSG00000154027	gene
MACS_peak_441	ENSG00000154027	gene
MACS_peak_442	ENSG00000154027	gene
MACS_peak_443	ENSG00000162614	gene
MACS_peak_444	ENSG00000162614	gene
MACS_peak_445	ENSG00000137960	gene
MACS_peak_446	ENSG00000137960	gene
MACS_peak_449	ENSG00000122420	gene
MACS_peak_472	ENSG00000117114	gene
MACS_peak_473	ENSG00000117114	gene
MACS_peak_488	ENSG00000137941	gene
MACS_peak_490	ENSG00000142875	gene
MACS_peak_491	ENSG00000142875	gene
MACS_peak_492	ENSG00000142875	gene
MACS_peak_493	ENSG00000171517	gene
MACS_peak_494	ENSG00000153898	gene
MACS_peak_495	ENSG00000153898	gene
MACS_peak_496	ENSG00000097096	gene
MACS_peak_497	ENSG00000097096	gene
MACS_peak_498	ENSG00000162642	gene
MACS_peak_499	ENSG00000153904	gene
MACS_peak_502	ENSG00000171502	gene
MACS_peak_503	ENSG00000171502	gene
MACS_peak_504	ENSG00000171502	gene
MACS_peak_505	ENSG00000171502	gene
MACS_peak_507	ENSG00000171502	gene
MACS_peak_511	ENSG00000016490	gene
MACS_peak_515	ENSG00000153936	gene
MACS_peak_519	ENSG00000065243	gene
MACS_peak_525	ENSG00000122482	gene
MACS_peak_526	ENSG00000122482	gene
MACS_peak_535	ENSG00000203910	gene
MACS_peak_536	ENSG00000203910	gene
MACS_peak_537	ENSG00000067208	gene
MACS_peak_538	ENSG00000067208	gene
MACS_peak_539	ENSG00000154511	gene
MACS_peak_540	ENSG00000154511	gene
MACS_peak_542	ENSG00000122483	gene
MACS_peak_545	ENSG00000137936	gene
MACS_peak_546	ENSG00000137936	gene
MACS_peak_548	ENSG00000198691	gene
MACS_peak_549	ENSG00000117528	gene
MACS_peak_551	ENSG00000172339	gene
MACS_peak_561	ENSG00000188641	gene
MACS_peak_562	ENSG00000188641	gene
MACS_peak_563	ENSG00000188641	gene
MACS_peak_564	ENSG00000188641	gene
MACS_peak_565	ENSG00000188641	gene
MACS_peak_566	ENSG00000188641	gene
MACS_peak_568	ENSG00000188641	gene
MACS_peak_569	ENSG00000188641	gene
MACS_peak_570	ENSG00000188641	gene
MACS_peak_577	ENSG00000117598	gene
MACS_peak_578	ENSG00000117598	gene
MACS_peak_587	ENSG00000118733	gene
MACS_peak_596	ENSG00000060718	gene
MACS_peak_655	ENSG00000198890	gene
MACS_peak_662	ENSG00000162631	gene
MACS_peak_664	ENSG00000162631	gene
MACS_peak_665	ENSG00000162631	gene
MACS_peak_666	ENSG00000162631	gene
MACS_peak_667	ENSG00000162631	gene
MACS_peak_668	ENSG00000162631	gene
MACS_peak_669	ENSG00000162631	gene
MACS_peak_670	ENSG00000162631	gene
MACS_peak_674	ENSG00000134215	gene
MACS_peak_675	ENSG00000134215	gene
MACS_peak_679	ENSG00000085491	gene
MACS_peak_680	ENSG00000085491	gene
MACS_peak_687	ENSG00000162636	gene
MACS_peak_689	ENSG00000143107	gene
MACS_peak_692	ENSG00000121957	gene
MACS_peak_692	ENSG00000274068	gene
MACS_peak_693	ENSG00000085433	gene
MACS_peak_694	ENSG00000116299	gene
MACS_peak_695	ENSG00000143126	gene
MACS_peak_696	ENSG00000162650	gene
MACS_peak_697	ENSG00000174151	gene
MACS_peak_698	ENSG00000156097	gene
MACS_peak_704	ENSG00000197106	gene
MACS_peak_714	ENSG00000121931	gene
MACS_peak_715	ENSG00000064886	gene
MACS_peak_718	ENSG00000171385	gene
MACS_peak_733	ENSG00000081026	gene
MACS_peak_734	ENSG00000081026	gene
MACS_peak_735	ENSG00000081026	gene
MACS_peak_736	ENSG00000081026	gene
MACS_peak_737	ENSG00000081026	gene
MACS_peak_738	ENSG00000081026	gene
MACS_peak_739	ENSG00000081026	gene
MACS_peak_741	ENSG00000081026	gene
MACS_peak_742	ENSG00000081026	gene
MACS_peak_743	ENSG00000134242	gene
MACS_peak_744	ENSG00000134242	gene
MACS_peak_747	ENSG00000163349	gene
MACS_peak_749	ENSG00000116774	gene
MACS_peak_750	ENSG00000134207	gene
MACS_peak_756	ENSG00000197323	gene
MACS_peak_757	ENSG00000197323	gene
MACS_peak_758	ENSG00000197323	gene
MACS_peak_759	ENSG00000197323	gene
MACS_peak_760	ENSG00000197323	gene
MACS_peak_763	ENSG00000116752	gene
MACS_peak_764	ENSG00000175984	gene
MACS_peak_765	ENSG00000175984	gene
MACS_peak_766	ENSG00000175984	gene
MACS_peak_768	ENSG00000009307	gene
MACS_peak_770	ENSG00000198765	gene
MACS_peak_771	ENSG00000198765	gene
MACS_peak_773	ENSG00000198765	gene
MACS_peak_774	ENSG00000198765	gene
MACS_peak_775	ENSG00000198765	gene
MACS_peak_779	ENSG00000134198	gene
MACS_peak_784	ENSG00000177551	gene
MACS_peak_787	ENSG00000163393	gene
MACS_peak_788	ENSG00000163393	gene
MACS_peak_792	ENSG00000163399	gene
MACS_peak_796	ENSG00000116815	gene
MACS_peak_797	ENSG00000116815	gene
MACS_peak_799	ENSG00000143061	gene
MACS_peak_803	ENSG00000116824	gene
MACS_peak_808	ENSG00000198162	gene
MACS_peak_809	ENSG00000198162	gene
MACS_peak_814	ENSG00000196505	gene
MACS_peak_815	ENSG00000155761	gene
MACS_peak_828	ENSG00000116874	gene
MACS_peak_834	ENSG00000092621	gene
MACS_peak_837	ENSG00000134193	gene
MACS_peak_839	ENSG00000134250	gene
MACS_peak_840	ENSG00000134250	gene
MACS_peak_841	ENSG00000134250	gene
MACS_peak_842	ENSG00000134250	gene
MACS_peak_905	ENSG00000196369	gene
MACS_peak_906	ENSG00000196369	gene
MACS_peak_916	ENSG00000269713	gene
MACS_peak_921	ENSG00000178104	gene
MACS_peak_923	ENSG00000178104	gene
MACS_peak_924	ENSG00000178104	gene
MACS_peak_925	ENSG00000178104	gene
MACS_peak_926	ENSG00000178104	gene
MACS_peak_928	ENSG00000178104	gene
MACS_peak_929	ENSG00000178104	gene
MACS_peak_930	ENSG00000178104	gene
MACS_peak_933	ENSG00000177144	gene
MACS_peak_936	ENSG00000213240	gene
MACS_peak_936	ENSG00000264343	gene
MACS_peak_937	ENSG00000213240	gene
MACS_peak_937	ENSG00000264343	gene
MACS_peak_938	ENSG00000213240	gene
MACS_peak_938	ENSG00000264343	gene
MACS_peak_939	ENSG00000213240	gene
MACS_peak_939	ENSG00000264343	gene
MACS_peak_940	ENSG00000213240	gene
MACS_peak_940	ENSG00000264343	gene
MACS_peak_941	ENSG00000213240	gene
MACS_peak_942	ENSG00000213240	gene
MACS_peak_942	ENSG00000271425	gene
MACS_peak_945	ENSG00000121851	gene
MACS_peak_946	ENSG00000186364	gene
MACS_peak_948	ENSG00000117281	gene
MACS_peak_949	ENSG00000117262	gene
MACS_peak_950	ENSG00000117262	gene
MACS_peak_953	ENSG00000263956	gene
MACS_peak_957	ENSG00000268043	gene
MACS_peak_961	ENSG00000268043	gene
MACS_peak_963	ENSG00000268043	gene
MACS_peak_964	ENSG00000268043	gene
MACS_peak_976	ENSG00000162836	gene
MACS_peak_981	ENSG00000188092	gene
MACS_peak_982	ENSG00000188092	gene
MACS_peak_984	ENSG00000188092	gene
MACS_peak_987	ENSG00000263956	gene
MACS_peak_999	ENSG00000269713	gene
MACS_peak_1005	ENSG00000271383	gene
MACS_peak_1027	ENSG00000203814	gene
MACS_peak_1028	ENSG00000264522	gene
MACS_peak_1030	ENSG00000136631	gene
MACS_peak_1031	ENSG00000136631	gene
MACS_peak_1032	ENSG00000136631	gene
MACS_peak_1033	ENSG00000136631	gene
MACS_peak_1037	ENSG00000143401	gene
MACS_peak_1038	ENSG00000163125	gene
MACS_peak_1039	ENSG00000143374	gene
MACS_peak_1042	ENSG00000143420	gene
MACS_peak_1045	ENSG00000143437	gene
MACS_peak_1049	ENSG00000143458	gene
MACS_peak_1053	ENSG00000143375	gene
MACS_peak_1055	ENSG00000143376	gene
MACS_peak_1056	ENSG00000143376	gene
MACS_peak_1057	ENSG00000143376	gene
MACS_peak_1058	ENSG00000143376	gene
MACS_peak_1059	ENSG00000143376	gene
MACS_peak_1060	ENSG00000159445	gene
MACS_peak_1061	ENSG00000159445	gene
MACS_peak_1088	ENSG00000143624	gene
MACS_peak_1089	ENSG00000143614	gene
MACS_peak_1090	ENSG00000143614	gene
MACS_peak_1091	ENSG00000143614	gene
MACS_peak_1093	ENSG00000143552	gene
MACS_peak_1094	ENSG00000143549	gene
MACS_peak_1095	ENSG00000169291	gene
MACS_peak_1096	ENSG00000163239	gene
MACS_peak_1099	ENSG00000143537	gene
MACS_peak_1100	ENSG00000251246	gene
MACS_peak_1100	ENSG00000143590	gene
MACS_peak_1103	ENSG00000160767	gene
MACS_peak_1104	ENSG00000176444	gene
MACS_peak_1105	ENSG00000116539	gene
MACS_peak_1108	ENSG00000116580	gene
MACS_peak_1109	ENSG00000116584	gene
MACS_peak_1110	ENSG00000132698	gene
MACS_peak_1114	ENSG00000163468	gene
MACS_peak_1115	ENSG00000163468	gene
MACS_peak_1117	ENSG00000116604	gene
MACS_peak_1118	ENSG00000187862	gene
MACS_peak_1128	ENSG00000163534	gene
MACS_peak_1135	ENSG00000197403	gene
MACS_peak_1136	ENSG00000197403	gene
MACS_peak_1140	ENSG00000163564	gene
MACS_peak_1143	ENSG00000163568	gene
MACS_peak_1145	ENSG00000162706	gene
MACS_peak_1156	ENSG00000122218	gene
MACS_peak_1159	ENSG00000117091	gene
MACS_peak_1164	ENSG00000143217	gene
MACS_peak_1173	ENSG00000198929	gene
MACS_peak_1175	ENSG00000117143	gene
MACS_peak_1176	ENSG00000132196	gene
MACS_peak_1177	ENSG00000185860	gene
MACS_peak_1180	ENSG00000143248	gene
MACS_peak_1181	ENSG00000143248	gene
MACS_peak_1182	ENSG00000143248	gene
MACS_peak_1182	ENSG00000143228	gene
MACS_peak_1191	ENSG00000185630	gene
MACS_peak_1192	ENSG00000185630	gene
MACS_peak_1197	ENSG00000143183	gene
MACS_peak_1201	ENSG00000188859	gene
MACS_peak_1211	ENSG00000143195	gene
MACS_peak_1212	ENSG00000143167	gene
MACS_peak_1213	ENSG00000143190	gene
MACS_peak_1215	ENSG00000198771	gene
MACS_peak_1216	ENSG00000198771	gene
MACS_peak_1218	ENSG00000143199	gene
MACS_peak_1228	ENSG00000143156	gene
MACS_peak_1229	ENSG00000143156	gene
MACS_peak_1230	ENSG00000143156	gene
MACS_peak_1231	ENSG00000143156	gene
MACS_peak_1232	ENSG00000117479	gene
MACS_peak_1233	ENSG00000000460	gene
MACS_peak_1233	ENSG00000188404	gene
MACS_peak_1234	ENSG00000000460	gene
MACS_peak_1234	ENSG00000188404	gene
MACS_peak_1235	ENSG00000007908	gene
MACS_peak_1235	ENSG00000000460	gene
MACS_peak_1243	ENSG00000094963	gene
MACS_peak_1246	ENSG00000117533	gene
MACS_peak_1247	ENSG00000010165	gene
MACS_peak_1249	ENSG00000197959	gene
MACS_peak_1251	ENSG00000197959	gene
MACS_peak_1252	ENSG00000197959	gene
MACS_peak_1253	ENSG00000197959	gene
MACS_peak_1254	ENSG00000135845	gene
MACS_peak_1254	ENSG00000197959	gene
MACS_peak_1258	ENSG00000117586	gene
MACS_peak_1263	ENSG00000285777	gene
MACS_peak_1263	ENSG00000183831	gene
MACS_peak_1264	ENSG00000076321	gene
MACS_peak_1265	ENSG00000076321	gene
MACS_peak_1266	ENSG00000135870	gene
MACS_peak_1268	ENSG00000152061	gene
MACS_peak_1269	ENSG00000152061	gene
MACS_peak_1271	ENSG00000152061	gene
MACS_peak_1272	ENSG00000152061	gene
MACS_peak_1273	ENSG00000152061	gene
MACS_peak_1274	ENSG00000152061	gene
MACS_peak_1275	ENSG00000152061	gene
MACS_peak_1276	ENSG00000152061	gene
MACS_peak_1277	ENSG00000152061	gene
MACS_peak_1278	ENSG00000152061	gene
MACS_peak_1279	ENSG00000152061	gene
MACS_peak_1280	ENSG00000152061	gene
MACS_peak_1281	ENSG00000152061	gene
MACS_peak_1282	ENSG00000152061	gene
MACS_peak_1283	ENSG00000152061	gene
MACS_peak_1284	ENSG00000152061	gene
MACS_peak_1285	ENSG00000152061	gene
MACS_peak_1286	ENSG00000152061	gene
MACS_peak_1288	ENSG00000120332	gene
MACS_peak_1290	ENSG00000235750	gene
MACS_peak_1291	ENSG00000116147	gene
MACS_peak_1294	ENSG00000143207	gene
MACS_peak_1295	ENSG00000143207	gene
MACS_peak_1296	ENSG00000143207	gene
MACS_peak_1297	ENSG00000143207	gene
MACS_peak_1298	ENSG00000143207	gene
MACS_peak_1302	ENSG00000116183	gene
MACS_peak_1303	ENSG00000116183	gene
MACS_peak_1304	ENSG00000116183	gene
MACS_peak_1305	ENSG00000198797	gene
MACS_peak_1306	ENSG00000198797	gene
MACS_peak_1307	ENSG00000198797	gene
MACS_peak_1319	ENSG00000075391	gene
MACS_peak_1320	ENSG00000240021	gene
MACS_peak_1321	ENSG00000116191	gene
MACS_peak_1322	ENSG00000116191	gene
MACS_peak_1323	ENSG00000116191	gene
MACS_peak_1326	ENSG00000116199	gene
MACS_peak_1328	ENSG00000143322	gene
MACS_peak_1329	ENSG00000143322	gene
MACS_peak_1330	ENSG00000143322	gene
MACS_peak_1332	ENSG00000057252	gene
MACS_peak_1333	ENSG00000162779	gene
MACS_peak_1334	ENSG00000162779	gene
MACS_peak_1335	ENSG00000162782	gene
MACS_peak_1336	ENSG00000162782	gene
MACS_peak_1337	ENSG00000135837	gene
MACS_peak_1338	ENSG00000116260	gene
MACS_peak_1339	ENSG00000116260	gene
MACS_peak_1340	ENSG00000116260	gene
MACS_peak_1341	ENSG00000230124	gene
MACS_peak_1342	ENSG00000230124	gene
MACS_peak_1343	ENSG00000230124	gene
MACS_peak_1344	ENSG00000230124	gene
MACS_peak_1345	ENSG00000143324	gene
MACS_peak_1346	ENSG00000143324	gene
MACS_peak_1347	ENSG00000143324	gene
MACS_peak_1348	ENSG00000143324	gene
MACS_peak_1349	ENSG00000143324	gene
MACS_peak_1350	ENSG00000143324	gene
MACS_peak_1351	ENSG00000143324	gene
MACS_peak_1352	ENSG00000143324	gene
MACS_peak_1353	ENSG00000143324	gene
MACS_peak_1355	ENSG00000135823	gene
MACS_peak_1360	ENSG00000198216	gene
MACS_peak_1361	ENSG00000198216	gene
MACS_peak_1362	ENSG00000198216	gene
MACS_peak_1365	ENSG00000121446	gene
MACS_peak_1366	ENSG00000121446	gene
MACS_peak_1372	ENSG00000157064	gene
MACS_peak_1375	ENSG00000143344	gene
MACS_peak_1378	ENSG00000116667	gene
MACS_peak_1379	ENSG00000116667	gene
MACS_peak_1380	ENSG00000116667	gene
MACS_peak_1381	ENSG00000116406	gene
MACS_peak_1384	ENSG00000135842	gene
MACS_peak_1387	ENSG00000116668	gene
MACS_peak_1396	ENSG00000143341	gene
MACS_peak_1397	ENSG00000143341	gene
MACS_peak_1398	ENSG00000143341	gene
MACS_peak_1401	ENSG00000116690	gene
MACS_peak_1402	ENSG00000047410	gene
MACS_peak_1403	ENSG00000157181	gene
MACS_peak_1409	ENSG00000116711	gene
MACS_peak_1441	ENSG00000162670	gene
MACS_peak_1442	ENSG00000162670	gene
MACS_peak_1443	ENSG00000162670	gene
MACS_peak_1444	ENSG00000162670	gene
MACS_peak_1445	ENSG00000162670	gene
MACS_peak_1446	ENSG00000162670	gene
MACS_peak_1469	ENSG00000134371	gene
MACS_peak_1469	ENSG00000162630	gene
MACS_peak_1493	ENSG00000162687	gene
MACS_peak_1494	ENSG00000162687	gene
MACS_peak_1495	ENSG00000162687	gene
MACS_peak_1496	ENSG00000162687	gene
MACS_peak_1497	ENSG00000000971	gene
MACS_peak_1498	ENSG00000000971	gene
MACS_peak_1500	ENSG00000244414	gene
MACS_peak_1504	ENSG00000177888	gene
MACS_peak_1506	ENSG00000134376	gene
MACS_peak_1507	ENSG00000134376	gene
MACS_peak_1508	ENSG00000213047	gene
MACS_peak_1509	ENSG00000213047	gene
MACS_peak_1510	ENSG00000213047	gene
MACS_peak_1512	ENSG00000213047	gene
MACS_peak_1513	ENSG00000213047	gene
MACS_peak_1514	ENSG00000213047	gene
MACS_peak_1515	ENSG00000151414	gene
MACS_peak_1519	ENSG00000081237	gene
MACS_peak_1520	ENSG00000081237	gene
MACS_peak_1529	ENSG00000116833	gene
MACS_peak_1530	ENSG00000116833	gene
MACS_peak_1531	ENSG00000116833	gene
MACS_peak_1536	ENSG00000118193	gene
MACS_peak_1538	ENSG00000118200	gene
MACS_peak_1539	ENSG00000118200	gene
MACS_peak_1540	ENSG00000118200	gene
MACS_peak_1542	ENSG00000163362	gene
MACS_peak_1543	ENSG00000081248	gene
MACS_peak_1544	ENSG00000232237	gene
MACS_peak_1545	ENSG00000116857	gene
MACS_peak_1548	ENSG00000159173	gene
MACS_peak_1556	ENSG00000143862	gene
MACS_peak_1559	ENSG00000133067	gene
MACS_peak_1560	ENSG00000077152	gene
MACS_peak_1561	ENSG00000077152	gene
MACS_peak_1562	ENSG00000077157	gene
MACS_peak_1563	ENSG00000077157	gene
MACS_peak_1564	ENSG00000077157	gene
MACS_peak_1565	ENSG00000077157	gene
MACS_peak_1566	ENSG00000143858	gene
MACS_peak_1567	ENSG00000143858	gene
MACS_peak_1572	ENSG00000163444	gene
MACS_peak_1573	ENSG00000143847	gene
MACS_peak_1574	ENSG00000163485	gene
MACS_peak_1575	ENSG00000133055	gene
MACS_peak_1576	ENSG00000133063	gene
MACS_peak_1577	ENSG00000133063	gene
MACS_peak_1578	ENSG00000133063	gene
MACS_peak_1579	ENSG00000133063	gene
MACS_peak_1580	ENSG00000133063	gene
MACS_peak_1581	ENSG00000133063	gene
MACS_peak_1584	ENSG00000122176	gene
MACS_peak_1588	ENSG00000188783	gene
MACS_peak_1589	ENSG00000188770	gene
MACS_peak_1593	ENSG00000058673	gene
MACS_peak_1593	ENSG00000257315	gene
MACS_peak_1600	ENSG00000143839	gene
MACS_peak_1601	ENSG00000143839	gene
MACS_peak_1603	ENSG00000143850	gene
MACS_peak_1604	ENSG00000143850	gene
MACS_peak_1605	ENSG00000143850	gene
MACS_peak_1607	ENSG00000133056	gene
MACS_peak_1609	ENSG00000198625	gene
MACS_peak_1613	ENSG00000163531	gene
MACS_peak_1614	ENSG00000184144	gene
