community_id	newman	bynode	totalfrac
179	-1	0	0
180	NaN	1	1
213	-0.14285714285714285	0.2	0.25
181	-1	0	0
182	-1	0	0
183	-1	0	0
184	-1	0	0
186	-1	0	0
187	-1	0	0
189	-1	0	0
190	NaN	1	1
191	-1	0	0
192	-1	0	0
193	-1	0	0
194	-1	0	0
195	-1	0	0
196	-1	0	0
197	-1	0	0
80	-0.38461538461538464	0	0
198	NaN	1	1
199	-1	0	0
200	-1	0	0
201	-1	0	0
312	0.06250000000000006	0.4583333333333333	0.4
203	-0.6	0	0
204	-0.6	0	0
205	-1	0	0
206	-1	0	0
207	NaN	1	1
208	-1	0	0
209	-1	0	0
210	-1	0	0
211	-1	0	0
212	-1	0	0
297	-0.09090909090909094	0.375	0.3333333333333333
17	-0.6	0	0
214	NaN	1	1
215	-1	0	0
216	-1	0	0
217	-0.6	0	0
219	-0.3333333333333333	0.5	0.5
220	-0.38461538461538464	0	0
221	-1	0	0
222	-0.6	0	0
223	NaN	1	1
224	-0.6	0	0
225	NaN	1	1
226	-1	0	0
227	NaN	1	1
228	-1	0	0
229	-1	0	0
230	-1	0	0
231	-1	0	0
232	-1	0	0
12	-0.3333333333333333	0.5	0.5
233	-1	0	0
234	-1	0	0
235	NaN	1	1
236	NaN	1	1
237	-0.6	0	0
238	-1	0	0
239	NaN	1	1
240	-0.6	0	0
241	-0.6	0	0
242	-1	0	0
244	-0.6	0	0
245	-0.3333333333333333	0.5	0.5
246	-1	0	0
247	-0.6363636363636364	0	0
249	NaN	1	1
250	-0.6	0	0
251	-1	0	0
253	-1	0	0
254	-1	0	0
255	-1	0	0
256	-1	0	0
257	-1	0	0
258	-1	0	0
259	NaN	1	1
260	-0.6	0	0
261	-1	0	0
262	-1	0	0
263	-1	0	0
264	-0.19402985074626924	0.5166666666666666	0.6
266	-1	0	0
16	NaN	1	1
269	NaN	1	1
270	-1	0	0
271	-1	0	0
272	-1	0	0
273	NaN	1	1
275	NaN	1	1
276	-1	0	0
277	NaN	1	1
278	-1	0	0
279	-1	0	0
280	NaN	1	1
281	-1	0	0
282	NaN	1	1
283	NaN	1	1
284	-0.6	0	0
285	-1	0	0
286	-1	0	0
287	NaN	1	1
316	-0.11999999999999966	0.7179653679653679	0.7142857142857143
288	-1	0	0
293	-0.38461538461538464	0	0
289	-1	0	0
290	-1	0	0
15	-0.3333333333333333	0.5	0.5
291	NaN	1	1
292	-1	0	0
294	-1	0	0
295	-1	0	0
296	-1	0	0
299	-1	0	0
325	-0.09090909090909094	0.375	0.3333333333333333
300	NaN	1	1
303	NaN	1	1
304	-0.6	0	0
305	-0.6	0	0
306	-1	0	0
307	-1	0	0
308	-1	0	0
309	-0.3333333333333333	0.5	0.5
310	NaN	1	1
311	-1	0	0
313	-1	0	0
314	-1	0	0
315	NaN	1	1
317	-1	0	0
319	-1	0	0
320	NaN	1	1
321	-1	0	0
322	-1	0	0
323	-1	0	0
324	-1	0	0
327	NaN	1	1
328	-0.6	0	0
329	NaN	1	1
331	NaN	1	1
332	-1	0	0
333	NaN	1	1
334	-1	0	0
335	NaN	1	1
336	-1	0	0
337	-0.6	0	0
338	-1	0	0
339	-1	0	0
341	-1	0	0
342	NaN	1	1
343	NaN	1	1
344	-1	0	0
345	-1	0	0
346	-1	0	0
347	NaN	1	1
348	-1	0	0
349	NaN	1	1
350	NaN	1	1
351	NaN	1	1
352	NaN	1	1
353	NaN	1	1
354	NaN	1	1
355	-1	0	0
356	NaN	1	1
357	-1	0	0
359	-1	0	0
360	-1	0	0
361	NaN	1	1
362	NaN	1	1
363	-1	0	0
364	-1	0	0
365	-1	0	0
366	NaN	1	1
367	-1	0	0
368	NaN	1	1
369	NaN	1	1
371	NaN	1	1
