ensemblID	chr	start	end	band	symbol	isHK	isTF
ENSG00000070831	1	22052627	22092946	p36.12	CDC42	1	0
ENSG00000071189	7	17790761	17940501	p21.1	SNX13	1	0
ENSG00000071462	7	73683025	73705161	q11.23	BUD23	0	0
ENSG00000071994	6	170575295	170584692	q27	PDCD2	1	0
ENSG00000072134	17	19215615	19336715	p11.2	EPN2	0	0
ENSG00000072518	11	63838928	63911019	q13.1	MARK2	0	0
ENSG00000072571	5	163460203	163491945	q34	HMMR	0	0
ENSG00000072778	17	7217125	7225273	p13.1	ACADVL	1	0
ENSG00000072803	5	171861549	172006873	q35.1	FBXW11	1	0
ENSG00000072840	4	5711197	5814305	p16.2	EVC	0	0
ENSG00000072849	17	5471251	5486811	p13.2	DERL2	1	0
ENSG00000073050	19	43543040	43580473	q13.31	XRCC1	0	0
ENSG00000073111	3	127598223	127622436	q21.3	MCM2	0	0
ENSG00000073169	22	50200979	50217616	q13.33	SELENOO	0	0
ENSG00000073536	17	35128753	35142315	q12	NLE1	0	0
ENSG00000073614	12	280129	389454	p13.33	KDM5A	0	0
ENSG00000073969	17	46590669	46757464	q21.31	NSF	0	0
ENSG00000074071	16	1771890	1773155	p13.3	MRPS34	1	0
ENSG00000074201	11	77514936	77637805	q14.1	CLNS1A	1	0
ENSG00000074219	19	49340595	49362457	q13.33	TEAD2	0	1
ENSG00000074266	11	86244544	86278813	q14.2	EED	1	0
ENSG00000074319	11	18468336	18527232	p15.1	TSG101	1	0
ENSG00000074356	17	3802165	3846251	p13.2	NCBP3	0	0
ENSG00000074603	15	65442463	65517704	q22.31	DPP8	0	0
ENSG00000074696	15	65530418	65578352	q22.31	HACD3	0	0
ENSG00000074755	17	4004445	4143020	p13.2	ZZEF1	0	0
ENSG00000074935	6	112070777	112087529	q21	TUBE1	0	0
ENSG00000075188	12	102073103	102120124	q23.2	NUP37	0	0
ENSG00000075218	22	46296741	46330810	q13.31	GTSE1	0	0
ENSG00000075240	22	46576012	46679790	q13.31	GRAMD4	1	0
ENSG00000075303	7	87833568	87876357	q21.12	SLC25A40	0	0
ENSG00000075336	18	74148511	74160530	q22.3	TIMM21	1	0
ENSG00000075914	3	44975241	45036066	p21.31	EXOSC7	1	0
ENSG00000076043	11	114439386	114450279	q23.2	REXO2	0	0
ENSG00000076053	11	114400030	114414203	q23.2	RBM7	1	0
ENSG00000076201	3	47381011	47413441	p21.31	PTPN23	1	0
ENSG00000076351	17	28394756	28407197	q11.2	SLC46A1	0	0
ENSG00000076924	19	7619525	7629565	p13.2	XAB2	0	0
ENSG00000076944	19	7636881	7647873	p13.2	STXBP2	0	0
ENSG00000077147	10	96518109	96587452	q24.1	TM9SF3	1	0
ENSG00000077235	16	27459555	27549913	p12.1	GTF3C1	1	0
ENSG00000077254	1	77695987	77759852	p31.1	USP33	1	0
ENSG00000077458	11	95768942	95790409	q21	FAM76B	0	0
ENSG00000077463	19	4174109	4182604	p13.3	SIRT6	1	0
ENSG00000077549	1	19338776	19485539	p36.13	CAPZB	1	0
ENSG00000077721	X	119574467	119591083	q24	UBE2A	1	0
ENSG00000078043	18	46803224	46920160	q21.1	PIAS2	0	0
ENSG00000078061	X	47561100	47571920	p11.3	ARAF	1	0
ENSG00000078140	4	39698044	39782792	p14	UBE2K	1	0
ENSG00000078142	18	41955206	42087830	q12.3	PIK3C3	1	0
ENSG00000078246	12	2877223	2941140	p13.33	TULP3	0	0
ENSG00000078304	14	101761798	101927989	q32.31	PPP2R5C	1	0
ENSG00000078369	1	1785285	1891117	p36.33	GNB1	1	0
ENSG00000078668	8	42391624	42405897	p11.21	VDAC3	1	0
ENSG00000078808	1	1216908	1232031	p36.33	SDF4	1	0
ENSG00000078902	11	1274371	1309654	p15.5	TOLLIP	1	0
ENSG00000079134	18	214520	268050	p11.32	THOC1	0	0
ENSG00000079313	19	1815246	1848463	p13.3	REXO1	1	0
ENSG00000079459	8	11795573	11839309	p23.1	FDFT1	1	0
ENSG00000079616	16	29790719	29805385	p11.2	KIF22	0	0
ENSG00000079974	22	50767501	50783663	q13.33	RABL2B	0	0
ENSG00000080603	16	30698209	30741409	p11.2	SRCAP	0	1
ENSG00000080608	9	2720469	2844241	p24.2	PUM3	0	0
ENSG00000080802	7	135361795	135510127	q33	CNOT4	1	0
ENSG00000080815	14	73136418	73223691	q24.2	PSEN1	1	0
ENSG00000080986	18	2571511	2616635	p11.32	NDC80	0	0
ENSG00000081019	1	113761832	113812476	p13.2	RSBN1	0	0
ENSG00000081087	6	108041409	108165854	q21	OSTM1	1	0
ENSG00000081177	14	69191511	69244020	q24.1	EXD2	1	0
ENSG00000081870	1	53916574	53945929	p32.3	HSPB11	0	0
ENSG00000081913	18	62715450	62980433	q21.33	PHLPP1	0	0
ENSG00000081923	18	57646426	57803315	q21.31	ATP8B1	0	0
ENSG00000082213	5	31532266	31555058	p13.3	C5orf22	0	0
ENSG00000082458	X	70444861	70505490	q13.1	DLG3	0	0
ENSG00000082516	5	154887416	154938209	q33.2	GEMIN5	0	0
ENSG00000082701	3	119821323	120094417	q13.33	GSK3B	1	0
ENSG00000083093	16	23603160	23641310	p12.2	PALB2	0	0
ENSG00000083097	6	83067666	83171350	q14.1	DOP1A	0	0
ENSG00000083099	6	89568144	89638753	q15	LYRM2	0	0
ENSG00000083123	6	80106647	80346270	q14.1	BCKDHB	0	0
ENSG00000083168	8	41929479	42052026	p11.21	KAT6A	0	0
ENSG00000083290	17	19770829	19867936	p11.2	ULK2	0	0
ENSG00000083457	17	3714628	3801243	p13.2	ITGAE	0	0
ENSG00000083520	13	72752169	72782096	q21.33	DIS3	1	0
ENSG00000083535	13	72782059	73016461	q21.33	PIBF1	0	0
ENSG00000083635	13	44939249	44989483	q14.12	NUFIP1	0	0
ENSG00000083838	19	58474017	58481230	q13.43	ZNF446	1	1
ENSG00000083845	19	58386400	58394806	q13.43	RPS5	1	0
ENSG00000084073	1	40258107	40294184	p34.2	ZMPSTE24	1	0
ENSG00000084112	12	108778192	108857590	q24.11	SSH1	0	0
ENSG00000084444	12	13044284	13142521	p13.1	FAM234B	0	0
ENSG00000084463	12	14784579	14803540	p12.3	WBP11	1	0
ENSG00000084652	1	32179686	32198285	p35.2	TXLNA	1	0
ENSG00000085377	6	105277565	105403084	q21	PREP	1	0
ENSG00000085382	6	104728093	104859919	q16.3	HACE1	0	0
ENSG00000085415	18	12947133	12987536	p11.21	SEH1L	1	0
ENSG00000085433	1	108970214	109042113	p13.3	WDR47	0	0
ENSG00000085644	16	3129777	3142805	p13.3	ZNF213	0	1
ENSG00000085788	8	38225218	38275558	p11.23	DDHD2	0	0
ENSG00000085840	1	52372829	52404459	p32.3	ORC1	0	0
ENSG00000085872	19	16517889	16542530	p13.11	CHERP	1	0
ENSG00000085978	2	233210051	233295674	q37.1	ATG16L1	1	0
ENSG00000085998	1	46188682	46220305	p34.1	POMGNT1	1	0
ENSG00000085999	1	46247688	46278473	p34.1	RAD54L	0	0
ENSG00000086015	1	45786987	46036124	p34.1	MAST2	0	0
ENSG00000086061	9	33025211	33039907	p21.1	DNAJA1	0	0
ENSG00000086189	5	62387254	62403939	q12.1	DIMT1	1	0
ENSG00000086200	5	62403972	62628582	q12.1	IPO11	0	0
ENSG00000086232	7	6022244	6059230	p22.1	EIF2AK1	1	0
ENSG00000086475	10	13317424	13348298	p13	SEPHS1	1	0
ENSG00000086504	16	366969	371289	p13.3	MRPL28	1	0
ENSG00000086589	5	150690794	150701107	q33.1	RBM22	0	0
ENSG00000086619	1	236215555	236281985	q42.3	ERO1B	0	0
ENSG00000086712	X	16786427	16844519	p22.2	TXLNG	1	0
ENSG00000086758	X	53532096	53686729	p11.22	HUWE1	1	0
ENSG00000086827	11	113733187	113773811	q23.2	ZW10	1	0
ENSG00000086848	11	111782195	111871581	q23.1	ALG9	1	0
ENSG00000087053	11	95832882	95925315	q21	MTMR2	0	0
ENSG00000087095	17	28041737	28196381	q11.2	NLK	0	0
ENSG00000087111	17	28553383	28571872	q11.2	PIGS	1	0
ENSG00000087152	17	44191805	44200113	q21.31	ATXN7L3	1	0
ENSG00000087157	17	78378640	78425114	q25.3	PGS1	0	0
ENSG00000087191	17	63827152	63832026	q23.3	PSMC5	1	0
ENSG00000087263	16	56451490	56479100	q13	OGFOD1	1	0
ENSG00000087274	4	2843857	2930076	p16.3	ADD1	0	0
ENSG00000087299	14	50237563	50312548	q21.3	L2HGDH	0	0
ENSG00000087302	14	51989475	52010691	q22.1	RTRAF	0	0
ENSG00000087502	12	29337352	29381189	p11.22	ERGIC2	1	0
ENSG00000087884	11	77821109	77918432	q14.1	AAMDC	0	0
ENSG00000088038	19	54137717	54155708	q13.42	CNOT3	1	0
ENSG00000088247	19	6413348	6424794	p13.3	KHSRP	1	0
ENSG00000088256	19	3094410	3124004	p13.3	GNA11	0	0
ENSG00000088298	20	35115357	35147364	q11.22	EDEM2	0	0
ENSG00000088325	20	31739271	31801805	q11.21	TPX2	0	0
ENSG00000088387	13	98793429	99086625	q32.3	DOCK9	0	0
ENSG00000088448	13	110878540	110915069	q34	ANKRD10	1	0
ENSG00000088451	13	94574051	94596257	q32.1	TGDS	0	0
ENSG00000088682	16	57447425	57461275	q21	COQ9	0	0
ENSG00000088727	3	47228026	47283451	p21.31	KIF9	0	0
ENSG00000088808	14	103733195	103847590	q32.33	PPP1R13B	0	0
ENSG00000088812	20	3471040	3651122	p13	ATRN	1	0
ENSG00000088833	20	1442162	1473842	p13	NSFL1C	1	0
ENSG00000088876	20	2481817	2524702	p13	ZNF343	1	1
ENSG00000088888	20	3846799	3876123	p13	MAVS	1	0
ENSG00000088930	20	21303304	21389827	p11.22	XRN2	0	0
ENSG00000088970	20	21125983	21246622	p11.23	KIZ	0	0
ENSG00000089006	20	17941597	17968980	p11.23	SNX5	1	0
ENSG00000089022	12	111841978	111902238	q24.12	MAPKAPK5	1	0
ENSG00000089048	20	13714322	13784886	p12.1	ESF1	1	0
ENSG00000089053	12	121308245	121399896	q24.31	ANAPC5	1	0
ENSG00000089063	20	5068232	5113103	p12.3	TMEM230	1	0
ENSG00000089091	20	18383367	18467281	p11.23	DZANK1	0	0
ENSG00000089123	20	13389392	13638940	p12.1	TASP1	0	0
ENSG00000089154	12	120127203	120194710	q24.23	GCN1	0	0
ENSG00000089195	20	5937235	5950558	p12.3	TRMT6	0	0
ENSG00000089220	12	118135858	118145584	q24.23	PEBP1	1	0
ENSG00000089234	12	111642146	111685986	q24.12	BRAP	0	0
ENSG00000089289	X	70133449	70166324	q13.1	IGBP1	0	0
ENSG00000089597	11	62624826	62646726	q12.3	GANAB	1	0
ENSG00000089685	17	78214186	78225636	q25.3	BIRC5	0	0
ENSG00000089693	12	6747996	6767475	p13.31	MLF2	1	0
ENSG00000089818	12	8076939	8097859	p13.31	NECAP1	1	0
ENSG00000089876	10	125836337	125896436	q26.2	DHX32	1	0
ENSG00000089902	14	102592661	102730576	q32.31	RCOR1	0	0
ENSG00000089916	14	76151916	76254342	q24.3	GPATCH2L	0	0
ENSG00000090060	14	96501433	96567111	q32.2	PAPOLA	1	0
ENSG00000090263	7	141002610	141015228	q34	MRPS33	1	0
ENSG00000090316	4	1289851	1340147	p16.3	MAEA	1	0
ENSG00000090372	19	46719507	46746994	q13.32	STRN4	0	0
ENSG00000090432	1	20499448	20508161	p36.12	MUL1	1	0
ENSG00000090470	15	65117379	65133836	q22.31	PDCD7	0	0
ENSG00000090487	15	64963021	64990310	q22.31	SPG21	1	0
ENSG00000090539	3	184380073	184390736	q27.1	CHRD	0	0
ENSG00000090615	12	132768909	132828858	q24.33	GOLGA3	1	0
ENSG00000090674	19	7522626	7534009	p13.2	MCOLN1	1	0
ENSG00000090686	1	21678298	21783606	p36.12	USP48	0	0
ENSG00000090863	16	74447427	74607144	q23.1	GLG1	1	0
ENSG00000090889	X	70290090	70420832	q13.1	KIF4A	0	0
ENSG00000090905	16	24610209	24827632	p12.1	TNRC6A	1	0
ENSG00000090989	4	55853616	55905034	q12	EXOC1	1	0
ENSG00000091009	5	146203600	146289132	q32	RBM27	1	0
ENSG00000091127	7	105439661	105522267	q22.3	PUS7	1	0
ENSG00000091140	7	107890970	107931730	q31.1	DLD	1	0
ENSG00000091157	18	56651343	57036606	q21.31	WDR7	0	0
ENSG00000091164	18	56597208	56651600	q21.31	TXNL1	1	0
ENSG00000091542	17	18183078	18209954	p11.2	ALKBH5	1	0
ENSG00000091640	17	4959226	4967872	p13.2	SPAG7	1	0
ENSG00000091651	16	46689643	46698394	q11.2	ORC6	0	0
ENSG00000091732	7	130018286	130051451	q32.2	ZC3HC1	0	0
ENSG00000092201	14	21351472	21384266	q11.2	SUPT16H	0	0
ENSG00000092203	14	21476597	21499175	q11.2	TOX4	1	0
ENSG00000092330	14	24239643	24242674	q12	TINF2	1	0
ENSG00000092439	15	50552473	50686815	q21.2	TRPM7	0	0
ENSG00000092470	15	43826963	43868419	q15.3	WDR76	0	0
ENSG00000092531	15	42491233	42545356	q15.1	SNAP23	1	0
ENSG00000092820	6	158765741	158819412	q25.3	EZR	0	0
ENSG00000092853	1	35720218	35769967	p34.3	CLSPN	0	0
ENSG00000092871	17	35005990	35089319	q12	RFFL	0	0
ENSG00000093000	22	45163841	45188015	q13.31	NUP50	0	0
ENSG00000093009	22	19479459	19520612	q11.21	CDC45	0	0
ENSG00000093183	3	42547969	42601080	p22.1	SEC22C	1	0
ENSG00000095139	11	118572390	118603033	q23.3	ARCN1	1	0
ENSG00000095574	10	122990806	123008817	q26.13	IKZF5	1	1
ENSG00000095787	10	28532493	28623112	p12.1	WAC	1	0
ENSG00000095906	16	1782901	1789191	p13.3	NUBP2	1	0
ENSG00000095970	6	41158506	41163186	p21.1	TREM2	0	0
ENSG00000096401	6	44387525	44450426	p21.1	CDC5L	1	1
ENSG00000096746	10	68331174	68343191	q21.3	HNRNPH3	0	0
ENSG00000099246	10	27504174	27542237	p12.1	RAB18	1	0
ENSG00000099330	19	17226204	17229219	p13.11	OCEL1	1	0
ENSG00000099331	19	17075781	17214537	p13.11	MYO9B	0	0
ENSG00000099341	19	38374536	38383824	q13.2	PSMD8	1	0
ENSG00000099381	16	30957294	30984664	p11.2	SETD1A	0	0
ENSG00000099385	16	30833626	30894960	p11.2	BCL7C	0	0
ENSG00000099622	19	1259384	1274880	p13.3	CIRBP	0	0
ENSG00000099800	19	2425624	2427894	p13.3	TIMM13	1	0
ENSG00000099804	19	531712	542092	p13.3	CDC34	0	0
ENSG00000099810	9	21802543	21937651	p21.3	MTAP	0	0
ENSG00000099817	19	1086579	1095380	p13.3	POLR2E	1	0
ENSG00000099821	19	617224	633604	p13.3	POLRMT	0	0
ENSG00000099849	11	560404	564021	p15.5	RASSF7	0	0
ENSG00000099875	19	2037465	2051244	p13.3	MKNK2	0	0
ENSG00000099889	22	19969896	20016808	q11.21	ARVCF	0	0
ENSG00000099899	22	20111866	20117392	q11.21	TRMT2A	1	0
ENSG00000099901	22	20115938	20127357	q11.21	RANBP1	1	0
ENSG00000099904	22	20129456	20148007	q11.21	ZDHHC8	1	0
ENSG00000099910	22	20441519	20495883	q11.21	KLHL22	0	0
ENSG00000099917	22	20495913	20587632	q11.21	MED15	0	0
ENSG00000099940	22	20858983	20891218	q11.21	SNAP29	1	0
ENSG00000099942	22	20917426	20953749	q11.21	CRKL	1	0
ENSG00000099949	22	20982013	20999038	q11.21	LZTR1	1	0
ENSG00000099956	22	23786931	23838008	q11.23	SMARCB1	1	0
ENSG00000099958	22	23834503	23839128	q11.23	DERL3	0	0
ENSG00000099968	22	17628855	17730855	q11.21	BCL2L13	1	0
ENSG00000099991	22	24011192	24178628	q11.23	CABIN1	0	0
ENSG00000099995	22	30331988	30356947	q12.2	SF3A1	1	0
ENSG00000100023	22	21666009	21700015	q11.21	PPIL2	0	0
ENSG00000100028	22	24555503	24609980	q11.23	SNRPD3	1	0
ENSG00000100029	22	30576625	30607083	q12.2	PES1	1	0
ENSG00000100030	22	21754500	21867680	q11.22	MAPK1	1	0
ENSG00000100056	22	19130279	19144684	q11.21	ESS2	0	0
ENSG00000100075	22	19175575	19178830	q11.21	SLC25A1	0	0
ENSG00000100083	22	37608475	37633564	q13.1	GGA1	0	0
ENSG00000100084	22	19330698	19447450	q11.21	HIRA	0	0
ENSG00000100099	22	26443423	26483837	q12.1	HPS4	0	0
ENSG00000100104	22	26483877	26494658	q12.1	SRRD	1	0
ENSG00000100105	22	31325804	31346232	q12.2	PATZ1	1	1
ENSG00000100109	22	26491225	26512505	q12.1	TFIP11	1	0
ENSG00000100124	22	37830855	37849327	q13.1	ANKRD54	0	0
ENSG00000100129	22	37848868	37889407	q13.1	EIF3L	1	0
ENSG00000100138	22	41673930	41690504	q13.2	SNU13	0	0
ENSG00000100150	22	31753867	31908033	q12.2	DEPDC5	0	0
ENSG00000100151	22	38056311	38075701	q13.1	PICK1	1	0
ENSG00000100196	22	38468062	38483447	q13.1	KDELR3	0	0
ENSG00000100207	22	42160013	42343616	q13.2	TCF20	1	1
ENSG00000100209	22	28742031	28757515	q12.1	HSCB	1	0
ENSG00000100211	22	38656636	38673854	q13.1	CBY1	0	0
ENSG00000100216	22	38681948	38685421	q13.1	TOMM22	1	0
ENSG00000100220	22	32387582	32412255	q12.3	RTCB	0	0
ENSG00000100221	22	38685543	38701556	q13.1	JOSD1	0	0
ENSG00000100225	22	32474676	32498829	q12.3	FBXO7	1	0
ENSG00000100226	22	38705723	38738299	q13.1	GTPBP1	0	0
ENSG00000100227	22	42583721	42614962	q13.2	POLDIP3	1	0
ENSG00000100239	22	50343304	50445090	q13.33	PPP6R2	1	0
ENSG00000100241	22	50445000	50475024	q13.33	SBF1	0	0
ENSG00000100246	22	38778508	38794198	q13.1	DNAL4	0	0
ENSG00000100258	22	50502949	50507691	q13.33	LMF2	1	0
ENSG00000100263	22	29259852	29268209	q12.2	RHBDD3	1	0
ENSG00000100266	22	42835412	43015145	q13.2	PACSIN2	1	0
ENSG00000100271	22	43039644	43089428	q13.2	TTLL1	0	0
ENSG00000100280	22	29327680	29423179	q12.2	AP1B1	1	0
ENSG00000100281	22	35257452	35295807	q12.3	HMGXB4	1	0
ENSG00000100284	22	35299275	35347994	q12.3	TOM1	0	0
ENSG00000100294	22	43132206	43143394	q13.2	MCAT	1	0
ENSG00000100297	22	35400063	35425430	q12.3	MCM5	0	0
ENSG00000100304	22	43166622	43187133	q13.2	TTLL12	0	0
ENSG00000100307	22	39120167	39152674	q13.1	CBX7	0	0
ENSG00000100319	22	29730956	29767011	q12.2	ZMAT5	1	0
ENSG00000100320	22	35738736	36028425	q12.3	RBFOX2	0	0
ENSG00000100324	22	39399741	39437060	q13.1	TAB1	1	0
ENSG00000100325	22	29788608	29838304	q12.2	ASCC2	0	0
ENSG00000100330	22	29883155	30030866	q12.2	MTMR3	1	0
ENSG00000100335	22	39499432	39518132	q13.1	MIEF1	0	0
ENSG00000100345	22	36281277	36388067	q12.3	MYH9	0	0
ENSG00000100347	22	43955421	44010531	q13.31	SAMM50	1	0
ENSG00000100348	22	36467036	36482030	q12.3	TXN2	1	0
ENSG00000100353	22	36510850	36529436	q12.3	EIF3D	1	0
ENSG00000100354	22	40044817	40335808	q13.1	TNRC6B	0	0
ENSG00000100359	22	40370591	40410289	q13.1	SGSM3	1	0
ENSG00000100360	22	36758202	36776256	q12.3	IFT27	1	0
ENSG00000100364	22	45190338	45240769	q13.31	KIAA0930	0	0
ENSG00000100372	22	40769630	40819399	q13.2	SLC25A17	0	0
ENSG00000100380	22	40824535	40857022	q13.2	ST13	0	0
ENSG00000100387	22	40951347	40973309	q13.2	RBX1	1	0
ENSG00000100393	22	41091786	41180079	q13.2	EP300	0	0
ENSG00000100395	22	41205205	41231271	q13.2	L3MBTL2	1	0
ENSG00000100401	22	41245611	41286251	q13.2	RANGAP1	1	0
ENSG00000100403	22	41301522	41360147	q13.2	ZC3H7B	1	0
ENSG00000100410	22	41459717	41468725	q13.2	PHF5A	1	0
ENSG00000100412	22	41469125	41528989	q13.2	ACO2	0	0
ENSG00000100413	22	41525804	41544606	q13.2	POLR3H	0	0
ENSG00000100416	22	46330875	46357340	q13.31	TRMU	0	0
ENSG00000100417	22	41576894	41589890	q13.2	PMM1	0	0
ENSG00000100418	22	41598028	41621096	q13.2	DESI1	1	0
