ensemblID	chr	start	end	band	symbol	isHK	isTF	community
ENSG00000071462	7	73683025	73705161	q11.23	BUD23	0	0	268
ENSG00000071553	X	154428632	154436516	q28	ATP6AP1	1	0	326
ENSG00000071564	19	1609290	1652605	p13.3	TCF3	0	1	326
ENSG00000071626	19	1407569	1435687	p13.3	DAZAP1	1	0	218
ENSG00000072062	19	14091688	14118084	p13.12	PRKACA	1	0	326
ENSG00000072110	14	68874143	68979440	q24.1	ACTN1	0	0	127
ENSG00000072121	14	67727374	67816590	q24.1	ZFYVE26	0	0	326
ENSG00000072571	5	163460203	163491945	q34	HMMR	0	0	318
ENSG00000072840	4	5711197	5814305	p16.2	EVC	0	0	19
ENSG00000072952	11	10573091	10693988	p15.4	MRVI1	0	0	127
ENSG00000072958	19	16197578	16245907	p13.11	AP1M1	1	0	60
ENSG00000073614	12	280129	389454	p13.33	KDM5A	0	0	330
ENSG00000073711	3	135965673	136147891	q22.2	PPP2R3A	0	0	25
ENSG00000073712	14	52857268	52952435	q22.1	FERMT2	0	0	60
ENSG00000074416	3	127689062	128052190	q21.3	MGLL	0	0	60
ENSG00000074527	12	95657807	95791152	q22	NTN4	0	0	127
ENSG00000074603	15	65442463	65517704	q22.31	DPP8	0	0	268
ENSG00000074660	17	1633858	1645747	p13.3	SCARF1	0	0	326
ENSG00000075218	22	46296741	46330810	q13.31	GTSE1	0	0	318
ENSG00000075275	22	46360834	46537170	q13.31	CELSR1	0	0	85
ENSG00000075292	2	71276561	71435069	p13.3	ZNF638	1	0	298
ENSG00000075336	18	74148511	74160530	q22.3	TIMM21	1	0	268
ENSG00000075415	12	98593591	98606379	q23.1	SLC25A3	1	0	60
ENSG00000075426	2	28392448	28417312	p23.2	FOSL2	0	1	25
ENSG00000075651	3	171600405	171810950	q26.31	PLD1	0	0	19
ENSG00000075790	7	107579977	107629170	q22.3	BCAP29	1	0	326
ENSG00000076555	12	109116595	109268226	q24.11	ACACB	0	0	60
ENSG00000076826	19	7595902	7618304	p13.2	CAMSAP3	0	0	326
ENSG00000076984	19	7903843	7914478	p13.2	MAP2K7	0	0	45
ENSG00000077092	3	25174332	25597932	p24.2	RARB	0	1	19
ENSG00000077238	16	27313668	27364778	p12.1	IL4R	0	0	19
ENSG00000077274	X	111245103	111270523	q23	CAPN6	0	0	45
ENSG00000077616	11	90131515	90192894	q14.3	NAALAD2	0	0	60
ENSG00000077721	X	119574467	119591083	q24	UBE2A	1	0	268
ENSG00000078140	4	39698044	39782792	p14	UBE2K	1	0	20
ENSG00000078237	12	4307763	4354593	p13.32	TIGAR	0	0	25
ENSG00000078304	14	101761798	101927989	q32.31	PPP2R5C	1	0	268
ENSG00000078618	1	51789191	51878937	p32.3	NRDC	0	0	60
ENSG00000078668	8	42391624	42405897	p11.21	VDAC3	1	0	326
ENSG00000078687	17	77959240	78108835	q25.3	TNRC6C	0	0	218
ENSG00000078804	20	34704290	34713439	q11.22	TP53INP2	0	0	25
ENSG00000078900	1	3652520	3736201	p36.32	TP73	0	1	326
ENSG00000079215	5	36606355	36688334	p13.2	SLC1A3	0	0	60
ENSG00000079308	2	217799588	218033982	q35	TNS1	0	0	268
ENSG00000079459	8	11795573	11839309	p23.1	FDFT1	1	0	274
ENSG00000079691	6	25279078	25620530	p22.2	CARMIL1	0	0	19
ENSG00000079739	1	63593276	63660245	p31.3	PGM1	0	0	60
ENSG00000079999	19	10486120	10503741	p13.2	KEAP1	0	0	163
ENSG00000080298	9	3218297	3526004	p24.2	RFX3	0	1	25
ENSG00000080573	19	9959561	10010471	p13.2	COL5A3	0	0	268
ENSG00000080603	16	30698209	30741409	p11.2	SRCAP	0	1	330
ENSG00000080986	18	2571511	2616635	p11.32	NDC80	0	0	318
ENSG00000081087	6	108041409	108165854	q21	OSTM1	1	0	243
ENSG00000081181	14	67619798	67651720	q24.1	ARG2	0	0	25
ENSG00000081760	12	125065379	125143333	q24.31	AACS	0	0	60
ENSG00000082146	2	201387858	201480846	q33.1	STRADB	0	0	60
ENSG00000082516	5	154887416	154938209	q33.2	GEMIN5	0	0	21
ENSG00000082641	17	48048329	48061487	q21.32	NFE2L1	0	1	163
ENSG00000082781	3	124761948	124901418	q21.2	ITGB5	0	0	60
ENSG00000083093	16	23603160	23641310	p12.2	PALB2	0	0	25
ENSG00000083123	6	80106647	80346270	q14.1	BCKDHB	0	0	60
ENSG00000083290	17	19770829	19867936	p11.2	ULK2	0	0	60
ENSG00000083307	8	101492432	101669726	q22.3	GRHL2	0	1	326
ENSG00000083312	5	72816312	72916733	q13.2	TNPO1	1	0	268
ENSG00000083807	19	58479512	58512413	q13.43	SLC27A5	0	0	163
ENSG00000083812	19	58467045	58475436	q13.43	ZNF324	0	1	25
ENSG00000084073	1	40258107	40294184	p34.2	ZMPSTE24	1	0	60
ENSG00000084676	2	24491914	24770702	p23.3	NCOA1	1	1	110
ENSG00000084754	2	26190635	26244726	p23.3	HADHA	1	0	60
ENSG00000085276	3	169083499	169663618	q26.2	MECOM	0	1	110
ENSG00000085365	5	78360583	78479071	q14.1	SCAMP1	0	0	163
ENSG00000085788	8	38225218	38275558	p11.23	DDHD2	0	0	326
ENSG00000085982	2	233475520	233566782	q37.1	USP40	0	0	60
ENSG00000085998	1	46188682	46220305	p34.1	POMGNT1	1	0	22
ENSG00000085999	1	46247688	46278473	p34.1	RAD54L	0	0	318
ENSG00000086015	1	45786987	46036124	p34.1	MAST2	0	0	202
ENSG00000086062	9	33104082	33167356	p21.1	B4GALT1	0	0	326
ENSG00000086544	19	40717103	40740860	q13.2	ITPKC	1	0	25
ENSG00000086570	5	151504093	151568944	q33.1	FAT2	0	0	326
ENSG00000086827	11	113733187	113773811	q23.2	ZW10	1	0	218
ENSG00000086848	11	111782195	111871581	q23.1	ALG9	1	0	23
ENSG00000086991	11	89324356	89498187	q14.3	NOX4	0	0	19
ENSG00000087074	19	48872392	48876057	q13.33	PPP1R15A	0	0	218
ENSG00000087111	17	28553383	28571872	q11.2	PIGS	1	0	60
ENSG00000087245	16	55389700	55506691	q12.2	MMP2	0	0	19
ENSG00000087253	16	55508998	55586670	q12.2	LPCAT2	0	0	19
ENSG00000087299	14	50237563	50312548	q21.3	L2HGDH	0	0	60
ENSG00000087365	11	66050729	66069308	q13.1	SF3B2	1	0	326
ENSG00000087884	11	77821109	77918432	q14.1	AAMDC	0	0	268
ENSG00000088038	19	54137717	54155708	q13.42	CNOT3	1	0	60
ENSG00000088325	20	31739271	31801805	q11.21	TPX2	0	0	318
ENSG00000088356	20	31944342	31952092	q11.21	PDRG1	0	0	218
ENSG00000088367	20	36091504	36232799	q11.23	EPB41L1	0	0	268
ENSG00000088766	20	6006090	6040053	p12.3	CRLS1	1	0	60
ENSG00000088827	20	3686970	3707128	p13	SIGLEC1	0	0	340
ENSG00000088832	20	1368978	1393172	p13	FKBP1A	0	0	19
ENSG00000088899	20	3162617	3173592	p13	LZTS3	0	0	326
ENSG00000089048	20	13714322	13784886	p12.1	ESF1	1	0	45
ENSG00000089053	12	121308245	121399896	q24.31	ANAPC5	1	0	268
ENSG00000089057	20	4852356	5010293	p13	SLC23A2	0	0	218
ENSG00000089280	16	31180110	31194871	p11.2	FUS	0	0	25
ENSG00000089335	19	34677639	34686397	q13.11	ZNF302	0	1	25
ENSG00000089351	19	34994784	35026471	q13.11	GRAMD1A	0	0	45
ENSG00000089685	17	78214186	78225636	q25.3	BIRC5	0	0	318
ENSG00000089693	12	6747996	6767475	p13.31	MLF2	1	0	330
ENSG00000089916	14	76151916	76254342	q24.3	GPATCH2L	0	0	69
ENSG00000090097	3	51957454	51974016	p21.2	PCBP4	0	0	19
ENSG00000090273	1	26900238	26946862	p36.11	NUDC	1	0	45
ENSG00000090376	12	66188879	66254622	q14.3	IRAK3	0	0	19
ENSG00000090520	3	186567403	186585800	q27.3	DNAJB11	1	0	71
ENSG00000090889	X	70290090	70420832	q13.1	KIF4A	0	0	318
ENSG00000090905	16	24610209	24827632	p12.1	TNRC6A	1	0	25
ENSG00000090989	4	55853616	55905034	q12	EXOC1	1	0	265
ENSG00000091127	7	105439661	105522267	q22.3	PUS7	1	0	45
ENSG00000091136	7	107923799	108003255	q31.1	LAMB1	0	0	60
ENSG00000091140	7	107890970	107931730	q31.1	DLD	1	0	60
ENSG00000091483	1	241497603	241519761	q43	FH	1	0	60
ENSG00000091640	17	4959226	4967872	p13.2	SPAG7	1	0	326
ENSG00000091732	7	130018286	130051451	q32.2	ZC3HC1	0	0	268
ENSG00000091844	6	153004459	153131249	q25.2	RGS17	0	0	60
ENSG00000091879	8	6499651	6563409	p23.1	ANGPT2	0	0	19
ENSG00000091986	3	112596794	112649530	q13.2	CCDC80	0	0	19
ENSG00000092330	14	24239643	24242674	q12	TINF2	1	0	268
ENSG00000092445	15	41557675	41583586	q15.1	TYRO3	0	0	268
ENSG00000092470	15	43826963	43868419	q15.3	WDR76	0	0	1
ENSG00000092820	6	158765741	158819412	q25.3	EZR	0	0	25
ENSG00000092853	1	35720218	35769967	p34.3	CLSPN	0	0	318
ENSG00000092929	17	75827225	75844717	q25.1	UNC13D	0	0	19
ENSG00000093009	22	19479459	19520612	q11.21	CDC45	0	0	318
ENSG00000093144	6	127288710	127343609	q22.33	ECHDC1	1	0	60
ENSG00000095139	11	118572390	118603033	q23.3	ARCN1	1	0	268
ENSG00000095370	9	127738317	127778741	q34.11	SH2D3C	0	0	110
ENSG00000095539	10	100969518	100985871	q24.31	SEMA4G	0	0	202
ENSG00000095585	10	96191702	96271587	q24.1	BLNK	0	0	302
ENSG00000095637	10	95311771	95561414	q24.1	SORBS1	0	0	268
ENSG00000095787	10	28532493	28623112	p12.1	WAC	1	0	177
ENSG00000096401	6	44387525	44450426	p21.1	CDC5L	1	1	25
ENSG00000096696	6	7541575	7586717	p24.3	DSP	0	0	326
ENSG00000097033	1	86704570	86748184	p22.3	SH3GLB1	1	0	268
ENSG00000099341	19	38374536	38383824	q13.2	PSMD8	1	0	60
ENSG00000099381	16	30957294	30984664	p11.2	SETD1A	0	0	19
ENSG00000099783	19	8444767	8489114	p13.2	HNRNPM	1	0	45
ENSG00000099785	19	8413270	8439017	p13.2	MARCH2	1	0	268
ENSG00000099795	19	14566078	14572062	p13.12	NDUFB7	1	0	60
ENSG00000099812	19	751126	764318	p13.3	MISP	0	0	24
ENSG00000099860	19	2476122	2478259	p13.3	GADD45B	0	0	25
ENSG00000099899	22	20111866	20117392	q11.21	TRMT2A	1	0	218
ENSG00000099901	22	20115938	20127357	q11.21	RANBP1	1	0	177
ENSG00000099904	22	20129456	20148007	q11.21	ZDHHC8	1	0	25
ENSG00000099958	22	23834503	23839128	q11.23	DERL3	0	0	177
ENSG00000099960	22	21028718	21032840	q11.21	SLC7A4	0	0	243
ENSG00000099968	22	17628855	17730855	q11.21	BCL2L13	1	0	60
ENSG00000100034	22	21919420	21952837	q11.22	PPM1F	0	0	218
ENSG00000100075	22	19175575	19178830	q11.21	SLC25A1	0	0	60
ENSG00000100077	22	25564849	25729294	q12.1	GRK3	0	0	60
ENSG00000100083	22	37608475	37633564	q13.1	GGA1	0	0	26
ENSG00000100104	22	26483877	26494658	q12.1	SRRD	1	0	25
ENSG00000100124	22	37830855	37849327	q13.1	ANKRD54	0	0	177
ENSG00000100138	22	41673930	41690504	q13.2	SNU13	0	0	177
ENSG00000100162	22	41938721	41947164	q13.2	CENPM	0	0	318
ENSG00000100207	22	42160013	42343616	q13.2	TCF20	1	1	27
ENSG00000100220	22	32387582	32412255	q12.3	RTCB	0	0	19
ENSG00000100221	22	38685543	38701556	q13.1	JOSD1	0	0	25
ENSG00000100234	22	32801701	32863043	q12.3	TIMP3	0	0	326
ENSG00000100241	22	50445000	50475024	q13.33	SBF1	0	0	69
ENSG00000100284	22	35299275	35347994	q12.3	TOM1	0	0	177
ENSG00000100288	22	50578949	50601455	q13.33	CHKB	1	0	28
ENSG00000100290	22	43110748	43129712	q13.2	BIK	0	0	326
ENSG00000100297	22	35400063	35425430	q12.3	MCM5	0	0	1
ENSG00000100307	22	39120167	39152674	q13.1	CBX7	0	0	218
ENSG00000100312	22	50738196	50745334	q13.33	ACR	0	0	116
ENSG00000100324	22	39399741	39437060	q13.1	TAB1	1	0	163
ENSG00000100330	22	29883155	30030866	q12.2	MTMR3	1	0	330
ENSG00000100342	22	36253010	36267530	q12.3	APOL1	0	0	60
ENSG00000100345	22	36281277	36388067	q12.3	MYH9	0	0	127
ENSG00000100359	22	40370591	40410289	q13.1	SGSM3	1	0	29
ENSG00000100364	22	45190338	45240769	q13.31	KIAA0930	0	0	243
ENSG00000100365	22	36860988	36878015	q12.3	NCF4	0	0	340
ENSG00000100380	22	40824535	40857022	q13.2	ST13	0	0	151
ENSG00000100387	22	40951347	40973309	q13.2	RBX1	1	0	177
ENSG00000100393	22	41091786	41180079	q13.2	EP300	0	0	30
ENSG00000100401	22	41245611	41286251	q13.2	RANGAP1	1	0	218
ENSG00000100412	22	41469125	41528989	q13.2	ACO2	0	0	60
ENSG00000100413	22	41525804	41544606	q13.2	POLR3H	0	0	19
ENSG00000100417	22	41576894	41589890	q13.2	PMM1	0	0	60
ENSG00000100441	14	24429286	24441834	q12	KHNYN	1	0	218
ENSG00000100448	14	24573522	24576260	q12	CTSG	0	0	10
ENSG00000100568	14	67647075	67674831	q24.1	VTI1B	1	0	268
ENSG00000100600	14	92703807	92748702	q32.12	LGMN	0	0	340
ENSG00000100603	14	77717599	77761207	q24.3	SNW1	1	0	45
ENSG00000100605	14	92936914	93116320	q32.12	ITPK1	1	0	268
ENSG00000100626	14	69259277	69357033	q24.1	GALNT16	0	0	19
ENSG00000100697	14	95086228	95158010	q32.13	DICER1	0	0	60
ENSG00000100714	14	64388031	64463457	q23.3	MTHFD1	0	0	60
ENSG00000100722	14	88562909	88627596	q31.3	ZC3H14	0	0	69
ENSG00000100731	14	70907405	71115382	q24.2	PCNX1	0	0	60
ENSG00000100796	14	91457611	91510554	q32.12	PPP4R3A	0	0	163
ENSG00000100804	14	23016543	23035230	q11.2	PSMB5	1	0	268
ENSG00000100815	14	91965991	92040896	q32.12	TRIP11	0	0	326
ENSG00000100842	14	23356402	23365752	q11.2	EFS	0	0	25
ENSG00000100865	14	102341102	102362916	q32.31	CINP	1	0	45
ENSG00000100889	14	24094053	24110598	q11.2	PCK2	0	0	60
ENSG00000100906	14	35401511	35404749	q13.2	NFKBIA	0	0	32
ENSG00000100911	14	24143362	24147570	q12	PSME2	0	0	2
ENSG00000100934	14	39031919	39109646	q21.1	SEC23A	1	0	268
ENSG00000100941	14	39175183	39183218	q21.1	PNN	1	0	45
ENSG00000100949	14	24265538	24271739	q12	RABGGTA	1	0	268
ENSG00000101019	20	35302566	35412141	q11.22	UQCC1	0	0	60
ENSG00000101052	20	43590931	43647296	q13.12	IFT52	0	0	31
ENSG00000101096	20	51386957	51562831	q13.2	NFATC2	0	1	25
ENSG00000101126	20	50888916	50931421	q13.13	ADNP	1	1	330
ENSG00000101144	20	57168748	57266629	q13.31	BMP7	0	0	326
ENSG00000101152	20	63895182	63936031	q13.33	DNAJC5	1	0	330
ENSG00000101160	20	58995185	59007247	q13.32	CTSZ	0	0	326
ENSG00000101187	20	62642445	62685785	q13.33	SLCO4A1	0	0	32
ENSG00000101191	20	62877738	62937952	q13.33	DIDO1	1	0	330
ENSG00000101193	20	62938119	62948475	q13.33	GID8	1	0	33
ENSG00000101220	20	3753508	3768387	p13	C20orf27	0	0	60
ENSG00000101230	20	13221771	13300651	p12.1	ISM1	0	0	127
ENSG00000101246	20	63698642	63708025	q13.33	ARFRP1	1	0	45
ENSG00000101265	20	4780023	4823645	p13	RASSF2	0	0	19
ENSG00000101280	20	869899	916317	p13	ANGPT4	0	0	25
ENSG00000101310	20	18507482	18561415	p11.23	SEC23B	0	0	25
ENSG00000101331	20	32010450	32032180	q11.21	CCM2L	0	0	110
ENSG00000101336	20	32052188	32101856	q11.21	HCK	0	0	34
ENSG00000101353	20	37101226	37179588	q11.23	MROH8	0	0	60
ENSG00000101361	20	2652145	2658393	p13	NOP56	1	0	45
ENSG00000101367	20	32819893	32850405	q11.21	MAPRE1	0	0	25
ENSG00000101413	20	38033546	38127780	q11.23	RPRD1B	1	0	330
ENSG00000101442	20	38748442	38772520	q11.23	ACTR5	1	0	35
ENSG00000101445	20	38805705	38923024	q11.23	PPP1R16B	0	0	218
ENSG00000101447	20	38926312	38953106	q11.23	FAM83D	0	0	318
ENSG00000101474	20	24962925	24992979	p11.21	APMAP	0	0	60
ENSG00000101558	18	9914002	9960021	p11.22	VAPA	1	0	302
ENSG00000101680	18	6941744	7117814	p11.31	LAMA1	0	0	326
ENSG00000101752	18	21704957	21870957	q11.2	MIB1	1	0	25
ENSG00000101846	X	7219456	7354810	p22.31	STS	0	0	268
ENSG00000102007	X	49171926	49175239	p11.23	PLP2	0	0	19
ENSG00000102010	X	15464246	15556529	p22.2	BMX	0	0	110
ENSG00000102038	X	129446501	129523500	q26.1	SMARCA1	0	0	45
ENSG00000102096	X	48913182	48919024	p11.23	PIM2	0	0	177
ENSG00000102100	X	48903180	48911958	p11.23	SLC35A2	1	0	326
ENSG00000102144	X	77910739	78129296	q21.1	PGK1	1	0	298
ENSG00000102181	X	150766337	150898816	q28	CD99L2	1	0	268
ENSG00000102221	X	46912276	47061242	p11.3	JADE3	0	0	268
ENSG00000102225	X	47217860	47229997	p11.3	CDK16	1	0	60
ENSG00000102241	X	136497079	136512346	q26.3	HTATSF1	0	0	45
ENSG00000102302	X	54445454	54496166	p11.22	FGD1	0	0	326
ENSG00000102359	X	100644166	100675788	q22.1	SRPX2	0	0	110
ENSG00000102362	X	100674491	100732123	q22.1	SYTL4	0	0	60
ENSG00000102390	X	76172936	76178204	q13.3	PBDC1	1	0	45
ENSG00000102531	13	48975912	49209779	q14.2	FNDC3A	1	0	151
ENSG00000102543	13	49247925	49293485	q14.2	CDADC1	0	0	330
ENSG00000102572	13	98445185	98577940	q32.2	STK24	0	0	60
ENSG00000102575	19	11574660	11579008	p13.2	ACP5	0	0	340
ENSG00000102738	13	40729135	40771173	q14.11	MRPS31	1	0	25
ENSG00000102753	13	49699307	49792921	q14.2	KPNA3	0	0	268
ENSG00000102786	13	51354077	51454264	q14.3	INTS6	0	0	25
ENSG00000102802	13	30906191	30925572	q12.3	MEDAG	0	0	19
ENSG00000102871	16	67154180	67160298	q22.1	TRADD	0	0	32
ENSG00000102886	16	30104810	30113856	p11.2	GDPD3	0	0	177
ENSG00000102890	16	67199111	67204029	q22.1	ELMO3	0	0	326
ENSG00000102893	16	47461123	47701523	q12.1	PHKB	1	0	19
ENSG00000102898	16	67846732	67872567	q22.1	NUTF2	1	0	268
ENSG00000102901	16	67828157	67847811	q22.1	CENPT	1	1	36
ENSG00000102935	16	49487524	49857919	q12.1	ZNF423	0	1	268
ENSG00000102962	16	57358772	57366190	q21	CCL22	0	0	243
ENSG00000102974	16	67562407	67639185	q22.1	CTCF	1	1	330
ENSG00000103035	16	74296775	74306288	q23.1	PSMD7	1	0	268
ENSG00000103037	16	58515479	58521181	q21	SETD6	1	0	268
ENSG00000103150	16	83899126	83927026	q23.3	MLYCD	0	0	60
ENSG00000103274	16	10743786	10769351	p13.13	NUBP1	1	0	45
ENSG00000103363	16	2771414	2777297	p13.3	ELOB	0	0	45
ENSG00000103423	16	4425805	4456775	p13.3	DNAJA3	1	0	25
ENSG00000103490	16	31201485	31203450	p11.2	PYCARD	0	0	37
ENSG00000103496	16	31032889	31042975	p11.2	STX4	1	0	45
ENSG00000103544	16	19555240	19706793	p12.3	VPS35L	0	0	326
ENSG00000103549	16	30761745	30776307	p11.2	RNF40	1	0	45
ENSG00000103591	15	67201033	67255195	q23	AAGAB	1	0	302
ENSG00000103710	15	65053337	65076690	q22.31	RASL12	0	0	127
ENSG00000103855	15	73683966	73714518	q24.1	CD276	0	0	19
ENSG00000103876	15	80152490	80186946	q25.1	FAH	0	0	60
ENSG00000103942	15	82836946	82986153	q25.2	HOMER2	0	0	19
ENSG00000103966	15	41895939	41972578	q15.1	EHD4	0	0	326
ENSG00000103978	15	42210452	42273663	q15.1	TMEM87A	1	0	326
ENSG00000103994	15	42412823	42491141	q15.1	ZNF106	0	0	268
ENSG00000104140	15	40872214	40874289	q15.1	RHOV	0	0	326
ENSG00000104177	15	48134631	48178517	q21.1	MYEF2	0	0	326
ENSG00000104205	8	66667596	66862022	q13.1	SGK3	0	0	85
ENSG00000104213	8	17576433	17644071	p22	PDGFRL	0	0	19
ENSG00000104218	8	67062426	67196263	q13.1	CSPP1	0	0	38
ENSG00000104290	8	28494205	28574268	p21.1	FZD3	0	0	326
ENSG00000104325	8	90001405	90052092	q21.3	DECR1	0	0	60
ENSG00000104327	8	90058608	90095475	q21.3	CALB1	0	0	326
ENSG00000104331	8	56957933	56993844	q12.1	IMPAD1	1	0	268
ENSG00000104332	8	41261958	41309497	p11.21	SFRP1	0	0	326
ENSG00000104343	8	73780097	73878910	q21.11	UBE2W	1	0	185
ENSG00000104388	8	60516857	60623627	q12.1	RAB2A	1	0	19
ENSG00000104413	8	94641074	94707466	q22.1	ESRP1	0	0	326
ENSG00000104450	8	100157906	100259278	q22.2	SPAG1	0	0	326
ENSG00000104549	8	124998497	125022283	q24.13	SQLE	0	0	326
ENSG00000104635	8	22367249	22434129	p21.3	SLC39A14	0	0	32
ENSG00000104783	19	43766533	43781261	q13.31	KCNN4	0	0	326
ENSG00000104805	19	48900050	48923372	q13.33	NUCB1	1	0	326
ENSG00000104812	19	48968125	48993310	q13.33	GYS1	0	0	60
ENSG00000104853	19	44954585	44993341	q13.32	CLPTM1	1	0	110
ENSG00000104881	19	45379634	45406349	q13.32	PPP1R13L	0	0	19
ENSG00000104886	19	2230084	2237704	p13.3	PLEKHJ1	1	0	60
ENSG00000104888	19	49429401	49442360	q13.33	SLC17A7	0	0	19
ENSG00000104892	19	45333434	45351520	q13.32	KLC3	0	0	326
ENSG00000104936	19	45769717	45782552	q13.32	DMPK	0	0	268
ENSG00000104953	19	2977446	2995184	p13.3	TLE6	0	0	163
ENSG00000104979	19	13774168	13778462	p13.13	C19orf53	1	0	60
ENSG00000104980	19	7926718	7943920	p13.2	TIMM44	1	0	326
ENSG00000105011	19	14119509	14136956	p13.12	ASF1B	0	0	318
ENSG00000105085	19	16574907	16629062	p13.11	MED26	0	0	218
ENSG00000105186	19	32597007	32676597	q13.11	ANKRD27	0	0	25
ENSG00000105220	19	34359480	34402413	q13.11	GPI	1	0	60
ENSG00000105221	19	40230317	40285536	q13.2	AKT2	0	0	60
ENSG00000105289	19	3708109	3750813	p13.3	TJP3	0	0	326
ENSG00000105321	19	47255980	47273701	q13.32	CCDC9	0	0	45
ENSG00000105325	19	3506273	3538330	p13.3	FZR1	1	0	326
ENSG00000105329	19	41301587	41353911	q13.2	TGFB1	0	0	151
ENSG00000105355	19	4838341	4867768	p13.3	PLIN3	1	0	326
