source	target	MI	distance	row_num	interaction_type
ENSG00000130635	ENSG00000168542	0.398731	NA	48	Trans
ENSG00000111206	ENSG00000148773	0.398061	NA	49	Trans
ENSG00000143384	ENSG00000163659	0.39564	NA	50	Trans
ENSG00000143384	ENSG00000144655	0.393527	NA	51	Trans
ENSG00000120738	ENSG00000122877	0.391878	NA	52	Trans
ENSG00000157514	ENSG00000179094	0.39141	NA	53	Trans
ENSG00000066279	ENSG00000175063	0.390497	NA	54	Trans
ENSG00000088325	ENSG00000148773	0.389687	NA	55	Trans
ENSG00000072571	ENSG00000112984	0.389289	25281484	56	Inter-Cytoband
ENSG00000159208	ENSG00000167074	0.38769	NA	57	Trans
ENSG00000042286	ENSG00000092445	0.386575	NA	58	Trans
ENSG00000129354	ENSG00000132698	0.386359	NA	59	Trans
ENSG00000104413	ENSG00000175707	0.385479	NA	60	Trans
ENSG00000173846	ENSG00000179820	0.384001	NA	61	Trans
ENSG00000104413	ENSG00000129354	0.382887	NA	62	Trans
ENSG00000126787	ENSG00000175063	0.381267	NA	63	Trans
ENSG00000111206	ENSG00000112984	0.381251	NA	64	Trans
ENSG00000133561	ENSG00000133574	0.38002	58098	65	Intra-Cytoband
ENSG00000042286	ENSG00000169692	0.378643	NA	66	Trans
ENSG00000117682	ENSG00000196715	0.378635	NA	67	Trans
ENSG00000083307	ENSG00000132698	0.378459	NA	68	Trans
ENSG00000123358	ENSG00000179388	0.378033	NA	69	Trans
ENSG00000072571	ENSG00000148773	0.377258	NA	70	Trans
ENSG00000007237	ENSG00000168477	0.377187	NA	71	Trans
ENSG00000088325	ENSG00000137804	0.374826	NA	72	Trans
ENSG00000122877	ENSG00000162772	0.374584	NA	73	Trans
ENSG00000168078	ENSG00000175063	0.374551	NA	74	Trans
ENSG00000083307	ENSG00000175707	0.373199	NA	75	Trans
ENSG00000148773	ENSG00000171848	0.372732	NA	76	Trans
ENSG00000175707	ENSG00000183421	0.372388	NA	77	Trans
ENSG00000072571	ENSG00000137804	0.372316	NA	78	Trans
ENSG00000105516	ENSG00000174738	0.371283	NA	79	Trans
ENSG00000167470	ENSG00000197019	0.369743	39173039	80	Inter-Cytoband
ENSG00000134871	ENSG00000187498	0.369724	156849	81	Intra-Cytoband
ENSG00000108821	ENSG00000164692	0.369703	NA	82	Trans
ENSG00000158792	ENSG00000173276	0.369684	NA	83	Trans
ENSG00000116299	ENSG00000175707	0.369502	82164117	84	Inter-Cytoband
ENSG00000127564	ENSG00000148773	0.369355	NA	85	Trans
ENSG00000087074	ENSG00000162772	0.368338	NA	86	Trans
ENSG00000148773	ENSG00000183856	0.367806	NA	87	Trans
ENSG00000175063	ENSG00000183856	0.366791	NA	88	Trans
ENSG00000126787	ENSG00000171848	0.366598	NA	89	Trans
ENSG00000092009	ENSG00000100448	0.366544	68169	90	Intra-Cytoband
ENSG00000133874	ENSG00000158859	0.365106	NA	91	Trans
ENSG00000088325	ENSG00000175063	0.361921	14073305	92	Inter-Cytoband
ENSG00000123358	ENSG00000162772	0.361651	NA	93	Trans
ENSG00000076826	ENSG00000083307	0.361393	NA	94	Trans
ENSG00000038427	ENSG00000115414	0.360474	NA	95	Trans
ENSG00000128342	ENSG00000179388	0.360331	NA	96	Trans
ENSG00000126368	ENSG00000159208	0.360299	NA	97	Trans
ENSG00000112984	ENSG00000137804	0.359987	NA	98	Trans
ENSG00000039068	ENSG00000083307	0.359709	NA	99	Trans
ENSG00000066279	ENSG00000148773	0.359508	NA	100	Trans
ENSG00000142871	ENSG00000162772	0.359199	126984573	101	Inter-Cytoband
ENSG00000117707	ENSG00000138722	0.358093	NA	102	Trans
ENSG00000175063	ENSG00000186185	0.357714	NA	103	Trans
ENSG00000123485	ENSG00000183856	0.357651	NA	104	Trans
ENSG00000112984	ENSG00000171848	0.356718	NA	105	Trans
ENSG00000049246	ENSG00000159208	0.356454	142498223	106	Inter-Cytoband
ENSG00000111206	ENSG00000137804	0.35552	NA	107	Trans
ENSG00000090889	ENSG00000175063	0.355487	NA	108	Trans
ENSG00000150337	ENSG00000198019	0.35512	28695326	109	Inter-Cytoband
ENSG00000083307	ENSG00000116299	0.354894	NA	110	Trans
ENSG00000076826	ENSG00000104413	0.354694	NA	111	Trans
ENSG00000184557	ENSG00000187479	0.354617	NA	112	Trans
ENSG00000118689	ENSG00000179094	0.354348	NA	113	Trans
ENSG00000105997	ENSG00000106004	0.35385	34868	114	Intra-Cytoband
ENSG00000148773	ENSG00000175063	0.353272	NA	115	Trans
ENSG00000120738	ENSG00000170345	0.35306	NA	116	Trans
ENSG00000137077	ENSG00000205038	0.352923	NA	117	Trans
ENSG00000112984	ENSG00000148773	0.352873	NA	118	Trans
ENSG00000118596	ENSG00000127884	0.352657	NA	119	Trans
ENSG00000144655	ENSG00000163659	0.352342	117531380	120	Inter-Cytoband
ENSG00000169692	ENSG00000186205	0.351428	NA	121	Trans
ENSG00000066279	ENSG00000137804	0.351322	NA	122	Trans
ENSG00000116285	ENSG00000119138	0.350028	NA	123	Trans
ENSG00000157514	ENSG00000168209	0.349676	NA	124	Trans
ENSG00000130635	ENSG00000204262	0.349421	NA	125	Trans
ENSG00000123485	ENSG00000148773	0.349235	NA	126	Trans
ENSG00000088325	ENSG00000090889	0.348615	NA	127	Trans
ENSG00000169715	ENSG00000205364	0.348598	6758	128	Intra-Cytoband
ENSG00000179178	ENSG00000253313	0.348342	11889	129	Intra-Cytoband
ENSG00000133142	ENSG00000196507	0.348281	31220	130	Intra-Cytoband
ENSG00000123485	ENSG00000186185	0.347226	NA	131	Trans
ENSG00000169692	ENSG00000177666	0.347152	NA	132	Trans
ENSG00000126787	ENSG00000148773	0.346683	NA	133	Trans
ENSG00000148773	ENSG00000168078	0.345393	NA	134	Trans
ENSG00000089685	ENSG00000171848	0.344583	NA	135	Trans
ENSG00000148773	ENSG00000186185	0.343948	NA	136	Trans
ENSG00000107372	ENSG00000116285	0.343741	NA	137	Trans
ENSG00000090889	ENSG00000171848	0.343452	NA	138	Trans
ENSG00000137804	ENSG00000171848	0.342938	NA	139	Trans
ENSG00000127564	ENSG00000171848	0.342387	NA	140	Trans
ENSG00000090889	ENSG00000148773	0.342245	NA	141	Trans
ENSG00000158792	ENSG00000173846	0.342042	NA	142	Trans
ENSG00000076826	ENSG00000129354	0.341951	2976769	143	Intra-Cytoband
ENSG00000105321	ENSG00000175467	0.341899	NA	144	Trans
ENSG00000087903	ENSG00000101096	0.341839	NA	145	Trans
ENSG00000173276	ENSG00000179820	0.341833	NA	146	Trans
ENSG00000171848	ENSG00000175063	0.341325	NA	147	Trans
ENSG00000076555	ENSG00000186205	0.341312	NA	148	Trans
ENSG00000066279	ENSG00000111206	0.340886	NA	149	Trans
ENSG00000075426	ENSG00000124762	0.34086	NA	150	Trans
ENSG00000130254	ENSG00000160633	0.34055	36036	151	Intra-Cytoband
ENSG00000039068	ENSG00000129354	0.340087	NA	152	Trans
ENSG00000170345	ENSG00000171223	0.339362	NA	153	Trans
ENSG00000159403	ENSG00000182326	0.339035	91940	154	Intra-Cytoband
ENSG00000042286	ENSG00000245848	0.339022	NA	155	Trans
ENSG00000133794	ENSG00000174738	0.338811	NA	156	Trans
ENSG00000066279	ENSG00000117650	0.33866	14574529	157	Inter-Cytoband
ENSG00000170476	ENSG00000254709	0.338323	NA	158	Trans
ENSG00000066279	ENSG00000186185	0.338022	NA	159	Trans
ENSG00000116299	ENSG00000132698	0.337936	46947481	160	Inter-Cytoband
ENSG00000153234	ENSG00000162772	0.337365	NA	161	Trans
ENSG00000170027	ENSG00000184887	0.337365	NA	162	Trans
ENSG00000137804	ENSG00000186185	0.337278	NA	163	Trans
ENSG00000112081	ENSG00000115875	0.337158	NA	164	Trans
ENSG00000120738	ENSG00000160888	0.33702	NA	165	Trans
ENSG00000083307	ENSG00000125850	0.337009	NA	166	Trans
ENSG00000076826	ENSG00000132698	0.336853	NA	167	Trans
ENSG00000129354	ENSG00000267795	0.336425	NA	168	Trans
ENSG00000006327	ENSG00000173276	0.336359	NA	169	Trans
ENSG00000042286	ENSG00000186205	0.336302	NA	170	Trans
ENSG00000130772	ENSG00000173614	0.336042	18385574	171	Inter-Cytoband
ENSG00000127564	ENSG00000183856	0.335778	NA	172	Trans
ENSG00000112984	ENSG00000178999	0.335346	NA	173	Trans
ENSG00000162772	ENSG00000179388	0.335206	NA	174	Trans
ENSG00000127564	ENSG00000137804	0.33406	NA	175	Trans
ENSG00000155090	ENSG00000167470	0.333791	NA	176	Trans
ENSG00000105643	ENSG00000168209	0.333493	NA	177	Trans
ENSG00000039068	ENSG00000104413	0.333474	NA	178	Trans
ENSG00000118596	ENSG00000131828	0.333056	NA	179	Trans
ENSG00000039068	ENSG00000175707	0.332368	NA	180	Trans
ENSG00000118596	ENSG00000185000	0.332121	NA	181	Trans
ENSG00000013441	ENSG00000113240	0.331819	NA	182	Trans
ENSG00000072571	ENSG00000126787	0.331793	NA	183	Trans
ENSG00000066279	ENSG00000168078	0.33169	NA	184	Trans
ENSG00000137804	ENSG00000183856	0.331495	NA	185	Trans
ENSG00000111206	ENSG00000186185	0.331463	NA	186	Trans
ENSG00000117650	ENSG00000175063	0.331122	NA	187	Trans
ENSG00000104812	ENSG00000131828	0.330684	NA	188	Trans
ENSG00000137804	ENSG00000168078	0.330295	NA	189	Trans
ENSG00000173486	ENSG00000175467	0.330255	1720686	190	Intra-Cytoband
ENSG00000115425	ENSG00000169692	0.330085	NA	191	Trans
ENSG00000173846	ENSG00000182950	0.329586	NA	192	Trans
ENSG00000160888	ENSG00000170345	0.328923	NA	193	Trans
ENSG00000125850	ENSG00000132698	0.328879	NA	194	Trans
ENSG00000092445	ENSG00000184887	0.328298	NA	195	Trans
ENSG00000105516	ENSG00000167074	0.328029	NA	196	Trans
ENSG00000158615	ENSG00000184557	0.327928	NA	197	Trans
ENSG00000104413	ENSG00000125850	0.32788	NA	198	Trans
ENSG00000107372	ENSG00000157514	0.327766	NA	199	Trans
ENSG00000039068	ENSG00000183421	0.327765	NA	200	Trans
ENSG00000179364	ENSG00000184887	0.327486	52073	201	Intra-Cytoband
ENSG00000127884	ENSG00000131828	0.327286	NA	202	Trans
ENSG00000076826	ENSG00000116299	0.32728	NA	203	Trans
ENSG00000090889	ENSG00000126787	0.326707	NA	204	Trans
ENSG00000125148	ENSG00000187193	0.326591	74225	205	Intra-Cytoband
ENSG00000127564	ENSG00000276043	0.326546	NA	206	Trans
ENSG00000137077	ENSG00000138722	0.326316	NA	207	Trans
ENSG00000042286	ENSG00000196715	0.326199	NA	208	Trans
ENSG00000111335	ENSG00000134321	0.325575	NA	209	Trans
ENSG00000127564	ENSG00000175063	0.325473	NA	210	Trans
ENSG00000099958	ENSG00000254709	0.32527	946723	211	Inter-Cytoband
ENSG00000092445	ENSG00000245848	0.325129	NA	212	Trans
ENSG00000135763	ENSG00000148840	0.324432	NA	213	Trans
ENSG00000078399	ENSG00000122592	0.324291	8719	214	Intra-Cytoband
ENSG00000066279	ENSG00000112984	0.324272	NA	215	Trans
ENSG00000076826	ENSG00000175707	0.323826	NA	216	Trans
ENSG00000104812	ENSG00000136521	0.323817	NA	217	Trans
ENSG00000143375	ENSG00000183421	0.323787	NA	218	Trans
ENSG00000116574	ENSG00000119138	0.323701	NA	219	Trans
ENSG00000186205	ENSG00000245848	0.323494	NA	220	Trans
ENSG00000111206	ENSG00000175063	0.323487	NA	221	Trans
ENSG00000111339	ENSG00000205038	0.322867	NA	222	Trans
ENSG00000117682	ENSG00000134030	0.322786	NA	223	Trans
ENSG00000088325	ENSG00000183856	0.322635	NA	224	Trans
ENSG00000132698	ENSG00000159166	0.322631	45312084	225	Inter-Cytoband
ENSG00000112984	ENSG00000186185	0.322602	NA	226	Trans
ENSG00000062485	ENSG00000127884	0.322462	NA	227	Trans
ENSG00000127884	ENSG00000185000	0.322074	NA	228	Trans
ENSG00000072571	ENSG00000178999	0.322019	NA	229	Trans
ENSG00000120129	ENSG00000177606	0.321183	NA	230	Trans
ENSG00000128016	ENSG00000184557	0.321181	NA	231	Trans
ENSG00000111206	ENSG00000178999	0.32102	NA	232	Trans
ENSG00000133794	ENSG00000167074	0.320977	NA	233	Trans
ENSG00000072571	ENSG00000186185	0.320862	NA	234	Trans
ENSG00000175707	ENSG00000267795	0.32075	NA	235	Trans
ENSG00000092445	ENSG00000186205	0.320661	NA	236	Trans
ENSG00000131069	ENSG00000173599	0.320438	NA	237	Trans
ENSG00000144476	ENSG00000163815	0.320435	NA	238	Trans
ENSG00000100568	ENSG00000184887	0.320097	37601415	239	Inter-Cytoband
ENSG00000066279	ENSG00000090889	0.319847	NA	240	Trans
ENSG00000146476	ENSG00000155906	0.319822	47496	241	Intra-Cytoband
ENSG00000111206	ENSG00000171848	0.319731	NA	242	Trans
ENSG00000087074	ENSG00000153234	0.319366	NA	243	Trans
ENSG00000168542	ENSG00000204262	0.319176	57576	244	Intra-Cytoband
ENSG00000148773	ENSG00000178999	0.319037	NA	245	Trans
ENSG00000120738	ENSG00000162772	0.318088	NA	246	Trans
ENSG00000143479	ENSG00000173846	0.317714	161835311	247	Inter-Cytoband
ENSG00000049246	ENSG00000105516	0.317611	NA	248	Trans
ENSG00000171848	ENSG00000186185	0.317278	NA	249	Trans
ENSG00000120738	ENSG00000179388	0.317075	NA	250	Trans
ENSG00000164933	ENSG00000173276	0.316966	NA	251	Trans
ENSG00000180573	ENSG00000184678	0.316916	NA	252	Trans
ENSG00000275464	ENSG00000280433	0.316787	24628	253	Intra-Cytoband
ENSG00000088325	ENSG00000186185	0.316757	NA	254	Trans
ENSG00000160201	ENSG00000275895	0.316644	36608333	255	Inter-Cytoband
ENSG00000099958	ENSG00000170476	0.316277	NA	256	Trans
ENSG00000042445	ENSG00000196715	0.31615	NA	257	Trans
ENSG00000130164	ENSG00000173276	0.316009	NA	258	Trans
ENSG00000128016	ENSG00000171223	0.315397	26615317	259	Inter-Cytoband
ENSG00000169991	ENSG00000173276	0.315069	NA	260	Trans
ENSG00000072571	ENSG00000111206	0.31505	NA	261	Trans
ENSG00000067064	ENSG00000112972	0.31492	NA	262	Trans
ENSG00000113070	ENSG00000123358	0.314916	NA	263	Trans
ENSG00000039068	ENSG00000143375	0.314807	NA	264	Trans
ENSG00000148339	ENSG00000158615	0.314481	NA	265	Trans
ENSG00000105953	ENSG00000179091	0.31384	NA	266	Trans
ENSG00000014641	ENSG00000169764	0.313503	252331	267	Intra-Cytoband
ENSG00000118596	ENSG00000169692	0.313492	NA	268	Trans
ENSG00000126787	ENSG00000178999	0.313267	NA	269	Trans
ENSG00000117707	ENSG00000205038	0.313261	NA	270	Trans
ENSG00000090889	ENSG00000186185	0.312986	NA	271	Trans
ENSG00000118804	ENSG00000162735	0.312786	NA	272	Trans
ENSG00000090889	ENSG00000137804	0.312745	NA	273	Trans
ENSG00000145901	ENSG00000180354	0.312624	NA	274	Trans
ENSG00000059804	ENSG00000158859	0.312442	NA	275	Trans
ENSG00000122877	ENSG00000123358	0.312222	NA	276	Trans
ENSG00000133106	ENSG00000134321	0.311866	NA	277	Trans
ENSG00000053254	ENSG00000184887	0.311444	16123619	278	Inter-Cytoband
ENSG00000100412	ENSG00000104812	0.311396	NA	279	Trans
ENSG00000184990	ENSG00000189403	0.310926	NA	280	Trans
ENSG00000116459	ENSG00000140740	0.310893	NA	281	Trans
ENSG00000123485	ENSG00000127564	0.310417	NA	282	Trans
ENSG00000125850	ENSG00000267795	0.310397	NA	283	Trans
ENSG00000170027	ENSG00000196715	0.31038	10453628	284	Inter-Cytoband
ENSG00000173846	ENSG00000222009	0.310124	8257	285	Intra-Cytoband
ENSG00000087074	ENSG00000142871	0.310012	NA	286	Trans
ENSG00000178053	ENSG00000179820	0.309726	NA	287	Trans
ENSG00000109805	ENSG00000148773	0.309498	NA	288	Trans
ENSG00000067082	ENSG00000163659	0.309325	NA	289	Trans
ENSG00000186469	ENSG00000196715	0.30926	NA	290	Trans
ENSG00000083307	ENSG00000129354	0.309074	NA	291	Trans
ENSG00000113368	ENSG00000178999	0.309071	NA	292	Trans
ENSG00000130176	ENSG00000163017	0.30896	NA	293	Trans
ENSG00000171320	ENSG00000175063	0.30892	NA	294	Trans
ENSG00000105289	ENSG00000129354	0.30887	6864562	295	Inter-Cytoband
ENSG00000155926	ENSG00000168209	0.308788	NA	296	Trans
ENSG00000111331	ENSG00000111335	0.30842	40043	297	Intra-Cytoband
ENSG00000158792	ENSG00000179820	0.308342	NA	298	Trans
ENSG00000179388	ENSG00000197019	0.308333	NA	299	Trans
ENSG00000162733	ENSG00000171992	0.308239	NA	300	Trans
ENSG00000168078	ENSG00000171848	0.307817	NA	301	Trans
ENSG00000108511	ENSG00000120075	0.307811	4494	302	Intra-Cytoband
ENSG00000037280	ENSG00000205038	0.307516	NA	303	Trans
ENSG00000090889	ENSG00000112984	0.307081	NA	304	Trans
ENSG00000125148	ENSG00000157514	0.306891	NA	305	Trans
ENSG00000100591	ENSG00000168439	0.306543	NA	306	Trans
ENSG00000005249	ENSG00000184887	0.306423	NA	307	Trans
ENSG00000100605	ENSG00000196715	0.30627	NA	308	Trans
ENSG00000171848	ENSG00000178999	0.306214	NA	309	Trans
ENSG00000076555	ENSG00000245848	0.306068	NA	310	Trans
ENSG00000158481	ENSG00000179639	0.306063	999928	311	Inter-Cytoband
ENSG00000125850	ENSG00000137203	0.306024	NA	312	Trans
ENSG00000102802	ENSG00000168477	0.306022	NA	313	Trans
ENSG00000132698	ENSG00000267795	0.306014	NA	314	Trans
ENSG00000076706	ENSG00000119729	0.305981	NA	315	Trans
ENSG00000173846	ENSG00000185347	0.305969	NA	316	Trans
ENSG00000123485	ENSG00000137804	0.305911	NA	317	Trans
ENSG00000066279	ENSG00000072571	0.305907	NA	318	Trans
ENSG00000148339	ENSG00000173846	0.305888	NA	319	Trans
ENSG00000039068	ENSG00000125850	0.305496	NA	320	Trans
ENSG00000100906	ENSG00000116574	0.305436	NA	321	Trans
ENSG00000120093	ENSG00000173917	0.30518	7976	322	Intra-Cytoband
ENSG00000114739	ENSG00000179476	0.305121	NA	323	Trans
ENSG00000162892	ENSG00000162894	0.304832	6943	324	Intra-Cytoband
ENSG00000111859	ENSG00000196227	0.304549	NA	325	Trans
ENSG00000066279	ENSG00000183856	0.304375	40558723	326	Inter-Cytoband
ENSG00000089685	ENSG00000137804	0.304229	NA	327	Trans
ENSG00000128709	ENSG00000128710	0.304013	13930	328	Intra-Cytoband
ENSG00000122033	ENSG00000122034	0.30392	11099	329	Intra-Cytoband
ENSG00000112658	ENSG00000174574	0.303821	NA	330	Trans
ENSG00000066279	ENSG00000088325	0.303809	NA	331	Trans
ENSG00000204287	ENSG00000223865	0.30375	636084	332	Intra-Cytoband
ENSG00000183856	ENSG00000276043	0.303666	NA	333	Trans
ENSG00000072571	ENSG00000171848	0.303389	NA	334	Trans
ENSG00000111275	ENSG00000135604	0.303358	NA	335	Trans
ENSG00000083307	ENSG00000134709	0.303319	NA	336	Trans
ENSG00000178999	ENSG00000186185	0.303249	36719976	337	Inter-Cytoband
ENSG00000105374	ENSG00000180644	0.303058	NA	338	Trans
ENSG00000132698	ENSG00000183421	0.30304	NA	339	Trans
ENSG00000132205	ENSG00000168477	0.30282	NA	340	Trans
ENSG00000105996	ENSG00000105997	0.302387	5830	341	Intra-Cytoband
ENSG00000005249	ENSG00000245848	0.302229	NA	342	Trans
ENSG00000128016	ENSG00000162772	0.302144	NA	343	Trans
ENSG00000100605	ENSG00000162733	0.302019	NA	344	Trans
ENSG00000104413	ENSG00000183421	0.301999	NA	345	Trans
ENSG00000062485	ENSG00000104812	0.301984	NA	346	Trans
ENSG00000171848	ENSG00000276043	0.301872	NA	347	Trans
ENSG00000142867	ENSG00000179388	0.301758	NA	348	Trans
ENSG00000126787	ENSG00000186185	0.301624	NA	349	Trans
ENSG00000120738	ENSG00000128016	0.301571	NA	350	Trans
ENSG00000172458	ENSG00000179954	0.301569	NA	351	Trans
ENSG00000129911	ENSG00000173276	0.301401	NA	352	Trans
ENSG00000148773	ENSG00000169607	0.301241	NA	353	Trans
ENSG00000142675	ENSG00000175707	0.300615	772159	354	Intra-Cytoband
ENSG00000076555	ENSG00000169692	0.300601	NA	355	Trans
ENSG00000123358	ENSG00000142871	0.300586	NA	356	Trans
ENSG00000132661	ENSG00000173276	0.300202	NA	357	Trans
ENSG00000100739	ENSG00000168398	0.300087	51145	358	Intra-Cytoband
ENSG00000118689	ENSG00000119138	0.299767	NA	359	Trans
ENSG00000005249	ENSG00000115459	0.299711	NA	360	Trans
ENSG00000089685	ENSG00000148773	0.299041	NA	361	Trans
ENSG00000183421	ENSG00000184012	0.299009	274818	362	Intra-Cytoband
ENSG00000100865	ENSG00000133114	0.29893	NA	363	Trans
ENSG00000100906	ENSG00000157514	0.298793	NA	364	Trans
ENSG00000173276	ENSG00000196227	0.298703	NA	365	Trans
ENSG00000128016	ENSG00000159388	0.298612	NA	366	Trans
ENSG00000112658	ENSG00000173276	0.298326	NA	367	Trans
ENSG00000127564	ENSG00000178999	0.29822	NA	368	Trans
ENSG00000175063	ENSG00000178999	0.297598	NA	369	Trans
ENSG00000088325	ENSG00000171848	0.297589	NA	370	Trans
ENSG00000164163	ENSG00000165732	0.297414	NA	371	Trans
ENSG00000126787	ENSG00000168078	0.297333	NA	372	Trans
ENSG00000127564	ENSG00000186185	0.297327	NA	373	Trans
ENSG00000116774	ENSG00000183801	0.296549	NA	374	Trans
ENSG00000160789	ENSG00000173846	0.296211	111282348	375	Inter-Cytoband
ENSG00000083307	ENSG00000105289	0.296042	NA	376	Trans
ENSG00000066279	ENSG00000171848	0.295917	NA	377	Trans
ENSG00000120738	ENSG00000171223	0.295779	NA	378	Trans
ENSG00000104413	ENSG00000116299	0.295707	NA	379	Trans
ENSG00000066279	ENSG00000169607	0.295399	NA	380	Trans
ENSG00000116285	ENSG00000179094	0.295194	NA	381	Trans
ENSG00000111331	ENSG00000157601	0.295127	NA	382	Trans
ENSG00000042286	ENSG00000184887	0.295105	NA	383	Trans
ENSG00000100605	ENSG00000117682	0.295038	NA	384	Trans
ENSG00000112984	ENSG00000126787	0.295013	NA	385	Trans
ENSG00000184887	ENSG00000196715	0.294762	NA	386	Trans
ENSG00000116574	ENSG00000157514	0.294725	NA	387	Trans
ENSG00000153234	ENSG00000179388	0.294563	NA	388	Trans
ENSG00000135604	ENSG00000245848	0.294553	NA	389	Trans
ENSG00000104413	ENSG00000153404	0.294514	NA	390	Trans
ENSG00000100605	ENSG00000221968	0.294249	NA	391	Trans
ENSG00000162733	ENSG00000196715	0.294243	NA	392	Trans
ENSG00000113368	ENSG00000148773	0.294187	NA	393	Trans
ENSG00000042286	ENSG00000122378	0.294065	10309606	394	Inter-Cytoband
ENSG00000179476	ENSG00000196227	0.293802	NA	395	Trans
ENSG00000162733	ENSG00000186469	0.293574	NA	396	Trans
ENSG00000137947	ENSG00000158615	0.293401	115550455	397	Inter-Cytoband
ENSG00000116285	ENSG00000168209	0.293354	NA	398	Trans
ENSG00000083307	ENSG00000183421	0.293161	NA	399	Trans
ENSG00000119185	ENSG00000162733	0.293143	NA	400	Trans
ENSG00000116299	ENSG00000267795	0.29303	NA	401	Trans
ENSG00000126787	ENSG00000137804	0.29267	NA	402	Trans
ENSG00000123472	ENSG00000146729	0.292478	NA	403	Trans
ENSG00000112984	ENSG00000175063	0.29239	NA	404	Trans
ENSG00000059804	ENSG00000124762	0.292365	NA	405	Trans
ENSG00000104413	ENSG00000159166	0.292058	NA	406	Trans
ENSG00000005249	ENSG00000042286	0.291884	NA	407	Trans
ENSG00000066279	ENSG00000117724	0.291751	17519067	408	Inter-Cytoband
ENSG00000099783	ENSG00000183684	0.2917	NA	409	Trans
ENSG00000006712	ENSG00000105321	0.29162	7870128	410	Inter-Cytoband
ENSG00000035403	ENSG00000196923	0.291587	NA	411	Trans
ENSG00000072571	ENSG00000090889	0.291301	NA	412	Trans
ENSG00000144655	ENSG00000158615	0.291246	NA	413	Trans
ENSG00000132326	ENSG00000196227	0.291233	NA	414	Trans
ENSG00000087074	ENSG00000128016	0.2912	9465579	415	Inter-Cytoband
ENSG00000116824	ENSG00000198851	0.291063	NA	416	Trans
ENSG00000114739	ENSG00000196227	0.291051	NA	417	Trans
ENSG00000153162	ENSG00000259040	0.290796	154725	418	Intra-Cytoband
ENSG00000144655	ENSG00000148339	0.290696	NA	419	Trans
ENSG00000039068	ENSG00000267795	0.290664	63948828	420	Inter-Cytoband
