cytoband	11q23.3	1p36.12	19p13.3	13q14.11	8p23.2	6q21	3p21.31	17p12	10q23.31	14q24.3	16q23.3	9q22.33	12q24.33	12p13.1	11p15.5	17q25.3	1p21.3	4q35.1	10q26.13	7p22.2	11q13.1	16q11.2	7q36.1	17q12	2q37.1	6q27	15q22.2	22q13.31	5q21.1	9p21.3	2q14.3	8q24.3	12q23.3	22q11.22	21q22.3	
	RBM7	CLCNKA	FGF22	GUCY1B2			ERC2-IT1			DIO2	CYBA			C3AR1	CARS		AMY1C	LRBA	EMX2		TMEM258	N4BP1	OPN1SW	FMNL1	BOK	AFDN	BUB1B	CHKB	CDC25C	CCIN	CD8B	EXT1	BCL7A	CRKL	C21orf2	
	CEP164	CLCNKB	THEG	HTR2A			CACNA1D			DLST	DPEP1			CCND2	CCKBR		AMY2A	CLGN	FGFR2		DAGLA	DNAJA2	BPGM	CACNB1	CHRND	PARK2	CA12	CPT1B	CDO1	CD72	CNGA3	GLI4	BTG1	CRYBA4	TMEM50B	
	SIK3	CNR2	MIER2	KPNA3			SLC25A20			EIF2S1	FANCA			CD4	CD81		AMY2B	CLCN3	GFRA1		CAPN1	ZNF267	BRAF	CDC6	CHRNG	PDCD2	CAPN3	CSNK1E	CHD1	CDKN2A	COX5B	GML	SCARB1	CRYBB1	RUNX1	
	BACE1	DDOST	OR4F17	LCP1			CAMP			ERH	FOXF1			CD9	CD151		BRDT	CPE	PRLHR		CD5	ZNF423	CALD1	CDC27	COL4A3	PLG	CHRM5	CYP2D7	AP3S1	CDKN2B	DARS	GPR20	CMKLR1	CRYBB2	CBR1	
	CADM1	E2F2	TPGS1	NEK3			CCK			ESRRB	FOXL1			CD27	CDKN1C		CLCA1	CTSO	GPR26		CD6	ORC6	CALU	CCR7	COL4A4	PSMB1	CHRNA7	CYP2D6	CSF2	CLTA	DBI	GPT	COX6A1	CRYBB2P1	CBR3	
	REXO2	ECE1	C2CD4C	PCDH8			ENTPD3			FNTB	FOXC2			CD69	TPP1		CNN3	DCTD	GRK5		MS4A1	TP53TG3	CAPZA2	CNP	COL6A3	RPS6KA2	CKMT1B	CYB5R3	CSNK1G3	CNTFR	DUSP2	GRINA	CRY1	CRYBB3	CBS	
	SIDT2	EPHA2	ODF3L2	RB1			CDC25A			FOS	GALNS			CDKN1B	CNGA4		COL11A1	EDNRA	HABP2		MS4A3	TOX3	CASP2	CPD	CRYBA2	SLC22A1	CYP19A1	TYMP	CTNNA1	ELAVL2	EN1	HAS2	CSRP2	CSF2RB	COL6A1	
	C11orf71	EPHA8	WASH5P	TPT1			CISH			FUT8	GAS8			CHD4	CTSD		CRYZ	ELF2	HMX2		CFL1	BRD7	CAV1	CRHR1	CYP27A1	SLC22A3	DUT	EP300	DMXL1	FANCG	ERCC3	HSF1	DAO	DDT	COL6A2	
	NXPE4	EPHB2	LINC01002	TNFSF11			CCR1			GALC	GCSH			CREBL2	DRD4		CSF1	ETFDH	ABLIM1		CHRM1	HEATR3	CAV2	CSF3	DES	SLC22A2	EPB42	FBLN1	HBEGF	GALT	FABP1	EIF3E	DCN	EWSR1	CRYAA	
	BUD13	FUCA1	FAM138A	SUCLA2			CCR3			GPX2	HSBP1			ATN1	DUSP8		CTBS	F11	MXI1		CNTF	VPS35	CDK5	DHX8	DTYMK	SOD2	FBN1	XRCC6	EFNA5	B4GALT1	FHL2	KCNQ3	EPYC	GGT1	CSTB	
	APOA5	GALE	FAM138C	DLEU2			CCR5			GSTZ1	HSD17B2			PHC1	EIF4G2		CTH	FABP2	NRAP		COX8A	NOD2	CFTR	DUSP3	EPHA4	T	FGF7	MCHR1	EGR1	DNAJA1	GLI2	LY6E	DTX1	GGT3P	CXADR	
	NXPE1	HMGCL	MIR1302-2	TSC22D1			CCR8			GTF2A1	IRF8			EMP1	HBB		CYP2J2	ACSL1	OAT		CST6	PAPD5	CHRM2	ERBB2	ACSL3	TBP	GABPB1	H1F0	ETF1	IFNA1	GPR17	LY6H	DUSP6	GGT5	DSCAM	
	NXPE2	HSPG2	MIR1302-9	ITM2B			ACKR2			ITPK1	MAF			ENO2	HBBP1		DBT	FAT1	PNLIP		CTNND1	AKTIP	AP1S1	ETV4	GBX2	TCP1	GABRA5	KCNJ4	FBN2	IFNA2	GPR39	MYC	EIF2B1	GNAZ	RCAN1	
	RNF214	HTR1D	MIR1302-10	MTRF1			COL7A1			LTBP2	MC1R			EPS8	HBD		GADD45A	FGA	PNLIPRP1		CTSW	SHCBP1	CLCN1	EVI2A	GPC1	TCP10	GABRB3	LGALS1	FER	IFNA4	GYPC	NDUFB9	ELK3	GP1BB	DYRK1A	
	LINC00900	HTR6	MIR1302-11	UTP14C			CTNNB1			MAX	MVD			ETV6	HBE1		DLSTP1	FGB	PNLIPRP2		DDB1	CHD9	CPA1	EVI2B	GPR35	TCTE3	GABRG3	MGAT3	GDF9	IFNA5	HNMT	TONSL	STX2	GSC2	ERG	
	BACE1-AS	ID3		LPAR6			CX3CR1			ATXN3	CHMP1A			FGF6	HBG1		DPYD	FGF2	HTRA1		EEF1G	ITFG1	CPA2	EZH1	HDLBP	DYNLT1	GALK2	NAGA	GFRA3	IFNA6	IL1A	NOV	GOLGA3	GSTT2	ETS2	
	LOC100652768	MFAP2		SLC25A15			CYP8B1			MAP3K9	PLCG2			GAPDH	HBG2		DR1	FGG	RGS10		MARK2	NETO2	CUX1	GAST	AGFG1	THBS2	GANC	NDUFA6	GLRX	IFNA7	IL1B	TNFRSF11B	GTF2H3	SERPIND1	GABPA	
	LOC101928940	NBL1		LHFP			DAG1			ALDH6A1	RPL13			GNB3	HPX		S1PR1	FRG1	RPL21		ESRRA	LONP2	CYP3A7	FZD2	DNAJB2	EZR	GATM	SNU13	HARS	IFNA8	IL1R1	ENPP2	HAL	HMOX1	GART	
	LOC101928985	PAX7		TRIM13			DNASE1L3			NDUFB1	SPG7			GPR19	HRAS		CELSR2	GAB1	SLC18A2		FAU	GPT2	CYP3A4	G6PC	HTR2B	RNASET2	GCHFR	PDGFB	HINT1	IFNA10	IL1RN	PLEC	HPD	IGLL1	GRIK1	
	LOC101929011	PLA2G2A		MRPS31			DOCK3			PGF	GAN			GRIN2B	IGF2		EXTL2	GK3P	TCF7L2		MS4A2	ABCC11	CYP3A5	KAT2A	SP110	SYNJ2	PDIA3	PMM1	HSD17B4	IFNA13	INHBB	POU5F1B	IGF1	LIF	HLCS	
	APOA1-AS	PLA2G5		DLEU1			DUSP7			PIGH	SLC7A5			GUCY2C	ILK		F3	GLRB	TECTB		FEN1	NKD1	DLD	GFAP	IHH	QKI	GTF2A2	POLR2F	HSPA4	IFNA14	INPP4A	PTK2	KCNC2	LIMK2	HMGN1	
	LOC105369507	RAP1GAP		OLFM4			CELSR3			LGMN	CDK10			KCNA1	INS		GBP1	GPM6A	TIAL1		FKBP2	MYLK3	DLX5	CCR10	CXCR1	WTAP	HDC	PPARA	HSPA9	IFNA16	KCNJ3	PVT1	LTA4H	MB	PRMT2	
	LOC105369509	RNU1-4		SUGT1			FHIT			PSEN1	MBTPS1			KCNA5	IRF7		GBP2	GRIA2	UROS		FTH1	ABCC12	DLX6	GRB7	CXCR2	PDE10A	ONECUT1	MAPK11	IK	IFNA17	KIF5C	RAD21	LUM	MCM5	IFNAR1	
		RPL11		LECT1			FLNB			PSMC1	TAF1C			KCNA6	KCNQ1		GBP3	GUCY1A3	XPNPEP1		GIF	C16orf78	DPP6	GRN	CXCR2P1	FGFR1OP	IPW	RANGAP1	IL3	IFNA21	AFF3	RPL8	KITLG	MIF	IFNAR2	
		RSC1A1		WBP4			GNAI2			ABCD4	USP10			KLRB1	LMO1		GFI1	GUCY1B3	SHOC2		GNG3	ANKRD26P1	SLC26A3	HCRT	INHA	LINC01558	ITPKA	RPL3	IL4	IFNA22P	LCT	ST3GAL1	MMP17	MMP11	IFNGR2	
		SDHB		AKAP11			GNAT1			RAD51B	VPS9D1			KLRC1	LSP1		GCLM	GYPA	EIF3A		DNAJC4	SNX20	EN2	HSD17B1	INPP5D	DLL1	IVD	MAPK12	IL5	IFNB1	LIMS1	SLA	MSI1	MN1	IL10RB	
		TCEA3		FNDC3A			XCR1			SEL1L	KIAA0513			KLRC2	MUC2		GNAI3	GYPB	SMC3		INCENP	FRG2DP	EPHA1	IFI35	IRS1	MRPL18	LIPC	SBF1	IL9	IFNW1	MAL	SNTB1	MVK	MYH9	ITGB2	
		TCEB3		VWA8			GPR27			SRSF5	PIEZO1			KLRC3	MUC5AC		GNAT2	GYPE	BUB3		FADS1	CNEP1R1	EPHB4	IGFBP4	KCNJ13	SNX9	LTK	SOX10	IL13	IL11RA	MCM6	SQLE	MYBPC1	NCF4	KCNE1	
		ZBTB17		ZC3H13			GPX1			SLC8A3	ATP2C2			KLRD1	MUC6		GNG5	HMGB2	BAG3		FADS3	CASC22	EPHB6	ITGA2B	NCL	MPC1	MAP1A	SREBF2	IRF1	MTAP	MGAT5	TAF2	MYF5	DRG1	KCNJ6	
		LUZP1		LRCH1			GRM2			SLC10A1	CLEC3A			LAG3	NAP1L4		GSTM1	HPGD	FAM53B		LTBP3	LINC01566	EPO	ITGB3	NDUFA10	UNC93A	MEIS2	ST13	KCNN2	NDUFB6	MYO7B	TG	MYF6	NEFH	KCNJ15	
		AKR7A2		INTS6			HYAL1			TGFB3	MPHOSPH6			LRP6	NUP98		GSTM2	IL2	DCLRE1A		MEN1	SLC6A10P	EZH2	JUP	SEPT2	PHF10	MFAP1	TCF20	LECT2	NFX1	NEB	TRHR	MYL2	NF2	LSS	
		ALDH4A1		CKAP2			IMPDH2			TSHR	EMC8			LTBR	SLC22A18		GSTM3	IL15	SMNDC1		SCGB2A1	C16orf87	FLNC	KPNB1	NEU2	ERMARD	TRPM1	TEF	LMNB1	NPR2	NPAS2	TRPS1	PPP1R12A	OSM	MX1	
		EIF4G3		NUFIP1			ITIH1			DPF3	TUBB3			M6PR	SLC22A18AS		GSTM4	ING2	TACC2		SCGB2A2	C16orf97	GBX1	KRT9	NPPC	AGPAT4	MYO1E	UPK3A	LNPEP	PAX5	NPHP1	TSTA3	NAP1L1	PI4KA	MX2	
		CROCC		RGCC			ITIH3			GPR68	PRDM7			MGP	POLR2L		GSTM5	IRF2	PRDX3		MAP3K11	LOC390705	GNB2	KRT10	PAX3	TULP4	MYO5A	WNT7B	LOX	PGM5	ORC4	COL14A1	NFYB	SEPT5	NCAM2	
		ZBTB40		MED4			ITIH4			GPR65	TCF25			MGST1	PSMD13		GTF2B	KLKB1	VAX1		OSBP	FLJ26245	GPR22	KRT12	PDCD1	ARID1B	NDN	PLA2G6	SMAD5	PRSS3	PLGLB2	ZNF7	NOS1	MAPK1	NDUFV3	
		CELA3A		DNAJC15			LAMB2			NUMB	ZCCHC14			NDUFA9	PTH		CYR61	MAD2L1	ATE1		OVOL1	UBE2MP1	GPR37	KRT13	PDE6D	TMEM181	NEDD4	GALR3	MAN2A1	RMRP	PLGLB1	ZNF16	NTS	PRODH	PCNT	
		HNRNPR		VPS36			RPSA			ADAM21	GSE1			NOP2	RNH1		IL12RB2	SMAD1	SEC23IP		P2RX3	CASC16	GRM8	KRT14	SERPINE2	SMOC2	OAZ2	CACNA1I	MCC	CCL19	POLR2D	PSCA	OAS1	PVALB	PCP4	
		SRSF10		PHF11			LTF			ADAM20	ATMIN			NTF3	MRPL23		JAK1	MGST2	RAB11FIP2		PGA5	LOC643802	MNX1	KRT15	PPP1R7	ZDHHC14	OCA2	SYNGR1	NDUFA2	CCL21	POU3F3	LY6D	OAS2	RANBP1	PDE9A	
		RCAN3		UFM1			MAP4			DCAF5	COTL1			OLR1	RPL27A		JUN	NR3C2	INPP5F		PLCB3	LINC00273	AGFG2	KRT16	PSMD1	FRMD1	PLCB2	GRAP2	NEUROG1	SHB	PROC	JRK	OAS3	RFPL1	PFKL	
		MST1P2		ENOX1			MITF			ALKBH1	MLYCD			PDE6H	RPLP2		LEPR	MTNR1A	FAM175B		POLR2G	TP53TG3C	HTR5A	KRT17	PTMA	AGPAT4-IT1	PPIB	PICK1	NPY6R	TEK	PTPN4	EIF3H	P2RX4	SLC5A1	PKNOX1	
		MST1L		RCBTB1			MOBP			EIF2B2	CPNE7			PRB1	RRM1		TACSTD2	NDUFC1	ATRNL1		PPP2R5B	TP53TG3D	IFRD1	KRT19	PTPRN	LINC00574	MAPK6	GTPBP1	PAM	TESK1	RALB	DGAT1	P2RX7	SMTN	TMPRSS15	
		PADI2		NUDT15			MST1			PNMA1	IL17C			PRB3	SCT		MSH4	NEK1	EDRF1		PRG2	TP53TG3B	IMPDH1	KRT31	SNORD20	LPAL2	RAB27A	APOBEC3B	PCSK1	TLN1	RANBP2	GPAA1	PEBP1	SLC5A4	PWP2	
		LYPLA2		GPALPP1			MST1R			RPS6KA5	ANKRD11			PRB4	SMPD1		NFIA	NPY1R	PDCD4		PYGM	TP53TG3HP	INSIG1	KRT32	SAG	RSPH3	RAD51	CELSR1	PFDN1	TPM2	RPL31	WISP1	PAH	SLC7A4	S100B	
		CTRC		THSD1			MYD88			TRIP11	OSGIN1			PRH1	TRIM21		ROR1	NPY2R	CUZD1		RAB3IL1	HERC2P4	IRF5	KRT33A	CCL20	TTLL2	RORA	PPP6R2	PGGT1B	VCP	SCTR	FOXH1	PAWR	SLC25A1	SH3BGR	
		AKR7A3		CYSLTR2			MYL3			NRXN3	GINS2			PRH2	ST5		PDE4B	NPY5R	CHST15		MAP4K2	MIR3181	KCND2	KRT33B	SLC4A3	FAM120B	RYR3	ZBED4	PITX1	RECK	SLC9A2	EBAG9	CDK17	SMARCB1	ITSN1	
		SPEN		SPRYD7			NKTR			SPTLC2	TRAPPC2L			PTMS	STIM1		PGM1	GATB	ACSL5		RARRES3	LINC00919	KCNH2	KRT34	SLC11A1	FNDC1	SCG5	JOSD1	PPIC	PLAA	SLC20A1	RECQL4	SLC25A3	SNRPD3	SIM2	
		KDM1A		COG6			CNTN3			RGS6	WWOX			PTPN6	TAF10		PIN1P1	PLRG1	ZRANB1		RELA	LOC100507534	KEL	KRT35	SP100	SERAC1	SLC12A1	RBX1	PPP2CA	GRHPR	SULT1C2	LRRC14	PLA2G1B	TBX1	SLC5A3	
		EMC1		SMIM2			PDHB			SUSD6	BCO1			PTPRO	TALDO1		PRKACB	EXOSC9	NSMCE4A		DPF2	LOC100507577	LAMB1	LASP1	SPP2	LINC00473	SNRPN	SCO2	PURA	RGP1	TNFAIP6	EMC2	PMCH	TCN2	SLC19A1	
		PLEKHM2		NAA16			PFKFB4			AREL1	NECAB2			PEX5	TEAD1		PKN2	POU4F2	CCDC186		ROM1	MIR548AI	LEP	LHX1	TNS1	SYTL3	SNX1	DNAL4	SKP1	MELK	TSN	MTSS1	POLE	TIMP3	SUMO3	
		OTUD3		RNASEH2B			PLCD1			GOLGA5	KLHDC4			PZP	TH		PSMA5	PPID	WDR11		SIPA1	ITFG1-AS1	LRCH4	LIG3	TUBA4A	SFT2D1	SORD	PKDREJ	SLC12A2	RUSC2	ZAP70	ZNF623	PPP1CC	CLDN5	SOD1	
		DNAJC16		DHRS12			PLXNB1			MED6	DEF8			SCNN1A	TSPAN4		PTGER3	ABCE1	DHX32		SLC3A2	LOC101927132	MCM7	NBR1	VIL1	TAGAP	SPINT1	TAB1	SLC22A4	ZBTB5	ZNF2	KIAA0196	PRKAB1	TOP1P2	SON	
		UBR4		RUBCNL			PRKAR2A			GPHN	BANP			SLC2A3	TNNI2		PTGFR	RPS3A	TDRD1		SSRP1	LOC101927272	DNAJB9	MAPT	WNT6	PACRG	SRP14	SLC25A17	SLC22A5	GNE	RNF103	HHLA1	PSMD9	HIRA	HSPA13	
		ATP13A2		PROSER1			PRKCD			VTI1B	ZDHHC7			VAMP1	TNNT3		ABCD3	MSMO1	BCCIP		STX3	LOC101927334	MEST	ADAM11	ZNF142	PNLDC1	TCF12	DDX17	SNX2	TOPORS	PAX8	TRIB1	PTPN11	UBE2L3	TFF1	
		CELA3B		CDADC1			PTH1R			FBLN5	CENPN			TEAD4	TRPC2		RABGGTB	SFRP2	GPAM		STX5	LINC01571	MET	MEOX1	SCG2	LOC154449	THBS1	NUP50	SPOCK1	SIGMAR1	IL1R2	NDRG1	PXMP2	UFD1L	TFF2	
		PADI4		CAB39L			PTPRG			BATF	CMC2			TNFRSF1A	PHLDA2		SNORD21	TDO2	SHTN1		TCN1	MIR6771	MKLN1	MLLT6	CUL3	DACT2	TJP1	TOB2	SRP19	CREB3	MALL	COLEC10	PXN	VPREB1	TFF3	
		SZRD1		CCDC70			QARS			NPC2	JPH3			TPI1	TUB		RPE65	TLL1	FAM160B1		TM7SF2	LOC102467079	MUC3A	MPP2	DGKD	C6orf118	TP53BP1	KDELR3	TCF7	UNC13B	CXCR4	KHDRBS3	RAN	XBP1	TIAM1	
		PLA2G2D		COG3			SNORA62			AHSA1	VAT1L			TULP3	WEE1		RPL5	TLR2	PLEKHA1		SCGB1A1	LOC102723373	NDUFA5	MPP3	STK16	OSTCP1	TPM1	TRIOBP	NR2F1	CCL27	NCK2	PTP4A3	RFC5	YWHAH	TRAPPC10	
		RNU1-3		SETDB2			ROBO2			ACOT2	TLDC1			VWF	ZNF143		SORT1	TLR3	FAM204A		VEGFB	LOC102723753	NDUFB2	MYL4	PER2	WDR27	TYRO3	DMC1	TGFBI	PTENP1	MARCO	RNF139	RFX4	ZNF70	TMPRSS2	
		RNU1-2		KBTBD7			RPL29			TMED10	WFDC1			FGF23	ZNF195		SARS	TRPC3	LHPP		BEST1	TP53TG3E	NOS3	MYO1D	CDK5R2	PACRG-AS1	UBE3A	RABL2B	UBE2B	DCTN3	IL18RAP	ZHX1	RPL6	ZNF74	TPTE	
		RNU1-1		EBPL			ATXN7			PTPN21	MTHFSD			MFAP5	ZNF214		STXBP3	UCP1	IKZF5		SF1	TP53TG3F	CNOT4	NAGLU	CNOT9	PRR18	MKRN3	PACSIN2	UBE2D2	FRMPD1	IL1RL2	PUF60	RPLP0	DGCR6	TRPM2	
		HSPB7		KBTBD6			SCN5A			C14orf1	DBNDD1			USP5	ZNF215		TAF13	UGT8	ZDHHC6		ZFPL1	ENPP7P13	NPTX2	NEUROD2	LRRFIP1	LOC285804	SLC30A4	TNRC6B	VDAC1	PHF24	IL18R1	ZHX2	CLIP1	LZTR1	TTC3	
		LINC00339		EPSTI1			SCN10A			VASH1	KLHL36			MLF2	RASSF7		TGFBR3	VEGFC	MCMBP		FOSL1	LOC105371267	NRCAM	NF1	GPR55	C6orf120	PWAR5	GRAMD4	WNT8A	DDX58	DDX18	DENND3	ATXN2	CLTCL1	U2AF1	
		PADI1		ARL11			SEMA3F			SNW1	FBXO31			KLRC4	PPFIBP2		USP1	GLRA3	PLEKHS1		SLC43A1		NRF1	NFE2L1	TRIP12	DKFZp451B082	CILP	TTLL12	ST8SIA4	DNAJB5	KYNU	ZC3H3	SELPLG	DGCR14	UBE2G2	
		PLA2G2E		WDFY2			SMARCC1			PCNX1	CMIP			YBX3	IFITM1		VCAM1	SMARCA5	C10orf88		BANF1		OCM2	NMT1	ECEL1	TCP10L2	EIF3J	MLC1	REEP5	DCAF12	NMI	EFR3A	SFSWAP	SYN3	WRB	
		HP1BP3		LINC00284			NEK4			TTLL5	CDT1			DYRK4	OR6A2		EVI5	SORBS2	AFAP1L2		RPS6KA4		ORC5	NSF	EIF4E2	LOC401286	JMJD7-PLA2G4B	ZC3H7B	NME5	ZNF658	IL1RL1	ARC	SNRPF	CDC45	NRIP1	
		CELA2B		FAM216B			TCTA			ANGEL1	MAP1LC3B			GPRC5A	DCHS1		CDC7	PRSS12	BBIP1		SYT7		SERPINE1	OMG	TTLL4	LINC00242	RAB11A	KIAA0930	PDLIM4	SPATA31A7	CIAO1	BOP1	SYT1	TPST2	CHAF1B	
		MRTO4		LACC1			TDGF1			ZFYVE26	DYNLRB2			CD163	EIF3F		BCAR3	PDE5A	FANK1		SART1		PAX4	PEX12	HDAC4	LINC01624	SNAP23	GCAT	EIF4EBP3	SPAG8	TGFBRAP1	SCRIB	TBX5	NIPSNAP1	C21orf33	
		PADI3		LINC00330			TGM4			TTC9	HSDL1			GDF3	BRSK2		LMO4	SAP30	BTBD16		FIBP		PCOLCE	PNMT	FARP2	GTF2H5	ALDH1A2	CBX6	CDC23	FBXO10	HS6ST1	LRRC6	TBX3	APOL1	PDXK	
		WNT4		HNRNPA1L2			TKT			FLRT2	CRISPLD2			CLSTN3	MICAL2		CDC14A	INPP4B	FAM24A		MTA2		SLC26A4	MED1	FARSB	LINC00602	HERC2	NPTXR	P4HA2	DNAI1	MAP4K4	FBXL6	HNF1A	THOC5	RRP1	
		FBXO42		ST13P4			TMF1			SIPA1L1	SPIRE2			NCAPD2	CTR9		RTCA	SNORD73A	PSTK		UBE2L6		PIK3CG	PPY	ABCB6	LOC441178	HERC1	CBX7	ATG12	SIT1	EIF2AK3	OPLAH	TDG	EIF3D	PSMG1	
		RNF186		DGKH			CLEC3B			DCAF4	ZNF469			CLEC2B	TRIM66		FPGT	LRAT	MMP21		SNORD29		PIP	PSMB3	ARPC2	AFDN-AS1	SNURF	SLC16A8	NREP	SPINK4	CHST10	KCNV1	TMPO	MTMR3	SYNJ1	
		FBLIM1		CCDC122			TNNC1			TMEM251	CENPBD1			LPCAT3	TSPAN32		FUBP1	NDST3	PDZD8		SNORD31		PMS2P1	PYY	ARL4C	SNORA20	USP8	MAPK8IP2	RAB9BP1	STOML2	GCC2	MTBP	NR2C1	TOP3B	MCM3AP	
		PQLC2		STOML3			UBA7			PLEK2	ZNF276			KLRG1	TSSC4		BCL10	HAND2	PNLIPRP3		SNORD30		PODXL	PSMD3	RAMP1	SNORA29	CCNB2	PLXNB2	MYOT	EXOSC3	EIF5B	AGO2	HSP90B1	P2RX6	CLDN8	
		TMEM51		ERICH6B			USP4			MLH3	KCNG4			LRRC23	MRVI1		DIRAS3	RAPGEF2	SFXN4		SNORD28		POLR2J	PSMD11	SPEG	TMEM242	SLC28A2	MAFF	NRG2	CDKN2A-AS1	ZEB2	COMMD5	TXNRD1	LARGE1	ADAMTS1	
		ARHGEF10L		SPERT			UQCRC1			FOXN3-AS2	SDR42E1			EMG1	TRIM22		SRSF11	MFAP3L	CPXM2		SNORD27		PPP1R3A	RAB5C	NMUR1	LOC729603	SLC24A1	BRD1	CXCL14	UBAP1	BCL2L11	MRPL13	UBC	SNAP29	ABCG1	
		CAMK2N1		DLEU7			VIPR1			POMT2	PKD1L2			P3H3	IFITM3		SEP15	SEC24D	TRUB1		SNORD26		PRKAR2B	RAD51D	STK25	PACRG-AS3	CCPG1	ARHGAP8	H2AFY	CHMP5	ACTR3	ATAD2	UBE2N	GAL3ST1	URB1	
