Gene Symbol	Gene ID	Cytoband
ICMT	23463	1p36.31
LINC00337	148645	1p36.31
GPR153	387509	1p36.31
HES3	390992	1p36.31
ACOT7	11332	1p36.31
HES2	54626	1p36.31
ESPN	83715	1p36.31
MIR4252	100422975	1p36.31
PLEKHG5	57449	1p36.31
TNFRSF25	8718	1p36.31
NOL9	79707	1p36.31
TAS1R1	80835	1p36.31
ZBTB48	3104	1p36.31
KLHL21	9903	1p36.31
PHF13	148479	1p36.31
THAP3	90326	1p36.31
DNAJC11	55735	1p36.31
LOC100505887	100505887	1p36.31
CAMTA1	23261	1p36.31
VAMP3	9341	1p36.23
PER3	8863	1p36.23
UTS2	10911	1p36.23
TNFRSF9	3604	1p36.23
PARK7	11315	1p36.23
ERRFI1	54206	1p36.23
LOC102724539	102724539	1p36.23
SLC45A1	50651	1p36.23
RERE	473	1p36.23
LOC102724552	102724552	1p36.23
SNORD128	106632271	1p36.23
ENO1	2023	1p36.23
MIR6728	102465436	1p36.23
ENO1-AS1	100505975	1p36.23
CA6	765	1p36.23
SLC2A7	155184	1p36.23
SLC2A5	6518	1p36.23
GPR157	80045	1p36.22
MIR34AHG	106614088	1p36.22
MIR34A	407040	1p36.22
LOC102724571	102724571	1p36.22
H6PD	9563	1p36.22
SPSB1	80176	1p36.22
LOC100506022	100506022	1p36.22
SLC25A33	84275	1p36.22
TMEM201	199953	1p36.22
PIK3CD-AS1	644997	1p36.22
PIK3CD	5293	1p36.22
PIK3CD-AS2	101929074	1p36.22
CLSTN1	22883	1p36.22
CTNNBIP1	56998	1p36.22
LZIC	84328	1p36.22
NMNAT1	64802	1p36.22
MIR5697	100847055	1p36.22
RBP7	116362	1p36.22
UBE4B	10277	1p36.22
KIF1B	23095	1p36.22
MIR1273D	100422970	1p36.22
RNU6-1|chr1	26827	1p36.22
RNU6-2|chr1	103625684	1p36.22
RNU6-7|chr1	101954275	1p36.22
RNU6-8|chr1	101954278	1p36.22
PGD	5226	1p36.22
APITD1-CORT	100526739	1p36.22
CENPS	378708	1p36.22
CORT	1325	1p36.22
DFFA	1676	1p36.22
PEX14	5195	1p36.22
CASZ1	54897	1p36.22
C1orf127	148345	1p36.22
TARDBP	23435	1p36.22
MASP2	10747	1p36.22
SRM	6723	1p36.22
EXOSC10	5394	1p36.22
LOC105376736	105376736	1p36.22
MTOR	2475	1p36.22
MTOR-AS1	100873935	1p36.22
ANGPTL7	10218	1p36.22
UBIAD1	29914	1p36.22
DISP3	57540	1p36.22
LOC101929181	101929181	1p36.22
FBXO2	26232	1p36.22
FBXO44	93611	1p36.22
FBXO6	26270	1p36.22
MAD2L2	10459	1p36.22
DRAXIN	374946	1p36.22
AGTRAP	57085	1p36.22
C1orf167	284498	1p36.22
LOC102724659	102724659	1p36.22
MTHFR	4524	1p36.22
CLCN6	1185	1p36.22
NPPA-AS1	100379251	1p36.22
NPPA	4878	1p36.22
NPPB	4879	1p36.22
RNU5E-1	26829	1p36.22
KIAA2013	90231	1p36.22
PLOD1	5351	1p36.22
MFN2	9927	1p36.22
MIIP	60672	1p36.22
MIR6729	102466982	1p36.22
TNFRSF8	943	1p36.22
MIR7846	102465836	1p36.22
TNFRSF1B	7133	1p36.22
MIR4632	100616438	1p36.22
VPS13D	55187	1p36.22
SNORA59A|chr1	677885	1p36.21
DHRS3	9249	1p36.21
MIR6730	102466722	1p36.21
AADACL4	343066	1p36.21
AADACL3	126767	1p36.21
C1orf158	93190	1p36.21
HNRNPCL1	343069	1p36.21
HNRNPCL2	440563	1p36.21
HNRNPCL3	649330	1p36.21
HNRNPCL4	101060301	1p36.21
PRAMEF10	343071	1p36.21
PRAMEF11	440560	1p36.21
PRAMEF12	390999	1p36.21
PRAMEF13	400736	1p36.21
PRAMEF14	729528	1p36.21
PRAMEF15	653619	1p36.21
PRAMEF17	391004	1p36.21
PRAMEF18	391003	1p36.21
PRAMEF19	645414	1p36.21
PRAMEF1	65121	1p36.21
PRAMEF20	645425	1p36.21
PRAMEF22	653606	1p36.21
PRAMEF25	441873	1p36.21
PRAMEF26	645359	1p36.21
PRAMEF27	101929983	1p36.21
PRAMEF2	65122	1p36.21
PRAMEF33P	645382	1p36.21
PRAMEF34P	649324	1p36.21
PRAMEF4	400735	1p36.21
PRAMEF5	343068	1p36.21
PRAMEF6	440561	1p36.21
PRAMEF7	441871	1p36.21
PRAMEF8	391002	1p36.21
LRRC38	126755	1p36.21
PDPN	10630	1p36.21
PRDM2	7799	1p36.21
KAZN	23254	1p36.21
TMEM51-AS1	200197	1p36.21
TMEM51	55092	1p36.21
C1orf195	727684	1p36.21
FHAD1	114827	1p36.21
EFHD2	79180	1p36.21
CTRC	11330	1p36.21
CELA2A	63036	1p36.21
CELA2B	51032	1p36.21
CASP9	842	1p36.21
DNAJC16	23341	1p36.21
AGMAT	79814	1p36.21
DDI2	84301	1p36.21
RSC1A1	6248	1p36.21
PLEKHM2	23207	1p36.21
FBLIM1	54751	1p36.21
SLC25A34	284723	1p36.21
TMEM82	388595	1p36.21
UQCRHL	440567	1p36.21
FLJ37453	729614	1p36.21
SPEN	23013	1p36.21
MIR5096|chr1	100616427	1p36.21
ZBTB17	7709	1p36.13
C1orf64	149563	1p36.13
HSPB7	27129	1p36.13
CLCNKA	1187	1p36.13
CLCNKB	1188	1p36.13
FAM131C	348487	1p36.13
EPHA2	1969	1p36.13
ARHGEF19	128272	1p36.13
RSG1	79363	1p36.13
FBXO42	54455	1p36.13
SZRD1	26099	1p36.13
SPATA21	374955	1p36.13
NECAP2	55707	1p36.13
CROCCP3	114819	1p36.13
ATP13A2	23400	1p36.13
CROCCP2	84809	1p36.13
CROCC	9696	1p36.13
ESPNP	284729	1p36.13
FAM231A	729574	1p36.13
FAM231B	100133301	1p36.13
FAM231C	729587	1p36.13
LOC100132147	100132147	1p36.13
LOC105376805	105376805	1p36.13
MFAP2	4237	1p36.13
MIR3675	100500876	1p36.13
MST1L	11223	1p36.13
MST1P2	11209	1p36.13
NBPF1	55672	1p36.13
RNU1-1|chr1	26871	1p36.13
RNU1-2|chr1	26870	1p36.13
RNU1-3|chr1	26869	1p36.13
RNU1-4|chr1	6060	1p36.13
SDHB	6390	1p36.13
PADI2	11240	1p36.13
PADI1	29943	1p36.13
PADI3	51702	1p36.13
MIR3972	100616188	1p36.13
PADI4	23569	1p36.13
PADI6	353238	1p36.13
RCC2	55920	1p36.13
ARHGEF10L	55160	1p36.13
ACTL8	81569	1p36.13
LOC101927876	101927876	1p36.13
IGSF21	84966	1p36.13
KLHDC7A	127707	1p36.13
PAX7	5081	1p36.13
TAS1R2	80834	1p36.13
ALDH4A1	8659	1p36.13
MIR4695	100616120	1p36.13
MIR1290	100302276	1p36.13
IFFO2	126917	1p36.13
UBR4	23352	1p36.13
EMC1	23065	1p36.13
LOC101927895	101927895	1p36.13
MRTO4	51154	1p36.13
AKR7A3	22977	1p36.13
AKR7L	246181	1p36.13
LOC100506730	100506730	1p36.13
AKR7A2	8574	1p36.13
PQLC2	54896	1p36.13
CAPZB	832	1p36.13
LOC105378614	105378614	1p36.13
MINOS1-NBL1	100532736	1p36.13
MINOS1	440574	1p36.13
RPS14P3	644068	1p36.13
NBL1	4681	1p36.13
HTR6	3362	1p36.13
TMCO4	255104	1p36.13
RNF186	54546	1p36.13
OTUD3	23252	1p36.13
PLA2G2E	30814	1p36.13
PLA2G2A	5320	1p36.13
PLA2G5	5322	1p36.13
PLA2G2D	26279	1p36.12
PLA2G2F	64600	1p36.12
PLA2G2C	391013	1p36.12
UBXN10-AS1	101928017	1p36.12
UBXN10	127733	1p36.12
VWA5B1	127731	1p36.12
LINC01141	339505	1p36.12
CAMK2N1	55450	1p36.12
MUL1	79594	1p36.12
FAM43B	163933	1p36.12
CDA	978	1p36.12
MIR6084	102464833	1p36.12
PINK1	65018	1p36.12
PINK1-AS	100861548	1p36.12
DDOST	1650	1p36.12
KIF17	57576	1p36.12
SH2D5	400745	1p36.12
HP1BP3	50809	1p36.12
EIF4G3	8672	1p36.12
MIR1256	100302155	1p36.12
ECE1	1889	1p36.12
LOC100506801	100506801	1p36.12
NBPF3	84224	1p36.12
ALPL	249	1p36.12
RAP1GAP	5909	1p36.12
USP48	84196	1p36.12
LDLRAD2	401944	1p36.12
HSPG2	3339	1p36.12
CDC42	998	1p36.12
CELA3A	10136	1p36.12
CELA3B	23436	1p36.12
LINC00339	29092	1p36.12
LOC101928043	101928043	1p36.12
WNT4	54361	1p36.12
MIR4418	100616433	1p36.12
ZBTB40	9923	1p36.12
EPHA8	2046	1p36.12
MIR6127	102466615	1p36.12
C1QA	712	1p36.12
C1QC	714	1p36.12
C1QB	713	1p36.12
EPHB2	2048	1p36.12
MIR4684	100616391	1p36.12
MIR4253	100422914	1p36.12
LACTBL1	646262	1p36.12
C1orf234	729059	1p36.12
KDM1A	23028	1p36.12
MIR3115	100422866	1p36.12
MIR4419A	100616177	1p36.12
LUZP1	7798	1p36.12
HTR1D	3352	1p36.12
LINC01355	100996511	1p36.12
HNRNPR	10236	1p36.12
ZNF436	80818	1p36.12
ZNF436-AS1	148898	1p36.12
TCEA3	6920	1p36.12
ASAP3	55616	1p36.12
E2F2	1870	1p36.12
LOC101928163	101928163	1p36.12
ID3	3399	1p36.12
MDS2	259283	1p36.11
RPL11	6135	1p36.11
TCEB3	6924	1p36.11
TCEB3-AS1	100506963	1p36.11
PITHD1	57095	1p36.11
GALE	2582	1p36.11
HMGCL	3155	1p36.11
LYPLA2	11313	1p36.11
FUCA1	2517	1p36.11
CNR2	1269	1p36.11
MIR378F	100616492	1p36.11
PNRC2	55629	1p36.11
SRSF10	10772	1p36.11
MYOM3	127294	1p36.11
IL22RA1	58985	1p36.11
IFNLR1	163702	1p36.11
LOC284632	284632	1p36.11
GRHL3	57822	1p36.11
STPG1	90529	1p36.11
NIPAL3	57185	1p36.11
RCAN3AS	100750325	1p36.11
RCAN3	11123	1p36.11
LOC100506985	100506985	1p36.11
NCMAP	400746	1p36.11
SRRM1	10250	1p36.11
CLIC4	25932	1p36.11
RUNX3	864	1p36.11
MIR6731	102465437	1p36.11
MIR4425	100616365	1p36.11
RHCE	6006	1p36.11
RHD	6007	1p36.11
RSRP1	57035	1p36.11
SYF2	25949	1p36.11
TMEM50A	23585	1p36.11
TMEM57	55219	1p36.11
LDLRAP1	26119	1p36.11
MAN1C1	57134	1p36.11
SEPN1	57190	1p36.11
LOC646471	646471	1p36.11
MTFR1L	56181	1p36.11
AUNIP	79000	1p36.11
PAQR7	164091	1p36.11
STMN1	3925	1p36.11
MIR3917	100500808	1p36.11
PAFAH2	5051	1p36.11
EXTL1	2134	1p36.11
SLC30A2	7780	1p36.11
TRIM63	84676	1p36.11
PDIK1L	149420	1p36.11
FAM110D	79927	1p36.11
ZNF593	51042	1p36.11
CNKSR1	10256	1p36.11
CATSPER4	378807	1p36.11
LOC101928303	101928303	1p36.11
CEP85	64793	1p36.11
SH3BGRL3	83442	1p36.11
UBXN11	91544	1p36.11
AIM1L	55057	1p36.11
CD52	1043	1p36.11
ZNF683	257101	1p36.11
LIN28A	79727	1p36.11
DHDDS	79947	1p36.11
LOC101928324	101928324	1p36.11
HMGN2	3151	1p36.11
RPS6KA1	6195	1p36.11
MIR1976	100302190	1p36.11
ARID1A	8289	1p36.11
LOC101928728	101928728	1p36.11
PIGV	55650	1p36.11
ZDHHC18	84243	1p36.11
SFN	2810	1p36.11
GPN2	54707	1p36.11
GPATCH3	63906	1p36.11
NR0B2	8431	1p36.11
NUDC	10726	1p36.11
KDF1	126695	1p36.11
TRNP1	388610	1p36.11
FAM46B	115572	1p36.11
SLC9A1	6548	1p36.11
WDTC1	23038	1p36.11
ACTG1P20	644961	1p36.11
TMEM222	84065	1p36.11
SYTL1	84958	1p36.11
MAP3K6	9064	1p36.11
FCN3	8547	1p36.11
CD164L2	388611	1p36.11
GPR3	2827	1p36.11
WASF2	10163	1p36.11
AHDC1	27245	1p36.11
FGR	2268	1p35.3
IFI6	2537	1p35.3
FAM76A	199870	1p35.3
STX12	23673	1p35.3
PPP1R8	5511	1p35.3
SCARNA1	677774	1p35.3
THEMIS2	9473	1p35.3
RPA2	6118	1p35.3
SMPDL3B	27293	1p35.3
XKR8	55113	1p35.3
EYA3	2140	1p35.3
PTAFR	5724	1p35.3
DNAJC8	22826	1p35.3
ATPIF1	93974	1p35.3
SESN2	83667	1p35.3
MED18	54797	1p35.3
PHACTR4	65979	1p35.3
RCC1	1104	1p35.3
SNHG3	8420	1p35.3
SNORA73A	6080	1p35.3
SNORA73B	26768	1p35.3
TRNAU1AP	54952	1p35.3
SNHG12	85028	1p35.3
SNORD99	692212	1p35.3
SNORA44	677825	1p35.3
SNORA61	677838	1p35.3
SNORA16A	692073	1p35.3
RAB42	115273	1p35.3
TAF12	6883	1p35.3
RNU11	26824	1p35.3
GMEB1	10691	1p35.3
YTHDF2	51441	1p35.3
OPRD1	4985	1p35.3
EPB41	2035	1p35.3
TMEM200B	399474	1p35.3
SRSF4	6429	1p35.3
MECR	51102	1p35.3
PTPRU	10076	1p35.3
LOC101928460	101928460	1p35.3
LOC101929406	101929406	1p35.2
LAPTM5	7805	1p35.2
MATN1-AS1	100129196	1p35.2
MATN1	4146	1p35.2
MIR4420	100616164	1p35.2
SDC3	9672	1p35.2
PUM1	9698	1p35.2
SNORD103A	692234	1p35.2
SNORD103C	692200	1p35.2
NKAIN1	79570	1p35.2
SNRNP40	9410	1p35.2
ZCCHC17	51538	1p35.2
FABP3	2170	1p35.2
SERINC2	347735	1p35.2
LINC01225	149086	1p35.2
LINC01226	284551	1p35.2
TINAGL1	64129	1p35.2
HCRTR1	3061	1p35.2
PEF1	553115	1p35.2
COL16A1	1307	1p35.2
ADGRB2	576	1p35.2
MIR4254	100423028	1p35.2
SPOCD1	90853	1p35.2
PTP4A2	8073	1p35.2
KHDRBS1	10657	1p35.2
TMEM39B	55116	1p35.2
MIR5585	100847018	1p35.2
KPNA6	23633	1p35.2
TXLNA	200081	1p35.2
CCDC28B	79140	1p35.2
IQCC	55721	1p35.2
DCDC2B	149069	1p35.2
TMEM234	56063	1p35.2
EIF3I	8668	1p35.2
MTMR9LP	339483	1p35.2
FAM167B	84734	1p35.2
LCK	3932	1p35.2
HDAC1	3065	1p35.2
MARCKSL1	65108	1p35.1
BSDC1	55108	1p35.1
FAM229A	100128071	1p35.1
TSSK3	81629	1p35.1
ZBTB8B	728116	1p35.1
ZBTB8A	653121	1p35.1
ZBTB8OS	339487	1p35.1
RBBP4	5928	1p35.1
SYNC	81493	1p35.1
KIAA1522	57648	1p35.1
YARS	8565	1p35.1
S100PBP	64766	1p35.1
FNDC5	252995	1p35.1
HPCA	3208	1p35.1
TMEM54	113452	1p35.1
RNF19B	127544	1p35.1
AK2	204	1p35.1
AZIN2	113451	1p35.1
TRIM62	55223	1p35.1
ZNF362	149076	1p35.1
A3GALT2	127550	1p35.1
PHC2	1912	1p35.1
MIR3605	100500853	1p35.1
LOC101929464	101929464	1p35.1
ZSCAN20	7579	1p35.1
CSMD2	114784	1p35.1
HMGB4	127540	1p35.1
CSMD2-AS1	402779	1p35.1
C1orf94	84970	1p35.1
MIR552	693137	1p34.3
GJB5	2709	1p34.3
GJB4	127534	1p34.3
GJB3	2707	1p34.3
GJA4	2701	1p34.3
SMIM12	113444	1p34.3
DLGAP3	58512	1p34.3
LOC653160	653160	1p34.3
TMEM35B	100506144	1p34.3
ZMYM6	9204	1p34.3
ZMYM1	79830	1p34.3
SFPQ	6421	1p34.3
ZMYM4	9202	1p34.3
KIAA0319L	79932	1p34.3
NCDN	23154	1p34.3
TFAP2E	339488	1p34.3
PSMB2	5690	1p34.3
C1orf216	127703	1p34.3
CLSPN	63967	1p34.3
AGO4	192670	1p34.3
AGO1	26523	1p34.3
AGO3	192669	1p34.3
TEKT2	27285	1p34.3
ADPRHL2	54936	1p34.3
COL8A2	1296	1p34.3
TRAPPC3	27095	1p34.3
MAP7D1	55700	1p34.3
THRAP3	9967	1p34.3
SH3D21	79729	1p34.3
EVA1B	55194	1p34.3
STK40	83931	1p34.3
LSM10	84967	1p34.3
OSCP1	127700	1p34.3
MRPS15	64960	1p34.3
CSF3R	1441	1p34.3
GRIK3	2899	1p34.3
MIR4255	100422898	1p34.3
LINC01137	728431	1p34.3
ZC3H12A	80149	1p34.3
MIR6732	102465438	1p34.3
MEAF6	64769	1p34.3
MIR5581	100847010	1p34.3
SNIP1	79753	1p34.3
DNALI1	7802	1p34.3
GNL2	29889	1p34.3
RSPO1	284654	1p34.3
C1orf109	54955	1p34.3
CDCA8	55143	1p34.3
EPHA10	284656	1p34.3
MANEAL	149175	1p34.3
YRDC	79693	1p34.3
C1orf122	127687	1p34.3
MTF1	4520	1p34.3
INPP5B	3633	1p34.3
SF3A3	10946	1p34.3
FHL3	2275	1p34.3
UTP11	51118	1p34.3
POU3F1	5453	1p34.3
MIR3659	100500801	1p34.3
LINC01343	339442	1p34.3
RRAGC	64121	1p34.3
GJA9-MYCBP	100527950	1p34.3
MYCBP	26292	1p34.3
LOC105378663	105378663	1p34.3
GJA9	81025	1p34.3
RHBDL2	54933	1p34.3
AKIRIN1	79647	1p34.3
NDUFS5	4725	1p34.3
MACF1	23499	1p34.3
KIAA0754	643314	1p34.3
BMP8A	353500	1p34.3
OXCT2P1	192217	1p34.3
PPIEL	728448	1p34.3
PABPC4	8761	1p34.3
LOC101929516	101929516	1p34.3
SNORA55	677834	1p34.3
HEYL	26508	1p34.2
HPCAL4	51440	1p34.2
NT5C1A	84618	1p34.2
PPIE	10450	1p34.2
BMP8B	656	1p34.2
OXCT2	64064	1p34.2
LOC101929536	101929536	1p34.2
TRIT1	54802	1p34.2
MYCL	4610	1p34.2
MFSD2A	84879	1p34.2
CAP1	10487	1p34.2
PPT1	5538	1p34.2
RLF	6018	1p34.2
TMCO2	127391	1p34.2
ZMPSTE24	10269	1p34.2
COL9A2	1298	1p34.2
SMAP2	64744	1p34.2
ZFP69B	65243	1p34.2
ZFP69	339559	1p34.2
EXO5	64789	1p34.2
ZNF684	127396	1p34.2
RIMS3	9783	1p34.2
NFYC-AS1	100130557	1p34.2
NFYC	4802	1p34.2
MIR30E	407034	1p34.2
MIR30C1	407031	1p34.2
KCNQ4	9132	1p34.2
CITED4	163732	1p34.2
CTPS1	1503	1p34.2
SLFNL1-AS1	100507178	1p34.2
SLFNL1	200172	1p34.2
SCMH1	22955	1p34.2
FOXO6	100132074	1p34.2
LOC101929901	101929901	1p34.2
EDN2	1907	1p34.2
HIVEP3	59269	1p34.2
GUCA2B	2981	1p34.2
GUCA2A	2980	1p34.2
FOXJ3	22887	1p34.2
RIMKLA	284716	1p34.2
ZMYND12	84217	1p34.2
PPCS	79717	1p34.2
CCDC30	728621	1p34.2
PPIH	10465	1p34.2
YBX1	4904	1p34.2
CLDN19	149461	1p34.2
P3H1	64175	1p34.2
C1orf50	79078	1p34.2
LOC105378683	105378683	1p34.2
LOC100129924	100129924	1p34.2
SVBP	374969	1p34.2
ERMAP	114625	1p34.2
ZNF691	51058	1p34.2
LOC339539	339539	1p34.2
SLC2A1	6513	1p34.2
SLC2A1-AS1	440584	1p34.2
FAM183A	440585	1p34.2
EBNA1BP2	10969	1p34.2
CFAP57	149465	1p34.2
MIR6733	102465439	1p34.2
TMEM125	128218	1p34.2
C1orf210	149466	1p34.2
TIE1	7075	1p34.2
MPL	4352	1p34.2
CDC20	991	1p34.2
ELOVL1	64834	1p34.2
MIR6734	102466723	1p34.2
MED8	112950	1p34.2
SZT2	23334	1p34.2
MIR6735	102465440	1p34.2
HYI	81888	1p34.2
PTPRF	5792	1p34.2
KDM4A	9682	1p34.2
KDM4A-AS1	100132774	1p34.2
LOC101929592	101929592	1p34.1
ST3GAL3	6487	1p34.1
MIR6079	102464830	1p34.1
ARTN	9048	1p34.1
IPO13	9670	1p34.1
DPH2	1802	1p34.1
ATP6V0B	533	1p34.1
B4GALT2	8704	1p34.1
CCDC24	149473	1p34.1
SLC6A9	6536	1p34.1
KLF17	128209	1p34.1
DMAP1	55929	1p34.1
ERI3-IT1	100874278	1p34.1
ERI3	79033	1p34.1
SNORA110	106635545	1p34.1
RNF220	55182	1p34.1
MIR5584	100847089	1p34.1
TMEM53	79639	1p34.1
C1orf228	339541	1p34.1
RNU5F-1	26828	1p34.1
RNU5D-1	26830	1p34.1
KIF2C	11004	1p34.1
BEST4	266675	1p34.1
BTBD19	149478	1p34.1
PLK3	1263	1p34.1
RPS8	6202	1p34.1
SNORD38A	94162	1p34.1
SNORD38B	94163	1p34.1
SNORD46	94161	1p34.1
SNORD55	26811	1p34.1
TCTEX1D4	343521	1p34.1
PTCH2	8643	1p34.1
EIF2B3	8891	1p34.1
HECTD3	79654	1p34.1
UROD	7389	1p34.1
ZSWIM5	57643	1p34.1
LINC01144	400752	1p34.1
HPDL	84842	1p34.1
MUTYH	4595	1p34.1
TESK2	10420	1p34.1
TOE1	114034	1p34.1
CCDC163	126661	1p34.1
MMACHC	25974	1p34.1
PRDX1	5052	1p34.1
AKR1A1	10327	1p34.1
NASP	4678	1p34.1
CCDC17	149483	1p34.1
GPBP1L1	60313	1p34.1
RPS15AP10	728963	1p34.1
IPP	3652	1p34.1
TMEM69	51249	1p34.1
MAST2	23139	1p34.1
PIK3R3	8503	1p34.1
LOC101929626	101929626	1p34.1
TSPAN1	10103	1p34.1
POMGNT1	55624	1p34.1
LURAP1	541468	1p34.1
RAD54L	8438	1p34.1
LRRC41	10489	1p34.1
UQCRH	7388	1p33
NSUN4	387338	1p33
FAAH	2166	1p33
FAAHP1	729041	1p33
LINC01398	101929651	1p33
DMBX1	127343	1p33
MKNK1-AS1	100507423	1p33
KNCN	148930	1p33
MKNK1	8569	1p33
MOB3C	148932	1p33
ATPAF1	64756	1p33
TEX38	374973	1p33
EFCAB14-AS1	100130197	1p33
EFCAB14	9813	1p33
CYP4B1	1580	1p33
CYP4Z2P	163720	1p33
CYP4A11	1579	1p33
CYP4X1	260293	1p33
CYP4Z1	199974	1p33
CYP4A22	284541	1p33
LINC00853	100874253	1p33
PDZK1IP1	10158	1p33
TAL1	6886	1p33
STIL	6491	1p33
CMPK1	51727	1p33
LINC01389	102724077	1p33
FOXE3	2301	1p33
FOXD2-AS1	84793	1p33
FOXD2	2306	1p33
TRABD2B	388630	1p33
SKINT1L	391037	1p33
SLC5A9	200010	1p33
SPATA6	54558	1p33
AGBL4	84871	1p33
BEND5	79656	1p33
LOC101929721	101929721	1p33
AGBL4-IT1	100874313	1p33
ELAVL4	1996	1p33
DMRTA2	63950	1p32.3
FAF1	11124	1p32.3
CDKN2C	1031	1p32.3
MIR4421	100616189	1p32.3
MIR6500	102466656	1p32.3
C1orf185	284546	1p32.3
RNF11	26994	1p32.3
TTC39A	22996	1p32.3
TTC39A-AS1	102724097	1p32.3
EPS15	2060	1p32.3
OSBPL9	114883	1p32.3
NRDC	4898	1p32.3
MIR761	100313892	1p32.3
RAB3B	5865	1p32.3
TXNDC12	51060	1p32.3
KTI12	112970	1p32.3
TXNDC12-AS1	104355143	1p32.3
BTF3L4	91408	1p32.3
ZFYVE9	9372	1p32.3
CC2D1B	200014	1p32.3
ORC1	4998	1p32.3
PRPF38A	84950	1p32.3
ZCCHC11	23318	1p32.3
GPX7	2882	1p32.3
FAM159A	348378	1p32.3
COA7	65260	1p32.3
ZYG11B	79699	1p32.3
ZYG11A	440590	1p32.3
ECHDC2	55268	1p32.3
SCP2	6342	1p32.3
MIR1273F	100616156	1p32.3
MIR5095	100616458	1p32.3
MIR1273G	100616145	1p32.3
