cytoband	11q13.3	8p11.23	20q13.2	19q13.43	8q24.13	17q23.2	1q43	15q26.2	11p13	6q13	10q21.3	3q28	17p11.2	10p15.1	7p21.2	4q31.21	5p14.3	13q32.2	16p13.2	17q24.3	19p13.2	1p31.3	16q12.1	21q22.3	2p25.1	20q11.23	2q24.3	4p15.1	9p24.1	12p11.22	12q24.13	3p22.3	Xp21.3	18p11.31	13q12.3	7q21.3	14q32.2	11q24.2	1q21.2	8p22	18q12.2	16p11.2	6p24.3	6p22.3	
				ZNF211		APPBP2																													PDX1				FCGR1A			ITGAX		AMD1	
				TRAPPC2B		TLK2																													UBL3				FCGR1B			PHKG2		ARG1	
				ZNF460		RNFT1																													RNF6				FLG			PRSS8		ATP6V1G2	
				ZNF586		TUBD1																													RPL21				FMO5			SLC5A2		ADGRB3	
				ZNF416		PTRH2																													SLC7A1				GJA5			STX4		BAK1	
				VN1R1		BCAS3																													USPL1				GJA8			TGFB1I1		BCKDHB	
				ZNF304		INTS2																													WASF3				MCL1			BCL7C		CFB	
				ZNF419		HEATR6																													MTUS2				NOTCH2			ZNF646		PRDM1	
				ZNF552		DHX40																													SNORD102				PDZK1			SETD1A		BMP5	
				ZNF671		VMP1																													POLR1D				PI4KB			RNF40		BMP6	
				ZNF587		BRIP1																													POMP				PRKAB2			BCKDK		DST	
				ZNF551		USP32																													ATP8A2				PSMB4			ZNF267		BPHL	
				ZNF543		C17orf64																													KATNAL1				PSMD4			SRCAP		BTN1A1	
				ZNF548		EFCAB3																													USP12				RFX5			ZNF629		BYSL	
				ZNF550		METTL2A																													MTIF3				RNU1-4			TP53TG3		C2	
				ZSCAN4		NACA2																													GSX1				RORC			PYCARD		C4A	
				ZNF549		YPEL2																													LNX2				S100A10			AHSP		C4B	
				ZNF547		LOC388406																													PAN3				S100A11			FBXL19		DDR1	
				ZIK1		C17orf82																													SLC46A3				VPS72			FBRS		RUNX2	
				ZNF776		MIR21																													RASL11A				TCHH			C16orf58		CCNC	
				ZNF530		TBC1D3P2																													SHISA2				TUFT1			ZNF747		CCND3	
				ZNF773		WFDC21P																													ATP5EP2				HIST2H2AA3			PRR14		CDC5L	
				ZNF749		TBC1D3P1-DHX40P1																													LINC00544				HIST2H2AC			VKORC1		CDKN1A	
				ZNF805		LOC653653																													SNORA27				HIST2H2BE			ZNF768		CDSN	
				ZNF772		SCARNA20																													URAD				HIST2H4A			ZNF668		CGA	
				ZNF814		MIR4737																													LINC00543				PIP5K1A			ARMC5		CLIC1	
				ZNF587B		LINC01476																													LINC00426				ANXA9			HSD3B7		CLPS	
				LOC105372476		LOC101927755																													PAN3-AS1				ITGA10			KAT8		CCR6	
						LOC101927855																													PDX1-AS1				PEX11B			CCDC189		CNR1	
						TBX2-AS1																													LINC00572				SELENBP1			ZNF764		COL9A1	
						LOC105371849																													LINC00297				PRPF3			ORAI3		COL10A1	
																																			USP12-AS1				SEC22B			STX1B		COL11A2	
																																			USP12-AS2				CHD1L			ZNF689		COL12A1	
																																			MTUS2-AS1				PDE4DIP			ANKRD26P1		COL19A1	
																																			LINC00365				SETDB1			ZNF720		COX7A2	
																																			LINC00384				SV2A			FRG2DP		ATF6B	
																																			LINC00412				RBM8A			ZNF785		MAPK14	
																																			LOC102723345				SF3B4			ZNF688		CSNK2B	
																																			LINC01058				PIAS3			PRSS36		CTGF	
																																							SEMA6C			PYDC1		CYP21A2	
																																							POLR3C			LINC01566		CYP21A1P	
																																							TXNIP			FBXL19-AS1		DAXX	
																																							MTMR11			ZNF843		DNAH8	
																																							MLLT11			PRSS53		DXO	
																																							TDRKH			SLC6A10P		DSP	
																																							CD160			LOC390705		E2F3	
																																							CELF3			FLJ26245		EDN1	
																																							VPS45			YBX3P1		EEF1A1	
																																							POGZ			TRIM72		SERPINB1	
																																							RPRD2			UBE2MP1		SLC29A1	
																																							CA14			LINC00273		EPB41L2	
																																							NBPF14			TP53TG3C		EPHA7	
																																							LCE2B			SNORA30		EYA4	
																																							RNVU1-7			TP53TG3D		ESR1	
																																							RNU1-3			TP53TG3B		F13A1	
																																							RNU1-2			LOC730183		FABP7	
																																							RNU1-1			TP53TG3HP		FANCE	
																																							RNF115			CLUHP3		FKBP5	
																																							TMOD4			HERC2P4		FOXF2	
																																							CERS2			MIR762		FOXC1	
																																							CRNN			MIR4519		FOXO3	
																																							BOLA1			MIR4518		FRK	
																																							APH1A			PYCARD-AS1		FUCA2	
																																							PLEKHO1			TMEM265		FYN	
																																							ACP6			MIR762HG		GABBR1	
																																							GPR89B			LOC102723753		GABRR1	
																																							OAZ3			FRG2KP		GABRR2	
																																							MRPS21			TP53TG3E		GCNT2	
																																							ADAMTSL4			TP53TG3F		GJA1	
																																							CRCT1			ENPP7P13		GCLC	
																																							C1orf56					GLO1	
																																							GOLPH3L					GLP1R	
																																							FAM63A					GMDS	
																																							CDC42SE1					GMPR	
																																							OTUD7B					GNL1	
																																							LINC00869					GPLD1	
																																							CGN					GPR6	
																																							ZNF687					GPR31	
																																							PRUNE1					GPX5	
																																							MRPL9					GRIK2	
																																							SCNM1					GRM1	
																																							TNFAIP8L2					GRM4	
																																							C1orf54					GSTA1	
																																							TARS2					GSTA2	
																																							SNX27					GSTA3	
																																							ANP32E					GSTA4	
																																							HORMAD1					GTF2H4	
																																							POLR3GL					GUCA1A	
																																							LCE3D					GUCA1B	
																																							GNRHR2					HIST1H1C	
																																							THEM4					HIST1H1D	
																																							GABPB2					HIST1H1E	
																																							TCHHL1					HIST1H1B	
																																							RPTN					HIST1H1T	
																																							LIX1L					HIST1H2AE	
																																							CIART					HIST1H2AD	
																																							HFE2					HIST1H2BD	
																																							ANKRD35					HIST1H2BB	
																																							NBPF12					HIST1H1A	
																																							BNIPL					HCRTR2	
																																							NUDT4P2					HDAC2	
																																							PDIA3P1					HFE	
																																							LCE4A					HIVEP1	
																																							NBPF11					HIVEP2	
																																							NUDT17					HLA-A	
																																							LCE5A					HLA-B	
																																							RIIAD1					HLA-C	
																																							THEM5					HLA-DMA	
																																							NBPF15					HLA-DMB	
																																							ANKRD34A					HLA-DOA	
																																							HIST2H2AB					HLA-DOB	
																																							HIST2H3A					HLA-DPA1	
																																							HIST2H2BC					HLA-DPB1	
																																							HIST2H2BA					HLA-DPB2	
																																							LINGO4					HLA-DQA1	
																																							FLG-AS1					HLA-DQA2	
																																							LCE2A					HLA-DQB1	
																																							LCE2C					HLA-DQB2	
																																							LCE2D					HLA-DRA	
																																							LCE3A					HLA-DRB1	
																																							LCE3B					HLA-DRB5	
																																							LCE3C					HLA-DRB6	
																																							LCE3E					HLA-E	
																																							NOTCH2NL					HLA-F	
																																							LINC01138					HLA-G	
																																							LOC388692					HLA-H	
																																							LYSMD1					HLA-J	
																																							HRNR					HLA-L	
																																							FLG2					HMGA1	
																																							NBPF9					HSF2	
																																							NUDT4P1					HSPA1A	
																																							HIST2H2BF					HSPA1B	
																																							NBPF18P					HSPA1L	
																																							KPRP					HSP90AB1	
																																							FAM72C					HTR1B	
																																							ADAMTSL4-AS1					HTR1E	
																																							PPIAL4G					ID4	
																																							FAM231D					IFNGR1	
																																							NBPF13P					IGF2R	
																																							PPIAL4D					IL17A	
																																							LOC645166					IMPG1	
																																							EMBP1					IRF4	
																																							SRGAP2B					ITPR3	
																																							SRGAP2C					JARID2	
																																							PPIAL4A					KIFC1	
																																							GPR89A					KIF25	
																																							PPIAL4C					KPNA5	
																																							HIST2H3D					LAMA2	
																																							FAM72B					LAMA4	
																																							MIR554					LPA	
																																							FAM72D					LTA	
																																							NBPF8					LTB	
																																							LINC00623					MARCKS	
																																							LOC728989					MAK	
																																							PPIAL4E					MAN1A1	
																																							PFN1P2					MAS1	
																																							PDZK1P1					MCM3	
																																							C1orf68					MDFI	
																																							LOC100131107					ME1	
																																							LOC100132057					MEA1	
																																							LOC100132111					MAP3K4	
																																							NBPF10					MAP3K5	
																																							FCGR1CP					MEP1A	
																																							C2CD4D					MICB	
																																							NBPF20					MLN	
																																							HYDIN2					AFDN	
																																							LINC00624					MOCS1	
																																							MIR4257					MOG	
																																							LOC100505824					MSH5	
																																							LOC100507670					MUT	
																																							TNFAIP8L2-SCNM1					MYB	
																																							MIR5087					MYO6	
																																							SRGAP2-AS1					RPL10A	
																																							FALEC					NEDD9	
																																							SRGAP2D					NEU1	
																																							RNVU1-8					NFKBIE	
																																							LOC101927429					NFKBIL1	
																																							LOC101927468					NFYA	
																																							GBAT2					NMBR	
																																							LOC101928979					NQO2	
																																							NBPF25P					NOTCH4	
																																							LOC101929798					NT5E	
																																							RNVU1-4					OPRM1	
																																							RNVU1-14					PARK2	
																																							RNVU1-15					PBX2	
																																							RNVU1-20					PCMT1	
																																							RNVU1-17					PDCD2	
																																							RNVU1-3					ENPP1	
																																							RNVU1-1					ENPP3	
																																							RNVU1-6					PEX6	
																																							RNVU1-19					PEX7	
																																							MIR6878					PGC	
																																							MIR6736					PGK2	
																																							MIR6077					PGM3	
																																							CH17-408M7.1					PHF1	
																																							LOC103091866					SERPINB6	
																																							LOC105371433					SERPINB9	
																																												PIM1	
																																												PKHD1	
																																												PLAGL1	
																																												PLG	
																																												PLN	
																																												POLH	
																																												POU3F2	
																																												POU5F1	
																																												PPARD	
																																												PPP1R10	
																																												PPP2R5D	
																																												PREP	
																																												PRIM2	
																																												PKIB	
																																												MAPK13	
																																												PRL	
																																												PSMB1	
																																												PSMB8	
																																												PSMB9	
																																												PTK7	
																																												PTPRK	
																																												RGL2	
																																												PRPH2	
																																												REV3L	
																																												TRIM27	
																																												RHAG	
																																												RING1	
																																												BRD2	
																																												RNF5	
																																												ROS1	
																																												RPS6KA2	
																																												RPS10	
																																												RPS12	
																																												RPS18	
																																												RREB1	
																																												RXRB	
																																												VPS52	
																																												ATXN1	
																																												SRSF3	
																																												SGK1	
																																												SIM1	
																																												SKIV2L	
																																												SLC17A1	
																																												SLC22A1	
																																												SLC22A3	
																																												SLC22A2	
																																												SMPD2	
																																												SNRPC	
																																												SOD2	
																																												SOX4	
																																												SRF	
																																												SRPK1	
																																												SSR1	
																																												ELOVL4	
																																												T	
																																												TAF11	
																																												MAP3K7	
																																												TAP1	
																																												TAP2	
																																												TAPBP	
																																												TBCC	
																																												TBP	
																																												TCF19	
																																												TCF21	
																																												TCP1	
																																												TCP10	
																																												TCP11	
																																												TCTE3	
																																												PPP1R11	
																																												DYNLT1	
																																												TEAD3	
																																												TFAP2A	
																																												TFAP2B	
																																												THBS2	
																																												NR2E1	
																																												TNF	
																																												TNFAIP3	
																																												TNXA	
																																												TNXB	
																																												TPBG	
																																												TPD52L1	
																																												TPMT	
																																												CRISP2	
																																												TSPYL1	
																																												TTK	
																																												TUBB2A	
																																												TULP1	
																																												UTRN	
																																												VARS	
																																												VEGFA	
																																												EZR	
																																												VIP	
																																												ZNF76	
																																												ZNF165	
																																												TRIM26	
																																												ZNF184	
																																												ZSCAN26	
																																												ZKSCAN8	
																																												ZSCAN9	
																																												ZNF204P	
																																												PTP4A1	
																																												DEK	
																																												ALDH5A1	
																																												PRRC2A	
																																												BAG6	
																																												GPANK1	
																																												DDX39B	
																																												ABHD16A	
																																												SLC39A7	
																																												HSD17B8	
																																												OR2H2	
																																												NELFE	
																																												LST1	
																																												PLA2G7	
																																												TFEB	
																																												RNF217-AS1	
																																												EPM2A	
																																												HIST1H4I	
																																												HIST1H2AI	
																																												HIST1H2AK	
																																												HIST1H2AJ	
																																												HIST1H2AL	
																																												HIST1H2AC	
																																												HIST1H2AB	
																																												HIST1H2AM	
																																												HIST1H2BG	
																																												HIST1H2BL	
																																												HIST1H2BN	
																																												HIST1H2BM	
																																												HIST1H2BF	
																																												HIST1H2BE	
																																												HIST1H2BH	
																																												HIST1H2BI	
																																												HIST1H2BC	
																																												HIST1H2BO	
																																												HIST1H3A	
																																												HIST1H3D	
																																												HIST1H3C	
																																												HIST1H3E	
																																												HIST1H3I	
																																												HIST1H3G	
																																												HIST1H3J	
																																												HIST1H3H	
																																												HIST1H3B	
																																												HIST1H4A	
																																												HIST1H4D	
																																												HIST1H4F	
																																												HIST1H4K	
																																												HIST1H4J	
																																												HIST1H4C	
																																												HIST1H4H	
																																												HIST1H4B	
																																												HIST1H4E	
																																												HIST1H4L	
																																												HIST1H4G	
																																												STX7	
																																												CMAHP	
																																												DHX16	
																																												SUPT3H	
																																												PEX3	
																																												GCM1	
																																												DDO	
																																												RNASET2	
																																												KCNK5	
																																												STX11	
																																												B3GALT4	
																																												SNX3	
																																												RNGTT	
																																												RIPK1	
																																												CD164	
																																												SYNGAP1	
																																												WISP3	
																																												STK19	
																																												IER3	
																																												SYNJ2	
																																												VNN2	
																																												VNN1	
																																												PRPF4B	
																																												WASF1	
																																												HIST1H3F	
																																												HIST1H2AG	
																																												HIST1H2BJ	
																																												RNF8	
																																												TAAR5	
																																												MAP7	
																																												TBX18	
																																												LATS1	
																																												GCM2	
																																												WDR46	
																																												ZBTB22	
																																												TAAR2	
																																												TAAR3	
																																												CD83	
																																												HMGN3	
																																												PPT2	
																																												CDYL	
																																												NCR2	
																																												MED23	
																																												QKI	
																																												LY86	
																																												FHL5	
																																												AKAP7	
																																												ATG5	
																																												MED20	
																																												SLC25A27	
																																												TBPL1	
																																												EEF1E1	
																																												BAG2	
																																												POLR1C	
																																												MAD2L1BP	
																																												WTAP	
																																												AKAP12	
																																												MDC1	
																																												TRAM2	
																																												KIAA0408	
																																												PHACTR2	
																																												FAM65B	
																																												ZSCAN12	
																																												BCLAF1	
																																												CUL7	
																																												ZBTB24	
																																												KIAA0319	
																																												SNAP91	
																																												FIG4	
																																												NUP153	
																																												CASP8AP2	
																																												RANBP9	
																																												SLC17A4	
																																												UST	
																																												TRIM10	
																																												FLOT1	
																																												RCAN2	
																																												SLC17A2	
																																												HCG9	
																																												PRSS16	
																																												CRISP3	
																																												TRDN	
																																												CITED2	
																																												BTN3A3	
																																												BTN2A2	
																																												ECI2	
																																												PFDN6	
																																												HMGN4	
																																												TRIM38	
																																												CAP2	
																																												SYNCRIP	
																																												UBD	
																																												AGPAT1	
																																												SLC35A1	
																																												SCGN	
																																												DNPH1	
																																												C6orf10	
																																												FARS2	
																																												FUT9	
																																												CNPY3	
																																												TRAF3IP2	
																																												HBS1L	
																																												SLC17A3	
																																												RPP40	
																																												FRS3	
																																												PDE10A	
																																												SLC22A7	
																																												HCP5	
																																												EHMT2	
																																												SMPDL3A	
																																												APOBEC2	
																																												PNRC1	
																																												ASCC3	
																																												RAB32	
																																												TRIM31	
																																												KATNA1	
																																												FGFR1OP	
																																												BTN3A2	
																																												BTN3A1	
																																												BTN2A1	
																																												CAPN11	
																																												BVES	
																																												NUDT3	
																																												SEC63	
																																												NRM	
																																												STK38	
																																												SCAF8	
																																												CEP162	
																																												ICK	
																																												ENPP4	
																																												ANKRD6	
																																												RIMS1	
																																												DOPEY1	
																																												ZNF292	
																																												CMTR1	
																																												CDK19	
																																												CUL9	
																																												TAB2	
																																												MDN1	
																																												TSPYL4	
																																												ANKS1A	
																																												UBR2	
																																												SASH1	
																																												SYNE1	
																																												UFL1	
																																												SIRT5	
																																												PHF3	
																																												HEY2	
																																												DAAM2	
																																												GLTSCR1L	
																																												DDAH2	
																																												HEBP2	
																																												ORC3	
																																												CD2AP	
																																												BRD7P3	
																																												MTCH1	
																																												ZNF318	
																																												SPDEF	
																																												MTO1	
																																												ASF1A	
																																												YIPF3	
																																												USP49	
																																												CCDC28A	
																																												MTHFD1L	
																																												PNISR	
																																												IBTK	
																																												MOXD1	
																																												IPCEF1	
																																												ZNF451	
																																												SENP6	
																																												OR2B6	
																																												TIAM2	
																																												FBXL4	
																																												LINC01558	
																																												FAM50B	
																																												FBXO9	
																																												FBXO5	
																																												SLC17A5	
																																												OR12D2	
																																												OR11A1	
																																												RGS17	
																																												OR2W1	
																																												OR2J2	
																																												OR2H1	
																																												SNORD52	
																																												SNORD50A	
																																												SNORD48	
																																												PDE7B	
																																												FILIP1	
																																												BRPF3	
																																												GNMT	
																																												TNFRSF21	
																																												SESN1	
																																												TINAG	
																																												DLL1	
																																												OSTM1	
																																												MRPS18B	
																																												TMEM14A	
																																												MRPL18	
																																												NDUFAF4	
																																												C6orf15	
																																												MYLIP	
																																												ABT1	
																																												DSE	
																																												PRICKLE4	
																																												PACSIN1	
																																												ZNRD1	
																																												CLDN20	
																																												NOX3	
																																												DEF6	
																																												C6orf48	
																																												SLC35B3	
																																												HDDC2	
																																												GMNN	
																																												MRPL2	
																																												TFB1M	
																																												CYB5R4	
																																												TUBE1	
																																												C6orf203	
																																												TBC1D7	
																																												NRN1	
																																												CYP39A1	
																																												CDC40	
																																												RWDD1	
																																												AIG1	
																																												NOL7	
																																												SNX9	
																																												FAM8A1	
																																												UBE2J1	
																																												DCDC2	
																																												ETV7	
																																												TMEM14C	
																																												VTA1	
																																												LGSN	
																																												TDP2	
																																												CUTA	
																																												PPIL1	
																																												MPC1	
																																												HECA	
																																												RAB23	
																																												COQ3	
																																												CLIC5	
																																												IL20RA	
																																												TREM2	
																																												TREM1	
																																												UNC93A	
																																												HCG4	
																																												GFOD1	
																																												HMGCLL1	
																																												MTRF1L	
																																												CCHCR1	
																																												GTPBP2	
																																												BTN2A3P	
																																												AHI1	
																																												UHRF1BP1	
																																												ELOVL2	
																																												CDKAL1	
																																												PAK1IP1	
																																												RMND1	
																																												PHIP	
																																												SOBP	
																																												AKIRIN2	
																																												CENPQ	
																																												MRPS18A	
																																												MRPS10	
																																												LRRC1	
																																												PHF10	
																																												QRSL1	
																																												VNN3	
																																												TMEM63B	
																																												DDX43	
																																												FAM46A	
																																												CARMIL1	
																																												TBC1D22B	
																																												TMEM30A	
																																												EXOC2	
																																												SAYSD1	
																																												ERMARD	
																																												LMBRD1	
																																												TRERF1	
																																												ACOT13	
																																												ECHDC1	
																																												APOM	
																																												BTNL2	
																																												KCNQ5	
																																												TRIM39	
																																												AGPAT4	
																																												WRNIP1	
																																												DUSP22	
																																												TULP4	
																																												RARS2	
																																												HYMAI	
																																												PDSS2	
																																												GOPC	
																																												LYRM4	
																																												SMIM8	
																																												VARS2	
																																												ADGRG6	
																																												ARFGEF3	
																																												NHSL1	
																																												LYRM2	
																																												SNX14	
																																												MRS2	
																																												PLEKHG1	
																																												ARID1B	
																																												LRFN2	
																																												AARS2	
																																												XPO5	
																																												SERINC1	
																																												HACE1	
																																												FAM135A	
																																												TMEM181	
																																												ZBTB2	
																																												BEND3	
																																												KIAA1586	
																																												CPNE5	
																																												LSM2	
																																												C6orf47	
																																												LY6G5B	
																																												ABRACL	
																																												RRAGD	
																																												LY6G6D	
																																												ENPP5	
																																												PRDM13	
																																												PBOV1	
																																												BACH2	
																																												ELOVL5	
																																												TRMT11	
																																												SMAP1	
																																												ZFAND3	
																																												SLC22A23	
																																												LINC01590	
																																												BLOC1S5	
																																												MCUR1	
																																												GPSM3	
																																												FKBPL	
																																												KIF13A	
																																												PERP	
																																												SMOC2	
																																												POPDC3	
																																												ZSCAN31	
																																												ALDH8A1	
																																												C6orf106	
																																												MICAL1	
																																												MRPL14	
																																												DLK2	
																																												LY6G6E	
																																												ULBP3	
																																												OR2A4	
																																												ARMT1	
																																												OGFRL1	
																																												FAM184A	
																																												ZDHHC14	
																																												ZNF322	
																																												MANEA	
																																												ADGB	
																																												TREML2	
																																												RPP21	
																																												LINC00472	
																																												ATAT1	
																																												FRMD1	
																																												AGPAT4-IT1	
																																												LINC00574	
																																												LCAL1	
																																												CCDC170	
																																												MYCT1	
																																												ZKSCAN3	
																																												ULBP2	
																																												ULBP1	
																																												ZSCAN16	
																																												LPAL2	
																																												RNF39	
																																												SLC44A4	
																																												VWA7	
																																												C6orf25	
																																												LY6G6C	
																																												LY6G5C	
																																												PRR3	
																																												KHDC1	
																																												ZNRD1ASP	
																																												PRRT1	
																																												EGFL8	
																																												HCG4B	
																																												GPR63	
																																												TXNDC5	
																																												COL21A1	
																																												C6orf62	
																																												OR5V1	
																																												OR2B2	
																																												PPP1R14C	
																																												OR12D3	
																																												SPACA1	
																																												RNF146	
																																												TMEM14B	
																																												SF3B5	
																																												TAAR8	
																																												SH3BGRL2	
																																												RIOK1	
																																												TFAP2D	
																																												KCNK16	
																																												RSPH3	
																																												TTLL2	
																																												DTNBP1	
																																												ARMC2	
																																												FBXO30	
																																												RPF2	
																																												UQCC2	
																																												L3MBTL3	
																																												FAM120B	
																																												MCHR2	
																																												PGBD1	
																																												FAXC	
																																												FNDC1	
																																												TTBK1	
																																												GJA10	
																																												RTN4IP1	
																																												ADTRP	
																																												RSPO3	
																																												LRP11	
																																												LTV1	
																																												SERAC1	
																																												USP45	
																																												REPS1	
																																												HIST1H2AH	
																																												HIST1H2BK	
																																												PPIL4	
																																												PAQR8	
																																												SLC22A16	
																																												RRP36	
																																												LINC01621	
																																												KCNK17	
																																												ABCC10	
																																												TRIM15	
																																												KLC4	
																																												UBE3D	
																																												MLIP	
																																												LINC00473	
																																												MFSD4B	
																																												TJAP1	
																																												ARHGAP18	
																																												POM121L2	
																																												SYTL3	
																																												FOXQ1	
																																												GTF3C6	
																																												MRAP2	
																																												RWDD2A	
																																												IL17F	
																																												MTFR2	
																																												SFT2D1	
																																												EFHC1	
																																												BTBD9	
																																												KLHL32	
																																												TMEM200A	
																																												ZBED9	
																																												MB21D1	
																																												FOXP4	
																																												KLHDC3	
																																												NUS1	
																																												GINM1	
																																												SLC26A8	
																																												IL22RA2	
																																												MAS1L	
																																												SLC18B1	
																																												SLC16A10	
																																												IP6K3	
																																												TAGAP	
																																												RN7SK	
																																												TAF8	
																																												ADAT2	
																																												RIPPLY2	
																																												IRAK1BP1	
																																												CLVS2	
																																												TAAR9	
																																												TAAR1	
																																												STXBP5	
																																												NCOA7	
																																												HINT3	
																																												PACRG	
																																												B3GAT2	
																																												SDHAF4	
																																												CD109	
																																												RAET1E	
																																												PM20D2	
																																												SRSF12	
																																												C6orf141	
																																												HUS1B	
																																												TRIM40	
																																												DPCR1	
																																												NRSN1	
																																												LOC153910	
																																												ZC2HC1B	
																																												SNRNP48	
																																												CNKSR3	
																																												RAET1L	
																																												SAMD3	
																																												LINC01312	
																																												SLC2A12	
																																												LINC01010	
																																												MBOAT1	
																																												HDGFL1	
																																												PNLDC1	
																																												RNF217	
																																												NKAIN2	
																																												KHDC3L	
																																												CFAP206	
																																												LINC01600	
																																												BVES-AS1	
																																												LOC154449	
																																												CCDC167	
																																												PRSS35	
																																												LCA5	
																																												OLIG3	
																																												TXLNB	
																																												DACT2	
																																												C6orf118	
																																												PSORS1C1	
																																												PSORS1C2	
																																												PPP1R18	
																																												PTCRA	
																																												OSTCP1	
																																												TCTE1	
																																												KHDRBS2	
																																												TRIM39-RPP21	
																																												TUBB	
																																												C6orf163	
																																												PIP5K1P1	
																																												CCDC162P	
																																												AK9	
																																												NT5DC1	
																																												FAM26D	
																																												ZUFSP	
																																												FAM162B	
																																												TBC1D32	
																																												BEND6	
																																												GSTA5	
																																												OPN5	
																																												ADGRF4	
																																												ADGRF5	
																																												TDRD6	
																																												SPATS1	
																																												C6orf223	
																																												RSPH9	
																																												LRRC73	
																																												TREML5P	
																																												ADCY10P1	
																																												OARD1	
																																												KIF6	
																																												TMEM217	
																																												FGD2	
																																												PI16	
																																												C6orf89	
																																												ARMC12	
																																												C6orf1	
																																												LEMD2	
																																												ZBTB9	
																																												ZBTB12	
																																												C6orf136	
																																												ZSCAN12P1	
																																												HIST1H2AA	
																																												KDM1B	
																																												RBM24	
																																												RNF182	
																																												PHACTR1	
																																												SMIM13	
																																												SYCP2L	
																																												LINC00518	
																																												PXDC1	
																																												SERPINB9P1	
																																												HS3ST5	
																																												GPRC6A	
																																												RFX6	
																																												SLC35F1	
																																												FAM83B	
																																												ADGRF2	
																																												TSPO2	
																																												UNC5CL	
																																												KCTD20	
																																												PXT1	
																																												LHFPL5	
																																												SCUBE3	
																																												ZSCAN23	
																																												NKAPL	
																																												TOB2P1	
																																												FAM217A	
																																												VGLL2	
																																												DEFB110	
																																												DEFB112	
																																												DEFB113	
