chr	start	end	id	score	phits	ghits	ohits	promoter	gen	other
1	13265131	13265430	MACS_peak_87	1099.28	0	0	0	NA	NA	NA
1	13265113	13265430	MACS_peak_88	1220.3	0	0	0	NA	NA	NA
1	13277046	13277283	MACS_peak_89	516.86	1	0	0	ENSG00000182330	NA	NA
1	13354644	13354867	MACS_peak_90	712.32	0	0	0	NA	NA	NA
1	13354644	13354867	MACS_peak_91	712.32	0	0	0	NA	NA	NA
1	13543934	13544206	MACS_peak_92	449.74	0	0	0	NA	NA	NA
1	13828894	13829124	MACS_peak_93	831.63	0	0	0	NA	NA	NA
1	14417988	14418139	MACS_peak_94	511.88	0	1	0	NA	ENSG00000189337	NA
1	14727361	14727593	MACS_peak_95	197.5	0	1	0	NA	ENSG00000189337	NA
1	15323590	15323850	MACS_peak_96	725.38	0	1	0	NA	ENSG00000142621	NA
1	15638419	15638555	MACS_peak_97	1358.26	0	1	0	NA	ENSG00000197312	NA
1	15792102	15792307	MACS_peak_98	1087.07	0	0	0	NA	NA	NA
1	15833231	15833580	MACS_peak_99	416.71	0	0	0	NA	NA	NA
1	16573281	16573628	MACS_peak_100	113.5	0	1	0	NA	ENSG00000219481	NA
1	16579145	16579445	MACS_peak_101	815.33	0	1	0	NA	ENSG00000219481	NA
1	16585441	16585741	MACS_peak_102	927.4	0	1	0	NA	ENSG00000219481	NA
1	16591715	16592067	MACS_peak_103	694.41	0	1	0	NA	ENSG00000219481	NA
1	16609153	16609369	MACS_peak_104	1054.55	0	1	0	NA	ENSG00000219481	NA
1	16621066	16621402	MACS_peak_105	734.45	0	0	1	NA	NA	ENSG00000215908
1	16624931	16625296	MACS_peak_106	1474.76	0	0	1	NA	NA	ENSG00000215908
1	16656596	16656896	MACS_peak_107	335.48	0	0	1	NA	NA	ENSG00000215908
1	16684807	16685127	MACS_peak_108	1029.07	0	0	1	NA	NA	ENSG00000280114
1	16750571	16750871	MACS_peak_109	562.58	0	1	1	NA	ENSG00000058453	ENSG00000227684
1	16951709	16951925	MACS_peak_110	580.62	0	1	0	NA	ENSG00000058453	NA
1	17419828	17420134	MACS_peak_111	439.28	0	1	0	NA	ENSG00000179051	NA
1	17485336	17485603	MACS_peak_112	418.12	0	0	0	NA	NA	NA
1	18100559	18100799	MACS_peak_113	645.81	0	0	0	NA	NA	NA
1	18502737	18502987	MACS_peak_114	288.88	0	0	0	NA	NA	NA
1	18510434	18510621	MACS_peak_115	901.33	0	0	0	NA	NA	NA
1	18581534	18581794	MACS_peak_116	725.38	0	0	0	NA	NA	NA
1	18820837	18821164	MACS_peak_117	546.09	0	0	0	NA	NA	NA
1	20100972	20101209	MACS_peak_118	814.37	0	0	0	NA	NA	NA
1	20151504	20151801	MACS_peak_119	127.5	0	0	0	NA	NA	NA
1	20259500	20259637	MACS_peak_120	1420.82	0	0	0	NA	NA	NA
1	20522317	20522622	MACS_peak_121	497.03	0	0	0	NA	NA	NA
1	20665211	20665513	MACS_peak_122	506.92	1	0	0	ENSG00000117245	NA	NA
1	20907867	20908219	MACS_peak_123	86.75	0	1	0	NA	ENSG00000075151	NA
1	21084691	21084943	MACS_peak_124	565.32	0	1	0	NA	ENSG00000075151	NA
1	21179782	21180257	MACS_peak_125	554.67	0	0	0	NA	NA	NA
1	21370443	21370860	MACS_peak_126	611.54	0	0	0	NA	NA	NA
1	21694568	21694710	MACS_peak_127	384.6	0	1	0	NA	ENSG00000090686	NA
1	21701360	21701500	MACS_peak_128	1136.75	0	1	0	NA	ENSG00000090686	NA
1	22674250	22674416	MACS_peak_129	831.63	0	0	0	NA	NA	NA
1	22889272	22889574	MACS_peak_130	441.54	0	1	0	NA	ENSG00000133216	NA
1	23228552	23228765	MACS_peak_131	149.72	0	0	0	NA	NA	NA
1	23703589	23703906	MACS_peak_132	552.5	0	0	0	NA	NA	NA
1	23772166	23772389	MACS_peak_133	564.54	0	0	1	NA	NA	ENSG00000236810
1	24390073	24390417	MACS_peak_134	784.68	0	1	0	NA	ENSG00000001460	NA
1	24527260	24527498	MACS_peak_135	1264.23	0	1	0	NA	ENSG00000117602	NA
1	24635290	24635555	MACS_peak_136	464.09	1	0	0	ENSG00000133226	NA	NA
1	24766373	24766608	MACS_peak_137	329.35	0	1	0	NA	ENSG00000169504	NA
1	24830757	24831122	MACS_peak_138	362.15	0	1	0	NA	ENSG00000169504	NA
1	24898172	24898424	MACS_peak_139	613.82	1	0	0	ENSG00000020633	NA	NA
1	25289966	25290310	MACS_peak_140	419.18	0	2	0	NA	ENSG00000117616	NA
1	25403058	25403409	MACS_peak_141	415.73	0	1	0	NA	ENSG00000188672	NA
1	25412607	25412946	MACS_peak_142	482.54	0	1	0	NA	ENSG00000188672	NA
1	25507792	25508094	MACS_peak_143	92.78	0	0	0	NA	NA	NA
1	25508540	25508743	MACS_peak_144	145.08	0	0	0	NA	NA	NA
1	25796891	25797192	MACS_peak_145	442.11	1	0	0	ENSG00000162430	NA	NA
1	25998208	25998383	MACS_peak_146	780.06	0	0	0	NA	NA	NA
1	26035916	26036263	MACS_peak_147	417.69	1	1	0	ENSG00000158014	ENSG00000158008	NA
1	26164253	26164508	MACS_peak_148	596.79	1	0	0	ENSG00000282872	NA	NA
1	26332914	26333053	MACS_peak_149	1309.64	0	1	0	NA	ENSG00000176092	NA
1	26363858	26364154	MACS_peak_150	566.68	1	0	0	ENSG00000176083	NA	NA
1	26399602	26399961	MACS_peak_151	734.33	0	0	0	NA	NA	NA
1	26488429	26488729	MACS_peak_152	427.96	0	0	0	NA	NA	NA
1	26602213	26602642	MACS_peak_153	767.78	0	0	0	NA	NA	NA
1	26878026	26878314	MACS_peak_154	700.62	1	0	0	ENSG00000142751	NA	NA
1	26997648	26997903	MACS_peak_155	596.79	1	0	0	ENSG00000253368	NA	NA
1	27198031	27198201	MACS_peak_156	879.24	0	0	0	NA	NA	NA
1	27284810	27285064	MACS_peak_157	1317.49	0	1	0	NA	ENSG00000142784	NA
1	27556759	27557047	MACS_peak_158	572.35	0	1	0	NA	ENSG00000126705	NA
1	27669177	27669561	MACS_peak_159	754.42	1	0	0	ENSG00000126709	NA	NA
1	27672268	27672610	MACS_peak_160	420.18	0	0	1	NA	NA	ENSG00000225886
1	28006676	28006885	MACS_peak_161	558.17	0	1	0	NA	ENSG00000158161	NA
1	28409805	28409994	MACS_peak_162	1129.71	0	1	0	NA	ENSG00000204138	NA
1	28640868	28641158	MACS_peak_163	448.52	0	1	0	NA	ENSG00000120656	NA
1	28695856	28696077	MACS_peak_164	237.59	0	1	0	NA	ENSG00000162419	NA
1	28792787	28793014	MACS_peak_165	695.57	0	0	0	NA	NA	NA
1	28851828	28852132	MACS_peak_166	142.05	0	1	0	NA	ENSG00000116329	NA
1	28877234	28877530	MACS_peak_167	542.62	0	0	0	NA	NA	NA
1	29245878	29246105	MACS_peak_168	695.57	0	1	0	NA	ENSG00000060656	NA
1	29269746	29269934	MACS_peak_169	695.57	0	1	0	NA	ENSG00000060656	NA
1	29773907	29774291	MACS_peak_170	972.38	0	0	1	NA	NA	ENSG00000284676
1	29997287	29997662	MACS_peak_171	79.24	0	0	0	NA	NA	NA
1	29997943	29998470	MACS_peak_172	197.34	0	0	0	NA	NA	NA
1	30309150	30309540	MACS_peak_173	89.02	0	0	0	NA	NA	NA
1	30455010	30455318	MACS_peak_174	137.06	0	0	0	NA	NA	NA
1	30496063	30496516	MACS_peak_175	78.44	0	0	0	NA	NA	NA
1	30567745	30568051	MACS_peak_176	270.85	0	0	0	NA	NA	NA
1	31663926	31664194	MACS_peak_178	462.14	0	1	0	NA	ENSG00000084636	NA
1	32066055	32066199	MACS_peak_179	392.74	0	0	1	NA	NA	ENSG00000203325
1	32109480	32109695	MACS_peak_180	799.34	1	0	0	ENSG00000025800	NA	NA
1	32215701	32216058	MACS_peak_181	399.64	1	1	0	ENSG00000160055	ENSG00000222046	NA
1	32520352	32520710	MACS_peak_182	2805.6	0	1	0	NA	ENSG00000254553	NA
1	32524193	32524648	MACS_peak_183	260.52	0	1	0	NA	ENSG00000254553	NA
1	32581070	32581419	MACS_peak_184	887.47	0	2	0	NA	ENSG00000254553	NA
1	33194427	33194562	MACS_peak_185	1079.97	0	0	0	NA	NA	NA
1	33675304	33675683	MACS_peak_186	57.46	0	1	0	NA	ENSG00000121904	NA
1	33833315	33833647	MACS_peak_187	62.38	0	1	0	NA	ENSG00000121904	NA
1	34096997	34097399	MACS_peak_188	75.85	0	1	0	NA	ENSG00000121904	NA
1	34255973	34256306	MACS_peak_189	123.2	0	0	0	NA	NA	NA
1	34419803	34420106	MACS_peak_190	561.84	0	0	0	NA	NA	NA
1	34549226	34549468	MACS_peak_191	501.16	0	0	0	NA	NA	NA
1	34571288	34571810	MACS_peak_192	81.23	0	0	0	NA	NA	NA
1	34852702	34853018	MACS_peak_193	808.09	0	1	0	NA	ENSG00000163866	NA
1	34866417	34866631	MACS_peak_194	596.79	1	0	0	ENSG00000116544	NA	NA
1	34955907	34956285	MACS_peak_195	69.86	0	0	0	NA	NA	NA
1	35025363	35025700	MACS_peak_196	603.02	0	2	0	NA	ENSG00000271741	NA
1	35260765	35261082	MACS_peak_197	578.24	0	0	0	NA	NA	NA
1	35274610	35274745	MACS_peak_198	702.09	0	1	0	NA	ENSG00000146463	NA
1	36149559	36149840	MACS_peak_199	453.96	0	1	0	NA	ENSG00000054116	NA
1	36544545	36545008	MACS_peak_200	534.92	0	0	0	NA	NA	NA
1	36650540	36650742	MACS_peak_201	645.81	0	0	0	NA	NA	NA
1	37209335	37209637	MACS_peak_202	75.54	0	0	0	NA	NA	NA
1	37919368	37919591	MACS_peak_203	866.35	0	1	0	NA	ENSG00000204084	NA
1	37970423	37970740	MACS_peak_204	76.3	0	1	0	NA	ENSG00000183431	NA
1	37971799	37972153	MACS_peak_205	175.85	0	1	0	NA	ENSG00000183431	NA
1	38562619	38562757	MACS_peak_206	960.73	0	0	0	NA	NA	NA
1	38683478	38683612	MACS_peak_207	1666.76	0	0	0	NA	NA	NA
1	39606234	39606628	MACS_peak_208	563.18	0	0	0	NA	NA	NA
1	39799809	39800062	MACS_peak_209	470.06	0	0	1	NA	NA	ENSG00000284719
1	39853286	39853582	MACS_peak_210	445	0	1	0	NA	ENSG00000043514	NA
1	39973476	39973831	MACS_peak_211	631.61	0	0	0	NA	NA	NA
1	40024462	40024653	MACS_peak_212	856.26	0	0	0	NA	NA	NA
1	40032338	40032595	MACS_peak_213	542.24	0	0	0	NA	NA	NA
1	40084765	40084944	MACS_peak_214	954.29	0	1	0	NA	ENSG00000131238	NA
1	40183026	40183264	MACS_peak_215	662.31	0	1	0	NA	ENSG00000117000	NA
1	40197729	40197933	MACS_peak_216	511.85	0	1	0	NA	ENSG00000117000	NA
1	40246699	40247020	MACS_peak_217	429.01	1	0	0	ENSG00000188800	NA	NA
1	40367185	40367479	MACS_peak_218	50.35	0	1	0	NA	ENSG00000084070	NA
1	40668937	40669328	MACS_peak_219	1006.73	0	0	0	NA	NA	NA
1	40948983	40949226	MACS_peak_220	645.81	0	0	0	NA	NA	NA
1	41083838	41084267	MACS_peak_221	119.37	0	1	0	NA	ENSG00000010803	NA
1	41117203	41117439	MACS_peak_222	1326.27	0	1	0	NA	ENSG00000010803	NA
1	41854835	41855216	MACS_peak_223	157.92	0	1	0	NA	ENSG00000127124	NA
1	41990142	41990638	MACS_peak_224	111.01	0	1	0	NA	ENSG00000127124	NA
1	41993606	41993974	MACS_peak_225	182.81	0	1	0	NA	ENSG00000127124	NA
1	42095347	42095730	MACS_peak_226	95.04	0	0	0	NA	NA	NA
1	42233273	42233628	MACS_peak_227	54.01	0	1	0	NA	ENSG00000198815	NA
1	42344333	42344653	MACS_peak_228	306.6	0	0	0	NA	NA	NA
1	42494973	42495307	MACS_peak_229	81.46	0	1	0	NA	ENSG00000186409	NA
1	42709055	42709277	MACS_peak_230	1528.09	0	0	0	NA	NA	NA
1	43917396	43917753	MACS_peak_231	721.05	0	2	0	NA	ENSG00000126091	NA
1	44036678	44037052	MACS_peak_232	637.63	0	0	1	NA	NA	ENSG00000230615
1	44092243	44092471	MACS_peak_233	655.31	0	0	1	NA	NA	ENSG00000230615
1	44361463	44361747	MACS_peak_234	452.13	0	0	0	NA	NA	NA
1	44595241	44595456	MACS_peak_235	596.79	0	1	0	NA	ENSG00000187147	NA
1	44653006	44653253	MACS_peak_236	485.56	0	1	0	NA	ENSG00000126106	NA
1	44794937	44795978	MACS_peak_237	3100	0	0	0	NA	NA	NA
1	44796097	44796570	MACS_peak_238	2431.95	1	0	0	ENSG00000173846	NA	NA
1	44835911	44836262	MACS_peak_239	531.49	0	1	0	NA	ENSG00000117425	NA
1	45300383	45300572	MACS_peak_240	695.57	0	1	0	NA	ENSG00000162415	NA
1	45512650	45512867	MACS_peak_241	901.33	1	1	0	ENSG00000117450	ENSG00000132763	NA
1	45725860	45726154	MACS_peak_242	219.32	0	1	0	NA	ENSG00000197429	NA
1	46015846	46016224	MACS_peak_243	53.46	0	1	0	NA	ENSG00000086015	NA
1	46016957	46017238	MACS_peak_244	79.34	0	1	0	NA	ENSG00000086015	NA
1	46017307	46017645	MACS_peak_245	84.4	0	1	0	NA	ENSG00000086015	NA
1	46223513	46223790	MACS_peak_246	564.42	0	0	0	NA	NA	NA
1	46406366	46406745	MACS_peak_247	515.71	0	1	0	NA	ENSG00000117480	NA
1	46442689	46442993	MACS_peak_248	440.4	0	0	1	NA	NA	ENSG00000232022
1	46504793	46505219	MACS_peak_249	77.66	1	0	0	ENSG00000197587	NA	NA
1	46584140	46584526	MACS_peak_250	511.95	0	1	0	NA	ENSG00000079277	NA
1	46693899	46694325	MACS_peak_251	202.06	0	1	0	NA	ENSG00000159658	NA
1	46725333	46725589	MACS_peak_252	729.14	0	0	0	NA	NA	NA
1	46776361	46776668	MACS_peak_253	823.18	0	1	0	NA	ENSG00000142973	NA
1	46836200	46836564	MACS_peak_254	142.05	0	0	0	NA	NA	NA
1	46876073	46876350	MACS_peak_255	928.78	0	0	1	NA	NA	ENSG00000154198
1	47086402	47086625	MACS_peak_256	224.58	0	1	0	NA	ENSG00000186160	NA
1	47091575	47091853	MACS_peak_257	779.89	0	1	0	NA	ENSG00000186160	NA
1	47126294	47126599	MACS_peak_258	135.19	0	0	1	NA	NA	ENSG00000225506
1	47179185	47179396	MACS_peak_259	596.79	1	0	0	ENSG00000162366	NA	NA
1	47192897	47193225	MACS_peak_260	427.34	0	0	0	NA	NA	NA
1	47380145	47380380	MACS_peak_261	468.75	0	0	0	NA	NA	NA
1	47424399	47424684	MACS_peak_262	451.52	0	0	0	NA	NA	NA
1	47436491	47436764	MACS_peak_263	713.56	1	0	0	ENSG00000186564	NA	NA
1	47604366	47604735	MACS_peak_264	123.08	0	0	0	NA	NA	NA
1	47960962	47961335	MACS_peak_265	66.19	0	1	0	NA	ENSG00000269113	NA
1	48093651	48093928	MACS_peak_266	335.88	0	0	0	NA	NA	NA
1	48109392	48109686	MACS_peak_267	446.16	0	0	1	NA	NA	ENSG00000242267
1	48152025	48152237	MACS_peak_268	76.89	0	0	1	NA	NA	ENSG00000242267
1	48154711	48155056	MACS_peak_269	74.95	0	0	1	NA	NA	ENSG00000242267
1	48155236	48155588	MACS_peak_270	72.64	0	0	1	NA	NA	ENSG00000242267
1	48155803	48156169	MACS_peak_271	91.4	0	0	1	NA	NA	ENSG00000242267
1	48171000	48171207	MACS_peak_272	332.68	0	0	1	NA	NA	ENSG00000242267
1	49006865	49007482	MACS_peak_273	92.35	0	1	0	NA	ENSG00000186094	NA
1	49008592	49009038	MACS_peak_274	56.9	0	1	0	NA	ENSG00000186094	NA
1	49010280	49010649	MACS_peak_275	51.87	0	1	0	NA	ENSG00000186094	NA
1	49011054	49011425	MACS_peak_276	134.63	0	1	0	NA	ENSG00000186094	NA
1	49096280	49096670	MACS_peak_277	223.95	0	1	1	NA	ENSG00000186094	ENSG00000229846
1	49119051	49119407	MACS_peak_278	148.58	0	1	1	NA	ENSG00000186094	ENSG00000229846
1	49259219	49259637	MACS_peak_279	69.43	0	1	1	NA	ENSG00000186094	ENSG00000230114
1	49259866	49260178	MACS_peak_280	75.22	0	1	1	NA	ENSG00000186094	ENSG00000230114
1	49260314	49260727	MACS_peak_281	55.18	0	1	1	NA	ENSG00000186094	ENSG00000230114
1	49261575	49261891	MACS_peak_282	110.45	0	1	1	NA	ENSG00000186094	ENSG00000230114
1	49262360	49262721	MACS_peak_283	112.48	0	1	1	NA	ENSG00000186094	ENSG00000230114
1	49286396	49286711	MACS_peak_284	58.47	0	1	0	NA	ENSG00000186094	NA
1	49287723	49288194	MACS_peak_285	114.16	0	1	0	NA	ENSG00000186094	NA
1	49741705	49742010	MACS_peak_286	180.31	0	1	0	NA	ENSG00000186094	NA
1	49830778	49831115	MACS_peak_287	157.23	0	1	0	NA	ENSG00000186094	NA
1	49877165	49877526	MACS_peak_288	181.72	0	1	0	NA	ENSG00000186094	NA
1	49937811	49938179	MACS_peak_289	94.54	0	1	0	NA	ENSG00000186094	NA
1	49947961	49948588	MACS_peak_290	2436.88	0	1	0	NA	ENSG00000186094	NA
1	50684255	50684388	MACS_peak_291	1396.21	0	1	0	NA	ENSG00000185104	NA
1	50864358	50864796	MACS_peak_292	54.03	0	1	0	NA	ENSG00000185104	NA
1	50929492	50929774	MACS_peak_293	453.35	0	1	0	NA	ENSG00000185104	NA
1	51024430	51024801	MACS_peak_294	87.62	0	0	0	NA	NA	NA
1	51088510	51088765	MACS_peak_295	596.79	0	0	0	NA	NA	NA
1	51189345	51189678	MACS_peak_296	542.34	0	0	0	NA	NA	NA
1	51192140	51192480	MACS_peak_297	421.18	0	0	0	NA	NA	NA
1	51296903	51297132	MACS_peak_298	695.57	0	1	0	NA	ENSG00000085831	NA
1	51769102	51769394	MACS_peak_299	447.34	0	1	0	NA	ENSG00000117859	NA
1	52389841	52390056	MACS_peak_300	596.79	0	1	0	NA	ENSG00000085840	NA
1	52690456	52690641	MACS_peak_301	650.69	0	1	0	NA	ENSG00000162377	NA
1	52748176	52748461	MACS_peak_302	451.52	0	1	0	NA	ENSG00000162378	NA
1	52796775	52797467	MACS_peak_303	1162.73	0	1	0	NA	ENSG00000162378	NA
1	52891920	52892301	MACS_peak_304	290.35	1	1	0	ENSG00000121310	ENSG00000203995	NA
1	53361250	53361485	MACS_peak_305	421.83	0	0	1	NA	NA	ENSG00000285954
1	53854906	53855078	MACS_peak_306	1358.7	1	0	0	ENSG00000058799	NA	NA
1	53959706	53959945	MACS_peak_307	620.13	0	1	0	NA	ENSG00000116212	NA
1	55022011	55022325	MACS_peak_308	301.54	0	0	0	NA	NA	NA
1	55564844	55565332	MACS_peak_309	126.91	0	0	1	NA	NA	ENSG00000234810
1	55702099	55702383	MACS_peak_310	704	0	0	1	NA	NA	ENSG00000234810
1	56367442	56367872	MACS_peak_311	76.22	0	1	1	NA	ENSG00000284686	ENSG00000260971
1	56579622	56579967	MACS_peak_312	418.68	0	1	0	NA	ENSG00000162407	NA
1	56642139	56642394	MACS_peak_313	229.22	1	1	0	ENSG00000162409	ENSG00000162407	NA
1	56681227	56681582	MACS_peak_314	127.15	0	1	0	NA	ENSG00000162409	NA
1	56820985	56821361	MACS_peak_315	760.2	0	0	0	NA	NA	NA
1	56937857	56938250	MACS_peak_316	748.06	0	1	0	NA	ENSG00000021852	NA
1	57606434	57606833	MACS_peak_317	1269.36	0	1	0	NA	ENSG00000173406	NA
1	58162978	58163286	MACS_peak_318	684.39	0	1	0	NA	ENSG00000173406	NA
1	58374250	58374547	MACS_peak_319	50.92	0	1	0	NA	ENSG00000173406	NA
1	58494474	58494765	MACS_peak_320	65.03	0	2	0	NA	ENSG00000173406	NA
1	58582578	58582947	MACS_peak_321	58.05	0	0	0	NA	NA	NA
1	58770782	58771186	MACS_peak_322	81.72	0	0	1	NA	NA	ENSG00000283445
1	59001088	59001254	MACS_peak_323	831.63	0	0	1	NA	NA	ENSG00000237352
1	59253754	59254110	MACS_peak_324	94.4	0	0	1	NA	NA	ENSG00000224609
1	59380066	59380423	MACS_peak_325	137.75	0	1	0	NA	ENSG00000172456	NA
1	59592231	59592570	MACS_peak_326	138.61	0	1	0	NA	ENSG00000172456	NA
1	59612226	59612569	MACS_peak_327	123.63	0	1	0	NA	ENSG00000172456	NA
1	59699305	59699496	MACS_peak_328	1061.85	0	1	0	NA	ENSG00000172456	NA
1	59947388	59947648	MACS_peak_329	725.38	0	0	0	NA	NA	NA
1	59971299	59971755	MACS_peak_330	707.33	0	0	0	NA	NA	NA
