chr	start	end	id	score	size	phits	ghits	ohits
1	109499995	109500233	MACS_peak_697	954.29	238	1	1	0
1	109546307	109546618	MACS_peak_698	1085.67	311	1	1	0
1	109980685	109980904	MACS_peak_702	580.62	219	1	0	0
1	113070881	113071224	MACS_peak_729	89.02	343	1	0	1
1	113905131	113905326	MACS_peak_746	447.48	195	1	0	0
1	113949258	113949470	MACS_peak_747	856.48	212	0	1	0
1	114428154	114428526	MACS_peak_756	1656.19	372	0	1	0
1	114431606	114431846	MACS_peak_757	589.16	240	0	1	0
1	114468513	114468879	MACS_peak_758	369.28	366	0	1	1
1	114471441	114471645	MACS_peak_759	552.85	204	0	1	0
1	114489037	114489430	MACS_peak_760	655.79	393	0	1	0
1	114570367	114570602	MACS_peak_763	366.7	235	1	0	0
1	114758093	114758320	MACS_peak_768	665.93	227	0	1	0
1	114765218	114765351	MACS_peak_769	820.94	133	1	0	0
1	116531261	116531590	MACS_peak_796	801.89	329	0	1	0
1	116570337	116570571	MACS_peak_797	814.37	234	1	1	0
1	116574451	116574841	MACS_peak_798	1418.79	390	1	0	0
1	116581209	116581341	MACS_peak_799	1116.4	132	0	1	0
1	116764050	116764398	MACS_peak_803	417.2	348	0	1	0
1	117055323	117055660	MACS_peak_805	662.69	337	1	0	1
1	117402383	117402597	MACS_peak_808	1098.16	214	0	1	0
1	117512765	117513012	MACS_peak_809	629.38	247	0	1	0
1	144969519	144969868	MACS_peak_905	55.54	349	0	1	0
1	144966973	144967271	MACS_peak_906	53.71	298	0	1	0
1	146138077	146138542	MACS_peak_942	1241.95	465	0	2	0
1	145661079	145661321	MACS_peak_949	111.29	242	0	1	0
1	145617453	145617688	MACS_peak_950	421.83	235	0	1	0
1	148120454	148120925	MACS_peak_953	702.27	471	0	1	0
1	146966420	146966794	MACS_peak_957	1254.58	374	0	1	0
1	146960077	146960449	MACS_peak_961	439.14	372	0	1	0
1	146966420	146966730	MACS_peak_962	1362.1	310	0	1	0
1	146972611	146973030	MACS_peak_963	857.26	419	0	1	0
1	146990071	146990264	MACS_peak_964	108.52	193	0	1	0
1	147930027	147930459	MACS_peak_981	388.99	432	1	0	0
1	147937862	147938082	MACS_peak_982	566.9	220	0	1	0
1	147983453	147983811	MACS_peak_984	61.23	358	0	1	0
1	148120454	148120743	MACS_peak_986	813.61	289	0	1	0
1	148126714	148127069	MACS_peak_987	187.57	355	0	1	0
1	150068289	150068520	MACS_peak_1030	744.89	231	1	0	0
1	150072958	150073235	MACS_peak_1031	566.95	277	0	1	0
1	150092629	150092854	MACS_peak_1032	615.31	225	0	1	0
1	150114982	150115293	MACS_peak_1033	627.75	311	0	1	0
1	150452559	150452915	MACS_peak_1038	343.22	356	0	1	0
1	150501201	150501421	MACS_peak_1039	360.97	220	0	1	0
1	150621444	150621908	MACS_peak_1042	554.79	464	0	1	0
1	150922516	150922895	MACS_peak_1046	695.87	379	1	0	0
1	151155925	151156288	MACS_peak_1050	1180.37	363	3	0	0
1	151196176	151196572	MACS_peak_1051	1028.03	396	1	0	0
1	151251743	151252043	MACS_peak_1052	989.86	300	1	0	0
1	153355511	153355802	MACS_peak_1084	447.93	291	1	0	0
1	153797347	153797624	MACS_peak_1089	456.44	277	0	1	1
1	153847650	153847851	MACS_peak_1090	554.96	201	0	1	0
1	153904050	153904318	MACS_peak_1091	547.83	268	0	1	0
1	153946630	153946833	MACS_peak_1092	629.38	203	1	0	0
1	154479894	154480078	MACS_peak_1095	918.92	184	0	1	0
1	154534278	154534628	MACS_peak_1096	403.01	350	0	1	0
1	155061573	155061910	MACS_peak_1099	790.35	337	2	1	0
1	155086122	155086335	MACS_peak_1100	596.79	213	0	2	0
1	155250744	155251024	MACS_peak_1103	454.58	280	1	0	0
1	155277250	155277512	MACS_peak_1104	656.83	262	1	1	0
1	155494335	155494575	MACS_peak_1105	770.24	240	0	1	0
1	155837509	155837675	MACS_peak_1108	795.29	166	0	1	0
1	156066270	156066588	MACS_peak_1110	498.48	318	0	1	0
1	156192255	156192473	MACS_peak_1113	363.4	218	1	0	0
1	156317526	156317853	MACS_peak_1114	637.34	327	0	1	0
1	156319683	156319956	MACS_peak_1115	446.99	273	0	1	0
1	156719742	156719877	MACS_peak_1119	1630.94	135	1	0	0
1	158954683	158954987	MACS_peak_1140	56.74	304	0	1	0
1	162065812	162065946	MACS_peak_1172	1359.65	134	1	0	0
1	162230228	162230484	MACS_peak_1173	470.06	256	0	1	0
1	163262418	163262818	MACS_peak_1181	134.77	400	1	1	1
1	163315876	163316215	MACS_peak_1182	538.66	339	0	2	1
1	173973967	173974317	MACS_peak_1266	478.89	350	0	1	0
1	182784642	182784853	MACS_peak_1368	1116.4	211	1	0	0
1	193183105	193183424	MACS_peak_1469	811.38	319	1	1	0
1	197526815	197527134	MACS_peak_1508	880.59	319	0	1	0
1	197615148	197615422	MACS_peak_1509	488.85	274	0	1	0
1	197619104	197619365	MACS_peak_1510	860.98	261	0	1	0
1	197709846	197710272	MACS_peak_1512	60.03	426	0	1	0
1	197713679	197713993	MACS_peak_1513	369.05	314	0	1	0
1	197739627	197739834	MACS_peak_1514	756.91	207	0	1	0
1	203830819	203831066	MACS_peak_1593	160.74	247	0	2	0
1	203861180	203861615	MACS_peak_1594	1877.72	435	1	0	0
1	206233274	206233613	MACS_peak_1633	495.28	339	0	1	0
1	206331636	206331945	MACS_peak_1637	56.98	309	0	1	0
1	206384890	206385231	MACS_peak_1638	264.38	341	0	1	0
1	206911150	206911469	MACS_peak_1649	1658.62	319	0	1	0
1	207041299	207041607	MACS_peak_1650	178.37	308	1	1	0
1	207049985	207050191	MACS_peak_1651	573.39	206	0	2	0
1	207077865	207078127	MACS_peak_1652	1292.87	262	0	1	0
1	212070652	212070996	MACS_peak_1677	419.18	344	0	1	0
1	217557302	217557514	MACS_peak_1710	450.48	212	0	1	0
1	217694633	217694973	MACS_peak_1711	65.49	340	0	1	0
1	217747268	217747610	MACS_peak_1712	925.78	342	0	1	0
1	217811587	217811827	MACS_peak_1713	440.38	240	0	1	0
1	219990991	219991297	MACS_peak_1738	439.28	306	0	1	0
1	220123913	220124249	MACS_peak_1739	644.82	336	0	1	0
1	220154720	220155101	MACS_peak_1740	312.33	381	0	1	0
1	220189788	220190085	MACS_peak_1741	444.41	297	0	1	0
1	220218684	220218946	MACS_peak_1742	1040.74	262	0	1	0
1	220775256	220775582	MACS_peak_1744	1209.66	326	0	1	0
1	224427704	224427898	MACS_peak_1776	678.9	194	0	1	0
1	228393492	228393763	MACS_peak_1794	584.96	271	1	0	0
1	229453313	229453536	MACS_peak_1818	1208.41	223	0	1	0
1	236598011	236598247	MACS_peak_1841	516.86	236	0	1	0
1	247576535	247576814	MACS_peak_1889	578.93	279	0	1	1
2	6897181	6897463	MACS_peak_9874	592.88	282	0	1	0
2	10668515	10668783	MACS_peak_9892	853.65	268	0	1	0
2	10835347	10835564	MACS_peak_9893	564.92	217	0	1	0
2	11446781	11447029	MACS_peak_9899	485.56	248	1	0	0
2	25397875	25398226	MACS_peak_10003	774.9	351	0	1	0
2	25606819	25607129	MACS_peak_10004	437.04	310	0	1	0
2	25616658	25616960	MACS_peak_10005	265.34	302	0	1	0
2	25625541	25625678	MACS_peak_10006	1420.82	137	0	1	0
2	27621518	27621823	MACS_peak_10017	439.84	305	1	1	1
2	27683559	27683869	MACS_peak_10018	682.83	310	0	1	0
2	27945659	27945958	MACS_peak_10019	506.92	299	0	2	0
2	28026651	28026989	MACS_peak_10020	967.61	338	0	1	0
2	28214323	28214633	MACS_peak_10021	813.39	310	0	1	0
2	31933313	31933457	MACS_peak_10050	769.86	144	0	2	0
2	31969498	31969692	MACS_peak_10051	632.58	194	0	2	0
2	39055333	39055609	MACS_peak_10111	1422.18	276	0	1	0
2	39059394	39059674	MACS_peak_10112	361.13	280	0	1	0
2	58174860	58175302	MACS_peak_10237	125.99	442	0	1	0
2	58176540	58176908	MACS_peak_10238	50	368	0	1	0
2	58202136	58202371	MACS_peak_10239	972.07	235	0	1	0
2	58217283	58217556	MACS_peak_10240	458.95	273	0	1	0
2	63861682	63861980	MACS_peak_10283	565.28	298	0	1	0
2	63888765	63889128	MACS_peak_10284	644.81	363	1	1	0
2	63928666	63928906	MACS_peak_10285	223.38	240	0	1	0
2	70977403	70977715	MACS_peak_10340	435.94	312	1	1	0
2	73033300	73033492	MACS_peak_10357	866.35	192	0	1	0
2	74392041	74392376	MACS_peak_10373	423.72	335	1	0	1
2	97112228	97112655	MACS_peak_10618	1677.51	427	1	0	0
2	97171060	97171424	MACS_peak_10619	61.7	364	0	1	0
2	97229411	97229618	MACS_peak_10620	170.73	207	0	1	0
2	98594839	98595286	MACS_peak_10631	75.42	447	1	0	0
2	101012705	101012938	MACS_peak_10641	712.11	233	0	2	0
2	101016277	101016530	MACS_peak_10642	83.72	253	0	2	0
2	102311765	102312101	MACS_peak_10651	663.41	336	2	0	0
2	102325829	102326293	MACS_peak_10652	222.1	464	0	2	0
2	102327833	102328151	MACS_peak_10653	50.5	318	0	2	0
2	102753618	102753953	MACS_peak_10657	664.12	335	0	1	0
2	109546134	109546401	MACS_peak_10708	854.69	267	1	0	0
2	111619517	111619737	MACS_peak_10743	564.54	220	0	1	2
2	111813254	111813675	MACS_peak_10744	649.49	421	0	1	0
2	111850726	111851128	MACS_peak_10745	1178.01	402	0	1	0
2	117926086	117926403	MACS_peak_10812	57.81	317	0	1	1
2	117967856	117968057	MACS_peak_10813	645.81	201	0	1	0
2	118003400	118003582	MACS_peak_10814	687.62	182	0	1	1
2	130155893	130156280	MACS_peak_10875	511.42	387	1	0	0
2	130360505	130360858	MACS_peak_10877	651.52	353	1	0	0
2	131492341	131492566	MACS_peak_10880	548.55	225	0	1	0
2	135138900	135139074	MACS_peak_10918	1208.41	174	1	1	0
2	135294236	135294486	MACS_peak_10919	82.05	250	0	1	0
2	135407909	135408220	MACS_peak_10920	51.07	311	0	1	0
2	135424889	135425207	MACS_peak_10921	940.27	318	0	1	0
2	135515691	135515886	MACS_peak_10922	352.92	195	0	1	0
2	135685652	135686003	MACS_peak_10923	415.73	351	0	1	0
2	147937744	147938114	MACS_peak_10993	640.22	370	0	1	0
2	148780375	148780613	MACS_peak_11001	502.51	238	0	1	0
2	149035305	149035602	MACS_peak_11006	373.73	297	1	0	0
2	151798797	151798963	MACS_peak_11024	762.11	166	1	1	0
2	158188745	158188922	MACS_peak_11078	972.07	177	0	1	1
2	158264816	158265040	MACS_peak_11079	712.32	224	0	1	0
2	158283509	158283895	MACS_peak_11080	131.14	386	0	1	0
2	158424239	158424419	MACS_peak_11081	446.02	180	0	1	1
2	162297975	162298273	MACS_peak_11109	692.37	298	0	1	0
2	169611586	169611855	MACS_peak_11169	603.02	269	0	1	0
2	171705548	171705876	MACS_peak_11181	669.21	328	0	1	0
2	171706221	171706517	MACS_peak_11182	693.99	296	0	1	0
2	171940922	171941262	MACS_peak_11183	407.96	340	0	2	0
2	171970495	171970649	MACS_peak_11184	740.33	154	0	2	0
2	174354315	174354754	MACS_peak_11209	1229.91	439	0	1	0
2	174380433	174380671	MACS_peak_11210	516.86	238	0	1	0
2	176127102	176127314	MACS_peak_11223	758.25	212	2	0	1
2	181573061	181573371	MACS_peak_11264	437.04	310	0	1	0
2	181664613	181664973	MACS_peak_11265	84.06	360	0	1	0
2	188976610	188976981	MACS_peak_11325	639.57	371	1	0	0
2	188983368	188983712	MACS_peak_11326	482.41	344	0	1	0
2	189027043	189027327	MACS_peak_11327	52.27	284	1	0	0
2	189466700	189467008	MACS_peak_11331	558.46	308	0	1	0
2	189660919	189661395	MACS_peak_11332	815.52	476	1	0	0
2	196298136	196298475	MACS_peak_11391	351.43	339	0	1	0
2	196337465	196337767	MACS_peak_11392	441.54	302	0	1	0
2	196521691	196521983	MACS_peak_11393	147.15	292	0	1	0
2	196526783	196527100	MACS_peak_11394	102.96	317	0	1	0
2	200856812	200857007	MACS_peak_11431	485.3	195	1	0	0
2	202262175	202262548	MACS_peak_11437	103.45	373	1	0	0
2	202279031	202279363	MACS_peak_11438	425.26	332	0	1	0
2	203294840	203294980	MACS_peak_11444	275.54	140	0	1	0
2	219171214	219171490	MACS_peak_11564	984.35	276	1	0	0
2	223970379	223970573	MACS_peak_11588	848.95	194	1	0	0
2	233380541	233380786	MACS_peak_11634	629.38	245	0	1	0
2	236084991	236085345	MACS_peak_11642	159.56	354	0	1	0
2	239357782	239358107	MACS_peak_11656	603.02	325	0	1	0
2	239909877	239910132	MACS_peak_11658	1853.13	255	0	1	0
3	5165297	5165484	MACS_peak_13016	712.32	187	0	1	1
3	9424869	9425077	MACS_peak_13047	931.22	208	0	1	0
3	15202651	15202999	MACS_peak_13098	647.33	348	1	0	1
3	15220335	15220603	MACS_peak_13099	450.74	268	0	1	0
3	15401428	15401560	MACS_peak_13102	977.06	132	0	1	0
3	15405465	15405788	MACS_peak_13103	548.63	323	0	1	0
3	15731841	15731980	MACS_peak_13104	701.67	139	0	1	0
3	15812318	15812631	MACS_peak_13105	1667.82	313	0	1	0
3	15815727	15816014	MACS_peak_13106	1258.14	287	0	1	0
3	16268136	16268342	MACS_peak_13112	1477.15	206	1	0	0
3	25648043	25648451	MACS_peak_13213	518.48	408	0	1	0
3	25760859	25760998	MACS_peak_13214	652.22	139	0	1	0
3	27205040	27205477	MACS_peak_13227	123	437	0	1	0
3	27279324	27279512	MACS_peak_13228	883.81	188	0	1	0
3	27312149	27312378	MACS_peak_13229	548.55	229	0	1	0
3	27373371	27373622	MACS_peak_13230	883.81	251	1	0	0
3	27439566	27439790	MACS_peak_13231	549.18	224	0	1	0
3	28317438	28317706	MACS_peak_13239	853.65	268	1	1	0
3	28328496	28328887	MACS_peak_13240	406.81	391	0	1	0
3	31724736	31724989	MACS_peak_13261	470.06	253	0	1	0
3	32279515	32279878	MACS_peak_13265	64.31	363	0	1	0
3	32537971	32538171	MACS_peak_13267	983.72	200	0	1	0
3	32733534	32733947	MACS_peak_13269	613.85	413	0	1	1
3	33285310	33285583	MACS_peak_13270	103.45	273	0	1	0
3	33309051	33309336	MACS_peak_13271	451.52	285	0	1	0
3	33511646	33512026	MACS_peak_13273	61.75	380	0	1	0
3	33867012	33867309	MACS_peak_13276	693.18	297	0	1	0
3	41203033	41203252	MACS_peak_13331	1061.85	219	0	1	0
3	42788114	42788304	MACS_peak_13339	695.57	190	1	1	1
3	42848109	42848330	MACS_peak_13340	227.89	221	0	3	2
3	42921999	42922378	MACS_peak_13342	66.96	379	0	2	0
3	43488876	43489181	MACS_peak_13344	104.57	305	0	1	0
3	43503042	43503458	MACS_peak_13345	732.46	416	0	1	0
3	43638589	43638822	MACS_peak_13346	532.66	233	0	1	0
3	43681010	43681261	MACS_peak_13347	234.8	251	0	1	0
3	43730387	43730519	MACS_peak_13348	1116.4	132	0	1	0
3	45705391	45705645	MACS_peak_13352	883.81	254	0	1	0
3	45929113	45929333	MACS_peak_13353	564.54	220	0	1	0
3	46372595	46372837	MACS_peak_13355	645.81	242	1	0	1
3	46783255	46783628	MACS_peak_13356	81.56	373	0	2	0
3	46923566	46923740	MACS_peak_13358	780.06	174	1	0	0
3	47421161	47421360	MACS_peak_13359	645.81	199	0	1	0
3	47468405	47468736	MACS_peak_13360	67.49	331	0	1	0
3	47990087	47990264	MACS_peak_13361	763.02	177	0	1	0
3	48436000	48436297	MACS_peak_13363	1101.6	297	2	0	0
3	48952636	48952896	MACS_peak_13364	593.56	260	0	1	0
3	49010260	49010440	MACS_peak_13365	583.31	180	1	0	0
3	49464593	49464938	MACS_peak_13366	312.33	345	1	0	0
3	49839300	49839493	MACS_peak_13368	866.35	193	0	1	0
3	50226146	50226362	MACS_peak_13370	528	216	1	0	0
3	50246253	50246462	MACS_peak_13371	606	209	0	1	0
3	50616010	50616214	MACS_peak_13372	1358.26	204	1	0	0
3	57824406	57824676	MACS_peak_13412	546.29	270	0	1	0
3	57885662	57885999	MACS_peak_13413	293.19	337	0	1	0
3	58510529	58510669	MACS_peak_13414	1025.76	140	0	1	0
3	58565328	58565538	MACS_peak_13415	624.46	210	1	0	0
3	63842271	63842536	MACS_peak_13483	465.8	265	0	2	0
3	63851526	63851752	MACS_peak_13484	826.97	226	0	1	0
3	63961798	63962131	MACS_peak_13486	424.75	333	0	2	0
3	63992983	63993307	MACS_peak_13487	174.17	324	0	2	0
3	64014510	64014781	MACS_peak_13489	1307.61	271	1	0	1
3	64016046	64016307	MACS_peak_13490	161.92	261	0	1	0
3	64021992	64022277	MACS_peak_13491	331.88	285	0	1	0
3	66138615	66138994	MACS_peak_13553	515.71	379	0	1	0
3	66236233	66236538	MACS_peak_13554	686.76	305	0	1	0
3	69061914	69062099	MACS_peak_13568	901.33	185	0	1	0
3	72748233	72748367	MACS_peak_13590	1098.16	134	1	0	0
3	100283226	100283387	MACS_peak_13830	866.35	161	0	1	0
3	108205618	108206067	MACS_peak_13896	959.23	449	0	1	0
3	108674538	108674770	MACS_peak_13902	537.4	232	0	1	0
3	108686062	108686276	MACS_peak_13903	596.79	214	0	1	0
3	111338008	111338372	MACS_peak_13927	1031.37	364	0	1	0
3	112189397	112189772	MACS_peak_13931	56.38	375	0	1	0
3	112205275	112205495	MACS_peak_13932	175.39	220	0	1	0
3	112225255	112225630	MACS_peak_13933	404.42	375	0	1	0
3	113736501	113736833	MACS_peak_13945	425.26	332	0	1	0
3	119821012	119821467	MACS_peak_13988	1288.68	455	1	0	0
3	119891862	119892243	MACS_peak_13989	514.63	381	0	1	0
3	119954066	119954363	MACS_peak_13990	534.92	297	0	1	0
3	120723544	120723940	MACS_peak_13999	54.13	396	0	1	0
3	120736203	120736511	MACS_peak_14000	143.12	308	0	1	0
3	123258711	123259179	MACS_peak_14022	469.45	468	0	1	0
3	123262527	123262819	MACS_peak_14023	829.92	292	0	1	0
3	123652374	123652762	MACS_peak_14028	510.89	388	0	1	0
3	123852444	123852706	MACS_peak_14029	114.74	262	0	1	0
3	125268868	125269083	MACS_peak_14039	896.52	215	0	1	0
3	128753278	128753479	MACS_peak_14071	478.76	201	0	1	0
3	130699740	130700085	MACS_peak_14084	418.68	345	0	1	0
3	130723059	130723196	MACS_peak_14085	896.34	137	0	1	0
3	131057393	131057861	MACS_peak_14087	51.51	468	0	1	1
3	131333541	131333855	MACS_peak_14089	70.49	314	0	1	1
3	131473534	131473944	MACS_peak_14092	615.59	410	0	1	0
3	131486002	131486248	MACS_peak_14093	93.49	246	0	1	0
3	132469892	132470355	MACS_peak_14104	148.8	463	0	1	0
3	132485994	132486210	MACS_peak_14105	746.04	216	0	1	0
3	132657758	132657892	MACS_peak_14106	916.48	134	1	2	0
3	138524131	138524416	MACS_peak_14172	58.29	285	0	1	0
3	138545067	138545413	MACS_peak_14173	434.11	346	0	1	0
3	139145086	139145447	MACS_peak_14178	52.12	361	0	1	0
3	139333714	139334101	MACS_peak_14179	79.31	387	0	1	0
3	139381667	139381928	MACS_peak_14180	592.77	261	0	1	0
3	148861296	148861626	MACS_peak_14261	928.77	330	1	0	1
3	150616285	150616645	MACS_peak_14285	96.97	360	0	1	0
3	151116988	151117346	MACS_peak_14289	402.61	358	0	1	0
3	151168367	151168649	MACS_peak_14290	450.7	282	0	1	0
3	151218856	151219002	MACS_peak_14291	914.4	146	0	2	0
3	151247113	151247549	MACS_peak_14292	69.92	436	0	2	0
3	151290685	151291008	MACS_peak_14293	548.63	323	1	1	0
3	151426018	151426484	MACS_peak_14295	1317.25	466	1	1	0
3	155438520	155438892	MACS_peak_14339	72.11	372	0	1	0
3	155537099	155537237	MACS_peak_14340	1025.3	138	0	1	0
3	155544855	155545290	MACS_peak_14341	68.1	435	0	1	0
3	155701918	155702177	MACS_peak_14342	603.02	259	0	1	0
3	161099590	161099937	MACS_peak_14407	913.18	347	0	1	0
3	161120940	161121127	MACS_peak_14408	437.67	187	0	1	0
3	161220482	161220724	MACS_peak_14409	611.55	242	0	1	0
3	170860031	170860408	MACS_peak_14519	889.09	377	1	0	1
3	179382175	179382598	MACS_peak_14583	105.65	423	0	1	0
3	179558799	179559221	MACS_peak_14584	2214.43	422	1	0	0
3	179619807	179620013	MACS_peak_14585	185.79	206	0	1	0
3	179750797	179751063	MACS_peak_14586	463.44	266	0	1	0
3	179797488	179797850	MACS_peak_14588	410.45	362	1	0	0
3	179811591	179811878	MACS_peak_14589	417.57	287	0	1	0
3	179929150	179929556	MACS_peak_14590	864.57	406	0	1	0
3	180707403	180707625	MACS_peak_14602	831.64	222	0	1	0
3	180802825	180803170	MACS_peak_14603	418.68	345	0	1	1
3	180964294	180964667	MACS_peak_14604	405.33	373	0	1	0
3	184162333	184162577	MACS_peak_14623	501.16	244	0	1	0
3	184174585	184174872	MACS_peak_14624	682.8	287	1	0	0
3	185629095	185629336	MACS_peak_14637	588.69	241	0	1	0
3	189967339	189967509	MACS_peak_14678	719.86	170	0	1	0
3	193606729	193607000	MACS_peak_14705	77.03	271	0	1	0
3	195424277	195424416	MACS_peak_14715	685.04	139	0	1	0
3	196068125	196068313	MACS_peak_14724	883.81	188	0	1	0
3	196684932	196685149	MACS_peak_14727	1276.33	217	0	1	0
3	196759397	196759540	MACS_peak_14728	689.56	143	0	1	0
3	196898558	196898990	MACS_peak_14730	934.75	432	0	1	0
3	197807107	197807239	MACS_peak_14737	950.58	132	0	1	0
4	926644	926844	MACS_peak_14754	645.81	200	0	1	0
4	2230389	2230709	MACS_peak_14759	438.69	320	1	1	0
4	5727256	5727486	MACS_peak_14780	96.34	230	0	1	0
4	15649903	15650287	MACS_peak_14880	513.02	384	0	1	0
4	17631946	17632189	MACS_peak_14889	210.25	243	1	1	0
4	37940103	37940395	MACS_peak_14988	89.02	292	0	1	0
4	37975577	37975826	MACS_peak_14989	744.66	249	0	1	0
4	38077623	38077756	MACS_peak_14991	1098.16	133	0	1	0
4	39619322	39619546	MACS_peak_14996	1025.76	224	0	1	0
4	39930211	39930351	MACS_peak_14997	603.93	140	0	1	0
4	39976507	39976698	MACS_peak_14998	695.57	191	0	1	0
4	41958589	41958972	MACS_peak_15007	613.41	383	0	1	0
4	47564449	47564714	MACS_peak_15034	1141.07	265	0	1	0
4	48003518	48003869	MACS_peak_15036	779.13	351	0	2	0
4	53407833	53408209	MACS_peak_15091	131.65	376	0	2	0
4	53432806	53433181	MACS_peak_15092	391.26	375	0	2	0
4	54234336	54234595	MACS_peak_15099	726.32	259	0	2	0
4	55343010	55343155	MACS_peak_15103	1142.17	145	1	0	0
4	55400116	55400555	MACS_peak_15104	406.81	439	1	0	0
4	55510635	55510768	MACS_peak_15105	1396.21	133	0	1	0
4	56424917	56425149	MACS_peak_15110	532.66	232	0	1	1
4	70688051	70688429	MACS_peak_15199	403.06	378	1	0	0
4	70918826	70919203	MACS_peak_15200	75.69	377	0	1	0
4	71016656	71016919	MACS_peak_15201	138.55	263	0	2	0
4	82739345	82739647	MACS_peak_15285	820.61	302	0	1	0
4	82785365	82785558	MACS_peak_15286	678.9	193	0	1	0
4	82898243	82898579	MACS_peak_15287	423.21	336	1	1	1
4	83055036	83055238	MACS_peak_15289	500.39	202	0	1	0
4	84760691	84760936	MACS_peak_15300	124.01	245	0	1	0
4	84761795	84762248	MACS_peak_15301	71.7	453	0	1	0
4	100421450	100421785	MACS_peak_15407	541.11	335	0	1	0
4	100473454	100473646	MACS_peak_15408	1023.52	192	0	1	0
4	100528867	100529246	MACS_peak_15409	159.55	379	0	1	0
4	100645645	100645906	MACS_peak_15410	1001.77	261	0	1	0
4	100717981	100718273	MACS_peak_15411	54.15	292	0	1	0
4	100806576	100806909	MACS_peak_15412	424.75	333	0	1	0
4	103187810	103188125	MACS_peak_15426	72.01	315	0	1	0
4	105730412	105730800	MACS_peak_15441	89.02	388	0	2	0
4	105863554	105863858	MACS_peak_15442	108.34	304	0	1	0
4	105865118	105865547	MACS_peak_15443	68.83	429	0	1	0
4	109826823	109827041	MACS_peak_15460	580.62	218	1	0	0
4	122999907	123000237	MACS_peak_15541	55.53	330	0	1	0
4	123017245	123017456	MACS_peak_15542	365.38	211	0	1	0
4	123096096	123096330	MACS_peak_15543	532.66	234	0	1	0
4	123117395	123117600	MACS_peak_15544	896.36	205	0	1	0
4	123196446	123196654	MACS_peak_15545	1320.51	208	0	1	0
4	140360108	140360378	MACS_peak_15617	460.86	270	0	1	1
4	140523798	140524032	MACS_peak_15619	385.26	234	1	0	0
4	145009917	145010205	MACS_peak_15645	96.57	288	0	2	0
4	145609813	145610209	MACS_peak_15647	506.71	396	0	1	0
4	146814704	146814857	MACS_peak_15655	506.18	153	0	1	0
4	146893184	146893652	MACS_peak_15656	147.58	468	0	1	0
4	146916572	146917001	MACS_peak_15657	974.86	429	0	1	0
4	156968469	156968873	MACS_peak_15708	619.12	404	0	1	0
4	168445800	168446087	MACS_peak_15774	82.13	287	0	1	0
4	168870267	168870532	MACS_peak_15775	464.09	265	0	2	0
