chr	start	end	id	score
1	17746324	17746630	MACS_peak_111	439.28
1	17811832	17812099	MACS_peak_112	418.12
1	18427053	18427293	MACS_peak_113	645.81
1	18829231	18829481	MACS_peak_114	288.88
1	18836928	18837115	MACS_peak_115	901.33
1	18908028	18908288	MACS_peak_116	725.38
1	19147331	19147658	MACS_peak_117	546.09
1	20427465	20427702	MACS_peak_118	814.37
1	20477997	20478294	MACS_peak_119	127.5
1	20585993	20586130	MACS_peak_120	1420.82
1	20848810	20849115	MACS_peak_121	497.03
1	20991704	20992006	MACS_peak_122	506.92
1	21234360	21234712	MACS_peak_123	86.75
1	21411184	21411436	MACS_peak_124	565.32
1	21506275	21506750	MACS_peak_125	554.67
1	21696936	21697353	MACS_peak_126	611.54
1	22021061	22021203	MACS_peak_127	384.6
1	22027853	22027993	MACS_peak_128	1136.75
1	23000743	23000909	MACS_peak_129	831.63
1	23215765	23216067	MACS_peak_130	441.54
1	23555045	23555258	MACS_peak_131	149.72
1	24030079	24030396	MACS_peak_132	552.5
1	24098656	24098879	MACS_peak_133	564.54
1	24716563	24716907	MACS_peak_134	784.68
1	24853750	24853988	MACS_peak_135	1264.23
1	24961781	24962046	MACS_peak_136	464.09
1	25092864	25093099	MACS_peak_137	329.35
1	25157248	25157613	MACS_peak_138	362.15
1	25224663	25224915	MACS_peak_139	613.82
1	25616457	25616801	MACS_peak_140	419.18
1	25729549	25729900	MACS_peak_141	415.73
1	25739098	25739437	MACS_peak_142	482.54
1	25834283	25834585	MACS_peak_143	92.78
1	25835031	25835234	MACS_peak_144	145.08
1	26123382	26123683	MACS_peak_145	442.11
1	26324699	26324874	MACS_peak_146	780.06
1	26362407	26362754	MACS_peak_147	417.69
1	26490744	26490999	MACS_peak_148	596.79
1	26659405	26659544	MACS_peak_149	1309.64
1	26690349	26690645	MACS_peak_150	566.68
1	26726093	26726452	MACS_peak_151	734.33
1	26814920	26815220	MACS_peak_152	427.96
1	26928704	26929133	MACS_peak_153	767.78
1	27204517	27204805	MACS_peak_154	700.62
1	27324139	27324394	MACS_peak_155	596.79
1	27524522	27524692	MACS_peak_156	879.24
1	27611301	27611555	MACS_peak_157	1317.49
1	27883270	27883558	MACS_peak_158	572.35
1	27995688	27996072	MACS_peak_159	754.42
1	27998779	27999121	MACS_peak_160	420.18
1	28333187	28333396	MACS_peak_161	558.17
1	28736316	28736505	MACS_peak_162	1129.71
1	28967380	28967670	MACS_peak_163	448.52
1	29022368	29022589	MACS_peak_164	237.59
1	29119299	29119526	MACS_peak_165	695.57
1	29178340	29178644	MACS_peak_166	142.05
1	29203746	29204042	MACS_peak_167	542.62
1	29572390	29572617	MACS_peak_168	695.57
1	29596258	29596446	MACS_peak_169	695.57
1	30246754	30247138	MACS_peak_170	972.38
1	30470134	30470509	MACS_peak_171	79.24
1	30470790	30471317	MACS_peak_172	197.34
1	30781997	30782387	MACS_peak_173	89.02
1	30927857	30928165	MACS_peak_174	137.06
1	30968910	30969363	MACS_peak_175	78.44
1	31040592	31040898	MACS_peak_176	270.85
1	31967567	31967965	MACS_peak_177	535.77
1	32129527	32129795	MACS_peak_178	462.14
1	32531656	32531800	MACS_peak_179	392.74
1	32575081	32575296	MACS_peak_180	799.34
1	32681302	32681659	MACS_peak_181	399.64
1	32985953	32986311	MACS_peak_182	2805.6
1	32989794	32990249	MACS_peak_183	260.52
1	33046671	33047020	MACS_peak_184	887.47
1	33660028	33660163	MACS_peak_185	1079.97
1	34140904	34141283	MACS_peak_186	57.46
1	34298916	34299248	MACS_peak_187	62.38
1	34562598	34563000	MACS_peak_188	75.85
1	34721574	34721907	MACS_peak_189	123.2
1	34885404	34885707	MACS_peak_190	561.84
1	35014827	35015069	MACS_peak_191	501.16
1	35036889	35037411	MACS_peak_192	81.23
1	35318303	35318619	MACS_peak_193	808.09
1	35332018	35332232	MACS_peak_194	596.79
1	35421508	35421886	MACS_peak_195	69.86
1	35490964	35491301	MACS_peak_196	603.02
1	35726366	35726683	MACS_peak_197	578.24
1	35740211	35740346	MACS_peak_198	702.09
1	36615160	36615441	MACS_peak_199	453.96
1	37010146	37010609	MACS_peak_200	534.92
1	37116141	37116343	MACS_peak_201	645.81
1	37674936	37675238	MACS_peak_202	75.54
1	38385040	38385263	MACS_peak_203	866.35
1	38436095	38436412	MACS_peak_204	76.3
1	38437471	38437825	MACS_peak_205	175.85
1	39028291	39028429	MACS_peak_206	960.73
1	39149150	39149284	MACS_peak_207	1666.76
1	40071906	40072300	MACS_peak_208	563.18
1	40265481	40265734	MACS_peak_209	470.06
1	40318958	40319254	MACS_peak_210	445
1	40439148	40439503	MACS_peak_211	631.61
1	40490134	40490325	MACS_peak_212	856.26
1	40498010	40498267	MACS_peak_213	542.24
1	40550437	40550616	MACS_peak_214	954.29
1	40648698	40648936	MACS_peak_215	662.31
1	40663401	40663605	MACS_peak_216	511.85
1	40712371	40712692	MACS_peak_217	429.01
1	40832857	40833151	MACS_peak_218	50.35
1	41134609	41135000	MACS_peak_219	1006.73
1	41414655	41414898	MACS_peak_220	645.81
1	41549510	41549939	MACS_peak_221	119.37
1	41582875	41583111	MACS_peak_222	1326.27
1	42320506	42320887	MACS_peak_223	157.92
1	42455813	42456309	MACS_peak_224	111.01
1	42459277	42459645	MACS_peak_225	182.81
1	42561018	42561401	MACS_peak_226	95.04
1	42698944	42699299	MACS_peak_227	54.01
1	42810004	42810324	MACS_peak_228	306.6
1	42960644	42960978	MACS_peak_229	81.46
1	43174726	43174948	MACS_peak_230	1528.09
1	44383068	44383425	MACS_peak_231	721.05
1	44502350	44502724	MACS_peak_232	637.63
1	44557915	44558143	MACS_peak_233	655.31
1	44827135	44827419	MACS_peak_234	452.13
1	45060913	45061128	MACS_peak_235	596.79
1	45118678	45118925	MACS_peak_236	485.56
1	45260609	45261650	MACS_peak_237	3100
1	45261769	45262242	MACS_peak_238	2431.95
1	45301583	45301934	MACS_peak_239	531.49
1	45766055	45766244	MACS_peak_240	695.57
1	45978322	45978539	MACS_peak_241	901.33
1	46191532	46191826	MACS_peak_242	219.32
1	46481518	46481896	MACS_peak_243	53.46
1	46482629	46482910	MACS_peak_244	79.34
1	46482979	46483317	MACS_peak_245	84.4
1	46689185	46689462	MACS_peak_246	564.42
1	46872038	46872417	MACS_peak_247	515.71
1	46908361	46908665	MACS_peak_248	440.4
1	46970465	46970891	MACS_peak_249	77.66
1	47049812	47050198	MACS_peak_250	511.95
1	47159571	47159997	MACS_peak_251	202.06
1	47191005	47191261	MACS_peak_252	729.14
1	47242033	47242340	MACS_peak_253	823.18
1	47301872	47302236	MACS_peak_254	142.05
1	47341745	47342022	MACS_peak_255	928.78
1	47552074	47552297	MACS_peak_256	224.58
1	47557247	47557525	MACS_peak_257	779.89
1	47591966	47592271	MACS_peak_258	135.19
1	47644857	47645068	MACS_peak_259	596.79
1	47658569	47658897	MACS_peak_260	427.34
1	47845817	47846052	MACS_peak_261	468.75
1	47890071	47890356	MACS_peak_262	451.52
1	47902163	47902436	MACS_peak_263	713.56
1	48070038	48070407	MACS_peak_264	123.08
1	48426634	48427007	MACS_peak_265	66.19
1	48559323	48559600	MACS_peak_266	335.88
1	48575064	48575358	MACS_peak_267	446.16
1	48617697	48617909	MACS_peak_268	76.89
1	48620383	48620728	MACS_peak_269	74.95
1	48620908	48621260	MACS_peak_270	72.64
1	48621475	48621841	MACS_peak_271	91.4
1	48636672	48636879	MACS_peak_272	332.68
1	49472537	49473154	MACS_peak_273	92.35
1	49474264	49474710	MACS_peak_274	56.9
1	49475952	49476321	MACS_peak_275	51.87
1	49476726	49477097	MACS_peak_276	134.63
1	49561952	49562342	MACS_peak_277	223.95
1	49584723	49585079	MACS_peak_278	148.58
1	49724891	49725309	MACS_peak_279	69.43
1	49725538	49725850	MACS_peak_280	75.22
1	49725986	49726399	MACS_peak_281	55.18
1	49727247	49727563	MACS_peak_282	110.45
1	49728032	49728393	MACS_peak_283	112.48
1	49752068	49752383	MACS_peak_284	58.47
1	49753395	49753866	MACS_peak_285	114.16
1	50207377	50207682	MACS_peak_286	180.31
1	50296450	50296787	MACS_peak_287	157.23
1	50342837	50343198	MACS_peak_288	181.72
1	50403483	50403851	MACS_peak_289	94.54
1	50413633	50414260	MACS_peak_290	2436.88
1	51149927	51150060	MACS_peak_291	1396.21
1	51330030	51330468	MACS_peak_292	54.03
1	51395164	51395446	MACS_peak_293	453.35
1	51490102	51490473	MACS_peak_294	87.62
1	51554182	51554437	MACS_peak_295	596.79
1	51655017	51655350	MACS_peak_296	542.34
1	51657812	51658152	MACS_peak_297	421.18
1	51762575	51762804	MACS_peak_298	695.57
1	52234774	52235066	MACS_peak_299	447.34
1	52855513	52855728	MACS_peak_300	596.79
1	53156128	53156313	MACS_peak_301	650.69
1	53213848	53214133	MACS_peak_302	451.52
1	53262447	53263139	MACS_peak_303	1162.73
1	53357592	53357973	MACS_peak_304	290.35
1	53826922	53827157	MACS_peak_305	421.83
1	54320579	54320751	MACS_peak_306	1358.7
1	54425379	54425618	MACS_peak_307	620.13
1	55487684	55487998	MACS_peak_308	301.54
1	56030517	56031005	MACS_peak_309	126.91
1	56167772	56168056	MACS_peak_310	704
1	56833114	56833544	MACS_peak_311	76.22
1	57045295	57045640	MACS_peak_312	418.68
1	57107812	57108067	MACS_peak_313	229.22
1	57146900	57147255	MACS_peak_314	127.15
1	57286658	57287034	MACS_peak_315	760.2
1	57403530	57403923	MACS_peak_316	748.06
1	58072106	58072505	MACS_peak_317	1269.36
1	58628650	58628958	MACS_peak_318	684.39
1	58839922	58840219	MACS_peak_319	50.92
1	58960146	58960437	MACS_peak_320	65.03
1	59048250	59048619	MACS_peak_321	58.05
1	59236454	59236858	MACS_peak_322	81.72
1	59466760	59466926	MACS_peak_323	831.63
1	59719426	59719782	MACS_peak_324	94.4
1	59845738	59846095	MACS_peak_325	137.75
1	60057903	60058242	MACS_peak_326	138.61
1	60077898	60078241	MACS_peak_327	123.63
1	60164977	60165168	MACS_peak_328	1061.85
1	60413060	60413320	MACS_peak_329	725.38
1	60436971	60437427	MACS_peak_330	707.33
1	60468068	60468352	MACS_peak_331	93.4
1	60530211	60530698	MACS_peak_332	689.38
1	60663456	60663775	MACS_peak_333	432.12
1	60744376	60744979	MACS_peak_334	138.31
1	60747080	60747306	MACS_peak_335	913.87
1	60844991	60845393	MACS_peak_336	76.98
1	60931679	60932084	MACS_peak_337	104.33
1	60956976	60957222	MACS_peak_338	181.54
1	60960118	60960547	MACS_peak_339	127.77
1	60978475	60978829	MACS_peak_340	100.02
1	61110896	61111208	MACS_peak_341	88.29
1	61247803	61247961	MACS_peak_342	393.44
1	62124799	62125120	MACS_peak_343	431.05
1	62317921	62318118	MACS_peak_344	662.31
1	62390867	62391019	MACS_peak_345	948.91
1	62601501	62601759	MACS_peak_346	2384.8
1	62609895	62610200	MACS_peak_347	560.48
1	63116050	63116284	MACS_peak_348	125.55
1	63706178	63706589	MACS_peak_349	76.72
1	63707228	63707576	MACS_peak_350	53.89
1	63852722	63852942	MACS_peak_351	1472.89
1	64040851	64041202	MACS_peak_352	629.58
1	64712105	64712410	MACS_peak_353	686.76
1	64734769	64735086	MACS_peak_354	677.44
1	65141556	65141770	MACS_peak_355	1264.23
1	65185047	65185180	MACS_peak_356	1396.21
1	65206108	65206356	MACS_peak_357	261.67
1	65263843	65264139	MACS_peak_358	103.45
1	65525691	65526014	MACS_peak_359	672.92
1	65896878	65897087	MACS_peak_360	613.04
1	65918859	65919231	MACS_peak_361	72.11
1	65919647	65919941	MACS_peak_362	69
1	66028529	66029320	MACS_peak_363	57.1
1	66137830	66138209	MACS_peak_364	69.76
1	66653430	66653882	MACS_peak_365	76.73
1	66666521	66666786	MACS_peak_366	84.4
1	66925126	66925331	MACS_peak_367	690.17
1	66957957	66958159	MACS_peak_368	814.37
1	67230726	67231025	MACS_peak_369	380.3
1	67289676	67290004	MACS_peak_370	79.66
1	67290133	67290384	MACS_peak_371	103.13
1	67423143	67423396	MACS_peak_372	470.06
1	67461642	67462048	MACS_peak_373	739.13
1	67678930	67679143	MACS_peak_374	596.79
1	67680163	67680383	MACS_peak_375	564.54
1	68015599	68015947	MACS_peak_376	76.3
1	68175564	68175860	MACS_peak_377	380.3
1	68231837	68232103	MACS_peak_378	588.83
1	68523679	68524174	MACS_peak_379	534.92
1	68582302	68582626	MACS_peak_380	429.45
1	69200064	69200413	MACS_peak_381	61.75
1	69345951	69346332	MACS_peak_382	63.13
1	69393108	69393437	MACS_peak_383	63.79
1	69429379	69429644	MACS_peak_384	306.6
1	69461528	69462070	MACS_peak_385	121.85
1	69563624	69563998	MACS_peak_386	63.46
1	69582891	69583250	MACS_peak_387	52.99
1	69861167	69861428	MACS_peak_388	436.82
1	70002581	70002825	MACS_peak_389	160.58
1	70043778	70044288	MACS_peak_390	255.98
1	70371735	70372248	MACS_peak_391	164.78
1	70381677	70381966	MACS_peak_392	2199.84
1	70563982	70564319	MACS_peak_393	56.38
1	70598028	70598297	MACS_peak_394	243.49
1	70705279	70705533	MACS_peak_395	596.79
1	70777212	70777504	MACS_peak_396	1835.72
1	70953666	70953907	MACS_peak_397	936.57
1	71248588	71248722	MACS_peak_398	1666.76
1	71431719	71431903	MACS_peak_399	729.14
1	71585521	71585838	MACS_peak_400	93.4
1	71969670	71969914	MACS_peak_401	501.16
1	71980878	71981425	MACS_peak_402	92.75
1	71984823	71985248	MACS_peak_403	141.52
1	71987444	71987685	MACS_peak_404	238.86
1	72358653	72359027	MACS_peak_405	84.01
1	72503448	72503831	MACS_peak_406	513.56
1	73293818	73294223	MACS_peak_407	127.15
1	73366693	73367124	MACS_peak_408	100.11
1	73367151	73367571	MACS_peak_409	67.33
1	73757278	73757633	MACS_peak_410	95.51
1	73796026	73796401	MACS_peak_411	111.49
1	74140477	74140926	MACS_peak_412	465.3
1	74437437	74437855	MACS_peak_413	495.64
1	74598581	74599136	MACS_peak_414	134.96
1	74694530	74694838	MACS_peak_415	380.3
1	74966092	74966427	MACS_peak_416	84.4
1	75237676	75237944	MACS_peak_417	587.27
1	75348280	75348557	MACS_peak_418	148.68
1	75367201	75367446	MACS_peak_419	117.08
1	75518949	75519204	MACS_peak_420	470.06
1	75788752	75789123	MACS_peak_421	75.01
1	75847683	75847970	MACS_peak_422	514.54
1	75943139	75943564	MACS_peak_423	183.93
1	75945055	75945417	MACS_peak_424	51.84
1	75984237	75984462	MACS_peak_425	712.32
1	76100661	76101069	MACS_peak_426	164.26
1	76110649	76111017	MACS_peak_427	81.45
1	76145779	76146085	MACS_peak_428	101
1	76146207	76146510	MACS_peak_429	66.53
1	76165419	76165763	MACS_peak_430	75.26
1	76174101	76174234	MACS_peak_431	1098.16
1	76248513	76248880	MACS_peak_432	150.31
1	76308144	76308471	MACS_peak_433	611.86
1	76372026	76372312	MACS_peak_434	602.79
1	76428195	76428453	MACS_peak_435	389.76
1	76808534	76808733	MACS_peak_436	685.59
1	77071084	77071283	MACS_peak_437	627.67
1	77438996	77439298	MACS_peak_438	441.54
1	77833342	77833639	MACS_peak_439	825.22
1	77868374	77868782	MACS_peak_440	103.15
1	77868942	77869369	MACS_peak_441	84.25
1	77978238	77978482	MACS_peak_442	108.03
1	78364850	78365163	MACS_peak_443	103.45
1	78366526	78366847	MACS_peak_444	214.38
1	78582387	78582745	MACS_peak_445	103.45
1	78596496	78596741	MACS_peak_446	896.52
1	78653800	78654052	MACS_peak_447	88.17
1	78710365	78710865	MACS_peak_448	169.85
1	78927860	78927992	MACS_peak_449	1116.4
1	79045695	79046156	MACS_peak_450	81.3
1	79082244	79082494	MACS_peak_451	712.64
1	79083239	79083429	MACS_peak_452	1235.46
1	79142136	79142357	MACS_peak_453	564.54
1	79305363	79305832	MACS_peak_454	820.08
1	79311105	79311448	MACS_peak_455	79.89
1	79311761	79312029	MACS_peak_456	58.19
1	79721130	79721412	MACS_peak_457	1564.49
1	79826411	79826702	MACS_peak_458	306.6
1	79962941	79963228	MACS_peak_459	450.32
1	79970795	79971083	MACS_peak_460	833.73
1	79978424	79978789	MACS_peak_461	50.92
1	80335948	80336195	MACS_peak_462	584.42
1	80553917	80554293	MACS_peak_463	78.93
1	80683126	80683437	MACS_peak_464	556.45
1	80760121	80760335	MACS_peak_465	918.92
1	80875122	80875612	MACS_peak_466	157.86
1	81168661	81169042	MACS_peak_467	93.4
1	81198818	81199220	MACS_peak_468	60.38
1	81414037	81414287	MACS_peak_469	52.02
1	81440188	81440454	MACS_peak_470	463.44
1	81624066	81624252	MACS_peak_471	1098.16
1	82277636	82278019	MACS_peak_472	631.92
1	82324397	82324693	MACS_peak_473	445
1	82598908	82599447	MACS_peak_474	52.06
1	82721106	82721514	MACS_peak_475	131.57
1	83479159	83479309	MACS_peak_476	1060.6
1	83611757	83611977	MACS_peak_477	668.87
1	83634537	83634781	MACS_peak_478	136.71
1	83635703	83636045	MACS_peak_479	100.19
1	83650275	83650650	MACS_peak_480	70.59
1	83732855	83733300	MACS_peak_481	53.72
1	83733859	83734256	MACS_peak_482	84.14
1	83805697	83806087	MACS_peak_483	57.85
1	83806196	83806473	MACS_peak_484	55.16
1	83819258	83819682	MACS_peak_485	110.12
1	84140016	84140154	MACS_peak_486	1065.38
1	84203415	84203548	MACS_peak_487	1396.21
1	84371076	84371390	MACS_peak_488	944.21
1	84486778	84486975	MACS_peak_489	641.55
1	84606851	84607181	MACS_peak_490	426.3
1	84696633	84696854	MACS_peak_491	132.92
1	84700032	84700393	MACS_peak_492	102.84
1	85310200	85310409	MACS_peak_493	613.04
1	85402047	85402319	MACS_peak_494	714.45
1	85410629	85411026	MACS_peak_495	722.05
1	85651339	85651791	MACS_peak_496	50.18
1	85652451	85652799	MACS_peak_497	122.99
1	85720481	85720716	MACS_peak_498	516.86
1	85812614	85812850	MACS_peak_499	187.23
1	86110611	86111017	MACS_peak_500	170.56
1	86112142	86112487	MACS_peak_501	60.82
1	86219761	86220104	MACS_peak_502	107.69
1	86291452	86291852	MACS_peak_503	83.78
1	86294461	86294729	MACS_peak_504	72.24
1	86390993	86391359	MACS_peak_505	122.66
1	86396861	86397586	MACS_peak_506	62.77
1	86397753	86398171	MACS_peak_507	55.83
1	86628626	86628971	MACS_peak_508	81.72
1	86647843	86648228	MACS_peak_509	81.72
1	86741189	86741542	MACS_peak_510	77.65
1	86939801	86940190	MACS_peak_511	603.02
1	86965606	86965974	MACS_peak_512	894.97
1	87263324	87263639	MACS_peak_513	660.35
1	87282018	87282476	MACS_peak_514	77.93
1	87419618	87419851	MACS_peak_515	385.14
1	88808480	88808991	MACS_peak_516	72.63
1	88812263	88812658	MACS_peak_517	105.65
1	89122854	89123080	MACS_peak_518	138.33
1	89202391	89202637	MACS_peak_519	485.56
1	89854089	89854453	MACS_peak_520	115.7
1	89854486	89854866	MACS_peak_521	74.78
1	89921912	89922256	MACS_peak_522	419.18
1	90215297	90215820	MACS_peak_523	89.05
1	90526682	90527003	MACS_peak_524	94.93
1	91466569	91466918	MACS_peak_525	57.54
1	91467973	91468322	MACS_peak_526	125.87
1	91565177	91565445	MACS_peak_527	229.83
1	91631722	91632012	MACS_peak_528	698.94
1	91679525	91680148	MACS_peak_529	53.89
1	91681134	91681488	MACS_peak_530	74.66
1	91757461	91757965	MACS_peak_531	52.4
1	91911014	91911392	MACS_peak_532	55.56
1	91924812	91925271	MACS_peak_533	1211.54
1	91925534	91926178	MACS_peak_534	3100
1	92698312	92698587	MACS_peak_535	94.11
1	92700452	92700834	MACS_peak_536	64.38
1	93003791	93003975	MACS_peak_537	829.69
1	93173485	93173769	MACS_peak_538	704
1	93360306	93360666	MACS_peak_539	84.06
1	93361082	93361365	MACS_peak_540	85.54
1	93361953	93362609	MACS_peak_541	118
1	93722794	93722928	MACS_peak_542	1666.76
1	93857092	93857429	MACS_peak_543	142.05
1	93868477	93868841	MACS_peak_544	55.24
1	94095008	94095270	MACS_peak_545	466.05
1	94257193	94257602	MACS_peak_546	86.46
1	94316392	94316660	MACS_peak_547	832.28
1	94484471	94484604	MACS_peak_548	1098.16
1	94975751	94976143	MACS_peak_549	62.64
1	95226039	95226451	MACS_peak_550	194.77
1	95509034	95509293	MACS_peak_551	726.32
1	95760240	95761279	MACS_peak_552	234.87
1	95774614	95774953	MACS_peak_553	421.69
1	96709869	96710235	MACS_peak_554	63.35
1	96710790	96711142	MACS_peak_555	72.64
1	96730823	96731108	MACS_peak_556	451.52
1	97057254	97057471	MACS_peak_557	528
1	97075007	97075305	MACS_peak_558	163.87
1	97319041	97319819	MACS_peak_559	197.1
1	97320501	97321047	MACS_peak_560	91.72
1	97549767	97549966	MACS_peak_561	627.67
1	97729715	97729850	MACS_peak_562	925.76
1	97754671	97755054	MACS_peak_563	75.55
1	97756360	97756753	MACS_peak_564	101.16
1	97784801	97785220	MACS_peak_565	63.63
1	97850840	97851175	MACS_peak_566	791.99
1	97990993	97991514	MACS_peak_567	1010.88
1	98022057	98022426	MACS_peak_568	53.86
1	98049598	98049901	MACS_peak_569	161.03
1	98408452	98408833	MACS_peak_570	643.65
1	98574218	98574868	MACS_peak_571	90.37
1	98619522	98619899	MACS_peak_572	75.69
1	98679582	98679853	MACS_peak_573	62.38
1	98680257	98680586	MACS_peak_574	159.56
1	98933639	98934036	MACS_peak_575	745.28
1	99056100	99056476	MACS_peak_576	98.1
1	99387589	99387889	MACS_peak_577	1387.53
1	99456783	99456989	MACS_peak_578	784.8
1	100173209	100173464	MACS_peak_579	470.06
1	100724311	100724657	MACS_peak_580	149.97
1	101132209	101132612	MACS_peak_581	112.08
1	101143583	101143912	MACS_peak_582	77.81
1	101718982	101719529	MACS_peak_583	1678.94
1	101838608	101838745	MACS_peak_584	1061.85
1	101972083	101972465	MACS_peak_585	514.09
1	102093747	102094183	MACS_peak_586	87.62
1	102277214	102277528	MACS_peak_587	202.59
1	102539313	102539692	MACS_peak_588	72.27
1	102558850	102559366	MACS_peak_589	911.63
1	102599824	102600204	MACS_peak_590	76.3
1	102808738	102809154	MACS_peak_591	100.01
1	102850957	102851330	MACS_peak_592	209.38
1	102910334	102910587	MACS_peak_593	164.73
1	102927173	102927546	MACS_peak_594	126.54
1	103167997	103168451	MACS_peak_595	190.81
1	103397957	103398219	MACS_peak_596	60.57
1	103743386	103743600	MACS_peak_597	391.65
1	104003881	104004344	MACS_peak_598	586.55
1	104027881	104028576	MACS_peak_599	236.68
1	104466802	104467372	MACS_peak_600	95.24
1	104805886	104806165	MACS_peak_601	611.86
1	105202263	105202721	MACS_peak_602	69.36
1	105317004	105318008	MACS_peak_603	63.88
1	105323174	105323355	MACS_peak_604	936.57
1	105329351	105329591	MACS_peak_605	170.71
1	105362900	105363214	MACS_peak_606	50.92
1	105412269	105412790	MACS_peak_607	2162.48
1	105480973	105481282	MACS_peak_608	70.61
1	105502587	105502749	MACS_peak_609	848.95
