Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band
ENSG00000199440	14	77821030	77821142	q24.3
ENSG00000253085	1	13696070	13696199	p36.21
ENSG00000252882	17	43395993	43396091	q21.31
ENSG00000201136	15	43702363	43702470	q15.3
ENSG00000199390	14	100963054	100963130	q32.31
ENSG00000222990	14	88513498	88513663	q31.3
ENSG00000201633	4	83636196	83636290	q21.23
ENSG00000243871	15	43391384	43391727	q15.3
ENSG00000251958	1	78088988	78089083	p31.1
ENSG00000201882	X	20136066	20136135	p22.12
ENSG00000222931	14	23791930	23792236	q11.2
ENSG00000212354	18	39678520	39678622	q12.3
ENSG00000199906	3	40498891	40499003	p22.1
ENSG00000266503	22	28642979	28643270	q12.1
ENSG00000201326	15	25209918	25209999	q11.2
ENSG00000199226	X	46517766	46517868	p11.3
ENSG00000274500	7	130489868	130489966	q32.2
ENSG00000251834	9	15431899	15432006	p22.3
ENSG00000265074	CHR_HSCHR6_MHC_MANN_CTG1	32672452	32672615	
ENSG00000274430	X	73944332	73944466	q13.2
ENSG00000201938	9	96103079	96103174	q22.32
ENSG00000239710	1	92974827	92975114	p22.1
ENSG00000201403	11	17075779	17075868	p15.1
ENSG00000207334	8	118976513	118976619	q24.12
ENSG00000276479	8	119325171	119325265	q24.12
ENSG00000222862	8	27679836	27679935	p21.1
ENSG00000278587	14	30519161	30519318	q12
ENSG00000263974	19	2595019	2595291	p13.3
ENSG00000200325	20	30309015	30309126	q11.1
ENSG00000266206	8	12727232	12727304	p23.1
ENSG00000281024	CHR_HG2030_PATCH	133356700	133361317	
ENSG00000283386	8	6745168	6745240	p23.1
ENSG00000207032	9	34389943	34390051	p13.3
ENSG00000266668	7	97964405	97964481	q21.3
ENSG00000275646	5	136133696	136133826	q31.1
ENSG00000238382	1	232700204	232700308	q42.2
ENSG00000278695	CHR_HSCHR22_1_CTG7	23957418	23961206	
ENSG00000199392	18	77431563	77431689	q23
ENSG00000223138	18	9923920	9924021	p11.22
ENSG00000274917	GL000220.1	112025	112177	
ENSG00000207217	7	6016877	6017011	p22.1
ENSG00000221461	8	123180310	123180525	q24.13
ENSG00000252089	20	54859688	54859812	q13.2
ENSG00000199032	3	49020148	49020234	p21.31
ENSG00000276546	21	7663911	7664011	p11.2
ENSG00000206637	1	201978461	201978595	q32.1
ENSG00000201114	1	114490724	114490832	p13.2
ENSG00000274520	2	44932320	44932406	p21
ENSG00000277139	CHR_HSCHR5_2_CTG1_1	69530371	69530475	
ENSG00000244384	2	232649849	232650136	q37.1
ENSG00000202193	16	53337453	53337571	q12.2
ENSG00000265954	19	49854591	49854651	q13.33
ENSG00000201329	8	43378297	43378510	p11.1
ENSG00000221711	4	77702746	77702803	q21.1
ENSG00000240327	X	113976341	113976633	q23
ENSG00000275775	CHR_HSCHR17_1_CTG5	46660217	46660318	
ENSG00000253035	11	122451474	122451599	q24.1
ENSG00000265102	15	35372256	35372364	q14
ENSG00000252322	4	88583666	88583972	q22.1
ENSG00000244732	3	47560229	47560524	p21.31
ENSG00000283165	14	104117418	104117503	q32.33
ENSG00000276881	CHR_HSCHR14_7_CTG1	93437400	93437510	
ENSG00000222506	3	171439526	171439627	q26.31
ENSG00000278232	CHR_HSCHR17_1_CTG5	46261820	46313387	
ENSG00000201567	X	95582064	95582162	q21.33
ENSG00000278287	1	63549133	63549216	p31.3
ENSG00000274210	1	148522601	148522765	q21.2
ENSG00000207009	4	1683420	1683529	p16.3
ENSG00000265942	15	49042341	49042643	q21.1
ENSG00000200869	16	6873899	6874005	p13.3
ENSG00000274884	14	100826284	100826370	q32.2
ENSG00000199303	6	99642237	99642347	q16.2
ENSG00000222230	4	38758791	38758892	p14
ENSG00000201789	1	146288596	146288696	q21.1
ENSG00000239010	4	40377452	40377513	p14
ENSG00000253063	12	32477382	32477471	p11.21
ENSG00000252626	3	107007568	107007670	q13.12
ENSG00000274672	CHR_HSCHR19LRC_LRC_J_CTG3_1	54190866	54195141	
ENSG00000202345	5	168791498	168791610	q34
ENSG00000222468	8	31598099	31598204	p12
ENSG00000278773	6	30061080	30061183	p22.1
ENSG00000201737	2	200775584	200775750	q33.1
ENSG00000199912	12	7800361	7800467	p13.31
ENSG00000199450	8	116022686	116022779	q23.3
ENSG00000273990	CHR_HSCHR1_4_CTG31	144523860	144524021	
ENSG00000206593	5	109014834	109014940	q21.3
ENSG00000201140	9	117197118	117197420	q33.1
ENSG00000207255	2	35471605	35471708	p22.3
ENSG00000206731	2	27642043	27642169	p23.3
ENSG00000275909	16	48432927	48433208	q12.1
ENSG00000222222	1	150236967	150237156	q21.2
ENSG00000212485	8	74079537	74079643	q21.11
ENSG00000206615	22	31388733	31388837	q12.2
ENSG00000239742	20	50557682	50557998	q13.13
ENSG00000199436	14	21392150	21392253	q11.2
ENSG00000277209	14	20343075	20343407	q11.2
ENSG00000252427	11	46758766	46758873	p11.2
ENSG00000252450	1	32286452	32286561	p35.2
ENSG00000206733	X	36021939	36022045	p21.1
ENSG00000251940	22	19249873	19249966	q11.21
ENSG00000266756	8	102125432	102125515	q22.3
ENSG00000280498	1	28580920	28581054	p35.3
ENSG00000251767	1	77420325	77420386	p31.1
ENSG00000212545	7	79030240	79030345	q21.11
ENSG00000275108	3	98987387	98987449	q12.1
ENSG00000264833	2	119169822	119170115	q14.2
ENSG00000277569	X	28495555	28495663	p21.3
ENSG00000252242	17	64825765	64825819	q24.1
ENSG00000212560	X	42139425	42139530	p11.4
ENSG00000276057	22	30971296	30971382	q12.2
ENSG00000273836	8	27433370	27433434	p21.2
ENSG00000202031	1	44777843	44777912	p34.1
ENSG00000252153	9	94809962	94810057	q22.32
ENSG00000274706	CHR_HSCHR3_9_CTG3	198071311	198071417	
ENSG00000200985	22	21792434	21792524	q11.22
ENSG00000201709	15	65229861	65229967	q22.31
ENSG00000207461	6	117457734	117457838	q22.1
ENSG00000200058	6	134257035	134257143	q23.2
ENSG00000207419	6	11709819	11709960	p24.1
ENSG00000223189	7	128627172	128627275	q32.1
ENSG00000200034	2	9740643	9740783	p25.1
ENSG00000243991	3	193740471	193740715	q29
ENSG00000223290	2	154590407	154590528	q24.1
ENSG00000199293	17	38852863	38852994	q12
ENSG00000278525	20	20738433	20738731	p11.23
ENSG00000240853	9	131725168	131725467	q34.13
ENSG00000206617	13	74289100	74289214	q22.1
ENSG00000242989	6	15112968	15113221	p23
ENSG00000212420	15	89886485	89886591	q26.1
ENSG00000199031	19	53787675	53787741	q13.42
ENSG00000272393	7	133082829	133082932	q33
ENSG00000278104	6	30035916	30035983	p22.1
ENSG00000273532	KI270721.1	51722	51792	
ENSG00000264755	2	219058688	219058750	q35
ENSG00000221445	2	25328640	25328721	p23.3
ENSG00000266274	17	30959564	30959850	q11.2
ENSG00000200112	12	115852648	115852718	q24.21
ENSG00000278190	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54868050	54868156	
ENSG00000206804	9	64880369	64880475	q13
ENSG00000284191	7	151238421	151238538	q36.1
ENSG00000284564	17	64500774	64500839	q23.3
ENSG00000273613	16	18344013	18344079	p12.3
ENSG00000276197	GL000220.1	105287	105376	
ENSG00000208025	7	96219662	96219756	q21.3
ENSG00000283454	CHR_HSCHR17_1_CTG5	45327366	45327497	
ENSG00000221455	6	92790453	92790665	q16.1
ENSG00000283532	18	6374361	6374425	p11.31
ENSG00000212593	16	23441841	23441921	p12.2
ENSG00000200153	16	70445293	70445399	q22.1
ENSG00000276048	2	44937426	44937696	p21
ENSG00000211582	14	101026020	101026107	q32.31
ENSG00000239595	17	31465543	31465832	q11.2
ENSG00000201821	13	21038529	21038667	q12.11
ENSG00000207227	22	37891347	37891448	q13.1
ENSG00000266494	6	41598723	41598788	p21.1
ENSG00000264582	1	40804846	40805141	p34.2
ENSG00000239964	6	36522191	36522501	p21.31
ENSG00000215991	14	23417987	23418063	q11.2
ENSG00000276047	5	123070782	123071080	q23.2
ENSG00000199109	14	101023325	101023420	q32.31
ENSG00000202479	2	24969388	24969477	p23.3
ENSG00000277492	X	70846079	70846295	q13.1
ENSG00000221537	14	64095024	64095125	q23.2
ENSG00000206835	1	232832017	232832187	q42.2
ENSG00000266581	11	88176502	88176593	q14.2
ENSG00000241807	15	75785134	75785354	q24.2
ENSG00000223224	16	71758402	71758487	q22.2
ENSG00000284508	20	62564912	62565013	q13.33
ENSG00000265521	1	9967381	9967458	p36.22
ENSG00000201241	15	19883614	19883716	q11.1
ENSG00000199771	16	50869455	50869575	q12.1
ENSG00000251886	18	21120404	21120506	q11.1
ENSG00000221214	10	110988926	110989013	q25.2
ENSG00000207390	CHR_HSCHR15_3_CTG8	44697333	44697430	
ENSG00000206675	4	39297605	39297711	p14
ENSG00000207647	2	219294111	219294200	q35
ENSG00000199765	5	31595565	31595669	p13.3
ENSG00000212521	9	98032230	98032335	q22.33
ENSG00000281185	CHR_HSCHR6_MHC_COX_CTG1	28510773	28515743	
ENSG00000252857	7	55685977	55686081	p11.2
ENSG00000283603	12	25874020	25874079	p12.1
ENSG00000283672	10	87503881	87503954	q23.2
ENSG00000207735	19	53720096	53720182	q13.42
ENSG00000206776	8	119388348	119388469	q24.12
ENSG00000202265	8	57289552	57289649	q12.1
ENSG00000252456	17	4056756	4056876	p13.2
ENSG00000200370	1	228646040	228646158	q42.13
ENSG00000202237	13	28703702	28703807	q12.3
ENSG00000200719	8	29048494	29048604	p12
ENSG00000285757	17	45327366	45327497	q21.31
ENSG00000206679	1	95125511	95125609	p21.3
ENSG00000222831	1	235853000	235853060	q42.3
ENSG00000206863	18	24124170	24124285	q11.2
ENSG00000277057	17	38914979	38915042	q12
ENSG00000283899	1	51836344	51836402	p32.3
ENSG00000199574	15	66501250	66501318	q22.31
ENSG00000200728	10	96112747	96112851	q24.1
ENSG00000243532	8	70654578	70654883	q13.3
ENSG00000284424	17	31534883	31534971	q11.2
ENSG00000284202	1	98046070	98046171	p21.3
ENSG00000251732	5	107810629	107810924	q21.3
ENSG00000239078	8	9072455	9072516	p23.1
ENSG00000207504	1	67541127	67541233	p31.3
ENSG00000238819	15	46351662	46351746	q21.1
ENSG00000278221	16	16324588	16324654	p13.11
ENSG00000252163	X	138397351	138397628	q26.3
ENSG00000200492	6	92119423	92119633	q15
ENSG00000263675	1	37500935	37500994	p34.3
ENSG00000242101	7	100530362	100530659	q22.1
ENSG00000206600	3	195214787	195214893	q29
ENSG00000283736	16	15643294	15643372	p13.11
ENSG00000252367	20	5113993	5114083	p12.3
ENSG00000199961	17	76561109	76561192	q25.1
ENSG00000277032	CHR_HSCHR14_7_CTG1	93397139	93397234	
ENSG00000207145	11	93733466	93733597	q21
ENSG00000200966	9	100581079	100581379	q31.1
ENSG00000199251	2	207680533	207680639	q33.3
ENSG00000265059	CHR_HSCHR6_MHC_MANN_CTG1	32549943	32550090	
ENSG00000252480	7	39768341	39768444	p14.1
ENSG00000200959	5	139278781	139278978	q31.2
ENSG00000199804	14	24158603	24158722	q12
ENSG00000276669	11	86216596	86216878	q14.2
ENSG00000199466	10	124766196	124766297	q26.13
ENSG00000264997	11	109263494	109263564	q22.3
ENSG00000239468	7	148890226	148890513	q36.1
ENSG00000252998	10	2098167	2098269	p15.3
ENSG00000263432	5	123022487	123022783	q23.2
ENSG00000201436	5	16941843	16941951	p15.1
ENSG00000207434	1	12922554	12922660	p36.21
ENSG00000201856	11	13907484	13907590	p15.2
ENSG00000277168	1	37953508	37953780	p34.3
ENSG00000264391	5	76836900	76837195	q13.3
ENSG00000275816	1	51060018	51060103	p32.3
ENSG00000239494	1	169859756	169860052	q24.2
ENSG00000277035	2	28134408	28134585	p23.2
ENSG00000199809	12	118829681	118829805	q24.23
ENSG00000202019	22	31230071	31230172	q12.2
ENSG00000222778	3	144186905	144187020	q24
ENSG00000239390	5	144140879	144141166	q31.3
ENSG00000266716	CHR_HSCHR6_MHC_SSTO_CTG1	31654037	31654150	
ENSG00000251819	15	100551820	100551922	q26.3
ENSG00000274883	17	45931806	45932083	q21.31
ENSG00000266754	10	103974515	103974814	q24.33
ENSG00000240347	7	80318253	80318544	q21.11
ENSG00000202048	14	100981004	100981075	q32.31
ENSG00000252744	1	148330271	148330394	q21.2
ENSG00000239108	2	132152243	132152349	q21.2
ENSG00000251914	1	20841241	20841302	p36.12
ENSG00000252660	12	62935701	62935802	q14.2
ENSG00000222952	1	13623184	13623284	p36.21
ENSG00000216075	X	145994275	145994351	q27.3
ENSG00000199381	13	72881108	72881214	q22.1
ENSG00000252534	17	60748940	60749046	q23.2
ENSG00000200571	3	136430084	136430183	q22.3
ENSG00000283770	8	144400277	144400345	q24.3
ENSG00000212464	10	100237156	100237302	q24.31
ENSG00000223269	11	99120176	99120490	q22.1
ENSG00000251896	15	25101575	25101666	q11.2
ENSG00000273571	7	116954983	116955154	q31.2
ENSG00000281780	2	206161841	206161929	q33.3
ENSG00000212232	20	17962710	17962946	p11.23
ENSG00000252537	10	16005808	16005923	p13
ENSG00000243374	7	148438309	148438577	q36.1
ENSG00000284047	7	2257515	2257577	p22.3
ENSG00000202379	3	108574565	108574698	q13.13
ENSG00000252507	2	54850289	54850352	p16.1
ENSG00000252307	4	9411178	9411253	p16.1
ENSG00000212391	2	226968989	226969122	q36.3
ENSG00000253007	22	33704786	33704920	q12.3
ENSG00000207559	4	165386242	165386337	q32.3
ENSG00000277740	8	69851148	69851436	q13.3
ENSG00000199652	8	135742343	135742495	q24.23
ENSG00000274566	CHR_HSCHR19LRC_LRC_S_CTG3_1	55021410	55045969	
ENSG00000207492	12	40554161	40554267	q12
ENSG00000206980	1	151747597	151747700	q21.3
ENSG00000207589	X	147236913	147237027	q27.3
ENSG00000266690	4	7460028	7460118	p16.1
ENSG00000206592	5	79220942	79221073	q14.1
ENSG00000201793	13	99205708	99206006	q32.3
ENSG00000277029	17	36404826	36404932	q12
ENSG00000222765	4	65807240	65807435	q13.2
ENSG00000276055	3	151079506	151079584	q25.1
ENSG00000200164	16	69191123	69191223	q22.1
ENSG00000284567	X	66018870	66018979	q12
ENSG00000200388	12	31396390	31396501	p11.21
ENSG00000206983	X	37870109	37870215	p11.4
ENSG00000284146	3	197674496	197674576	q29
ENSG00000238443	12	133238455	133238549	q24.33
ENSG00000238926	X	72284945	72285045	q13.1
ENSG00000251715	13	72460519	72460601	q21.33
ENSG00000206616	15	23777437	23777543	q11.2
ENSG00000265328	3	103524033	103524116	q13.11
ENSG00000222249	11	119289562	119289677	q23.3
ENSG00000200785	14	21397292	21397401	q11.2
ENSG00000265327	3	40209005	40209304	p22.1
ENSG00000202427	2	113681111	113681217	q14.1
ENSG00000271841	3	17664963	17665025	p24.3
ENSG00000281243	CHR_HG2030_PATCH	133350243	133350316	
ENSG00000200108	4	84233657	84233763	q21.23
ENSG00000251839	10	27232255	27232316	p12.1
ENSG00000284459	9	95086021	95086088	q22.32
ENSG00000221255	2	7576841	7576971	p25.1
ENSG00000202389	17	28022330	28022464	q11.2
ENSG00000206775	19	3982507	3982572	p13.3
ENSG00000284054	8	144262673	144262737	q24.3
ENSG00000222663	11	105824634	105824770	q22.3
ENSG00000277085	CHR_HSCHR6_MHC_MANN_CTG1	30056241	30056344	
ENSG00000263363	2	226658710	226658793	q36.3
ENSG00000251939	18	46121615	46121721	q21.1
ENSG00000265669	6	132115192	132115263	q23.2
ENSG00000264857	2	101309450	101309534	q11.2
ENSG00000199636	18	24429505	24429609	q11.2
ENSG00000221040	1	116278606	116278821	p13.1
ENSG00000275968	13	105459815	105460015	q33.2
ENSG00000207925	19	53725442	53725526	q13.42
ENSG00000276824	6	33899135	33899200	p21.31
ENSG00000264452	21	44439035	44439110	q22.3
ENSG00000201892	2	140992543	140992659	q22.1
ENSG00000274306	19	49682117	49682195	q13.33
ENSG00000221710	X	114715233	114715344	q23
ENSG00000207818	X	152394412	152394492	q28
ENSG00000207633	X	139924148	139924231	q27.1
ENSG00000284140	22	20085746	20085833	q11.21
ENSG00000263730	X	39661216	39661321	p11.4
ENSG00000277678	1	145169519	145169664	q21.1
ENSG00000252136	4	105105987	105106094	q24
ENSG00000264934	2	109141490	109141588	q13
ENSG00000201825	18	47234442	47234548	q21.1
ENSG00000284172	17	64822030	64822102	q24.1
ENSG00000207991	9	123402525	123402603	q33.3
ENSG00000264169	9	130400266	130400565	q34.11
ENSG00000207984	X	147225826	147225952	q27.3
ENSG00000284261	7	44881748	44881800	p13
ENSG00000283801	19	71973	72110	p13.3
ENSG00000264185	CHR_HSCHR6_MHC_COX_CTG1	31360589	31360695	
ENSG00000252970	4	39936753	39936855	p14
ENSG00000275651	9	33467869	33467935	p13.3
ENSG00000215943	X	145996669	145996743	q27.3
ENSG00000201033	3	27513871	27514032	p24.1
ENSG00000221669	7	34940760	34940834	p14.2
ENSG00000277255	16	81533902	81533966	q23.2
ENSG00000207797	18	35904818	35904926	q12.2
ENSG00000202344	2	55951654	55952014	p16.1
ENSG00000266189	17	81451104	81451188	q25.3
ENSG00000274969	16	50292616	50292675	q12.1
ENSG00000280466	1	155925958	155926085	q22
ENSG00000264675	7	102293103	102293187	q22.1
ENSG00000222490	3	90184634	90184733	p11.1
ENSG00000252623	20	32008351	32008472	q11.21
ENSG00000198983	5	55170532	55170622	q11.2
ENSG00000264226	13	41101019	41101100	q14.11
ENSG00000238531	19	10109757	10109835	p13.2
ENSG00000221616	8	27048853	27048963	p21.2
ENSG00000283677	12	69584723	69584822	q15
ENSG00000223281	8	98921233	98921550	q22.2
ENSG00000277073	5	10478037	10478145	p15.2
ENSG00000200138	16	28183318	28183430	p12.1
ENSG00000201499	2	200881715	200881821	q33.1
ENSG00000252428	9	72299720	72299838	q21.13
ENSG00000200084	16	89561434	89561517	q24.3
ENSG00000266240	4	13627865	13627957	p15.33
ENSG00000207963	3	171106664	171106759	q26.2
ENSG00000283346	16	15134075	15134145	p13.11
ENSG00000202317	11	66393449	66393612	q13.2
ENSG00000283379	4	159128805	159128891	q32.1
ENSG00000264984	11	9090312	9090379	p15.4
ENSG00000201183	1	148402715	148402875	q21.2
ENSG00000276162	22	28459869	28459948	q12.1
ENSG00000212446	17	44135883	44135989	q21.31
ENSG00000200279	14	100967052	100967123	q32.31
ENSG00000207719	13	99356131	99356228	q32.3
ENSG00000264658	4	7310450	7310524	p16.1
ENSG00000200411	11	96474572	96474692	q21
ENSG00000199038	11	568089	568198	p15.5
ENSG00000276296	CHR_HSCHR19LRC_LRC_S_CTG3_1	54107066	54115801	
ENSG00000277269	7	130487483	130487622	q32.2
ENSG00000278081	CHR_HSCHR19LRC_LRC_S_CTG3_1	54201473	54208260	
ENSG00000222686	6	85751581	85751753	q14.3
ENSG00000207650	3	195699401	195699497	q29
ENSG00000207713	12	6963699	6963766	p13.31
ENSG00000252681	Y	23740942	23741105	q11.223
ENSG00000239356	11	65695552	65695837	q13.1
ENSG00000274589	11	18538885	18539189	p15.1
ENSG00000198972	19	51692786	51692864	q13.41
ENSG00000284074	20	62332487	62332557	q13.33
ENSG00000207805	11	2134134	2134209	p15.5
ENSG00000265370	10	119958513	119958592	q26.12
ENSG00000206641	15	53764204	53764310	q21.3
ENSG00000202240	18	57284602	57284708	q21.31
ENSG00000221028	1	201808611	201808702	q32.1
ENSG00000201452	3	175767558	175767661	q26.31
ENSG00000284488	3	49099854	49099914	p21.31
ENSG00000238627	21	25202207	25202315	q21.2
ENSG00000283385	17	69099564	69099632	q24.2
ENSG00000244080	19	11516047	11516330	p13.2
ENSG00000252739	4	102837047	102837099	q24
ENSG00000210741	17	48632490	48632559	q21.32
ENSG00000252959	4	166053187	166053287	q32.3
ENSG00000221238	2	70252918	70253005	p13.3
ENSG00000206786	5	119138859	119138965	q23.1
ENSG00000239856	11	86324012	86324309	q14.2
ENSG00000273648	16	5632467	5632566	p13.3
ENSG00000200413	14	100987046	100987117	q32.31
ENSG00000280263	22	16486985	16488322	q11.1
ENSG00000223306	1	225741275	225741380	q42.12
ENSG00000265172	2	11836933	11836986	p25.1
ENSG00000252619	21	42417497	42417593	q22.3
ENSG00000263918	16	14907717	14907781	p13.11
ENSG00000275222	20	8998849	8999100	p12.3
ENSG00000265673	15	23562062	23562131	q11.2
ENSG00000252357	1	173808489	173808622	q25.1
ENSG00000252549	20	35647328	35647430	q11.22
ENSG00000212040	14	101031987	101032064	q32.31
ENSG00000276134	CHR_HSCHR5_4_CTG1_1	125350868	125351131	
ENSG00000207803	19	53731006	53731090	q13.42
ENSG00000212379	16	58378052	58378148	q21
ENSG00000243544	3	121653994	121654296	q13.33
ENSG00000202343	6	149594625	149594759	q25.1
ENSG00000202275	14	103797272	103797348	q32.33
ENSG00000201059	11	21000881	21000997	p15.1
ENSG00000202200	6	128761717	128761808	q22.33
ENSG00000212051	18	24321686	24321735	q11.2
ENSG00000277900	X	97081674	97081956	q21.33
ENSG00000264200	11	103849906	103849980	q22.3
ENSG00000283126	13	54311972	54312048	q14.3
ENSG00000239953	6	37361185	37361483	p21.2
ENSG00000251878	4	184431966	184432049	q35.1
ENSG00000251818	17	28018770	28018907	q11.2
ENSG00000202071	3	66003839	66003940	p14.1
ENSG00000266852	10	104268336	104268405	q25.1
ENSG00000274697	12	111799834	111799905	q24.12
ENSG00000251735	14	46960423	46960546	q21.3
ENSG00000252161	10	53458197	53458288	q21.1
ENSG00000207546	12	64622509	64622605	q14.2
ENSG00000222344	2	229894346	229894453	q36.3
ENSG00000212214	X	3532117	3532251	p22.33
ENSG00000265754	CHR_HSCHR6_MHC_MCF_CTG1	31699371	31699502	
ENSG00000202050	6	24365651	24365754	p22.3
ENSG00000263994	CHR_HSCHR6_MHC_SSTO_CTG1	31613823	31613954	
ENSG00000264377	1	234306467	234306539	q42.2
ENSG00000200987	15	25225203	25225284	q11.2
ENSG00000274385	20	30713240	30713346	q11.21
ENSG00000207069	2	25008845	25008946	p23.3
ENSG00000200888	17	45071442	45071543	q21.31
ENSG00000240966	4	87386883	87387174	q22.1
ENSG00000284219	10	133247511	133247620	q26.3
ENSG00000251953	Y	18346123	18346238	q11.222
ENSG00000207131	6	87826173	87826285	q15
ENSG00000201860	3	191641135	191641237	q28
ENSG00000199695	22	31222745	31222853	q12.2
ENSG00000266110	1	85133794	85133873	p22.3
ENSG00000222743	5	37619985	37620088	p13.2
ENSG00000200975	1	8206434	8206597	p36.23
ENSG00000273629	1	176217541	176217602	q25.2
ENSG00000252086	1	219761789	219761875	q41
ENSG00000253072	11	15481808	15481893	p15.2
ENSG00000275072	6	85677589	85677658	q14.3
ENSG00000252035	8	14487776	14487879	p22
ENSG00000199667	8	100185138	100185239	q22.2
ENSG00000212389	2	147877422	147877528	q22.3
ENSG00000241625	2	62491178	62491468	p15
ENSG00000200238	3	56185104	56185222	p14.3
ENSG00000275068	9	64082429	64082534	q13
ENSG00000222421	9	127832635	127832743	q34.11
ENSG00000252479	10	31259599	31259704	p11.22
ENSG00000212248	1	99978939	99979045	p21.2
ENSG00000275208	11	47179611	47179737	p11.2
ENSG00000277264	6	32179816	32179876	p21.32
ENSG00000274754	CHR_HSCHR17_1_CTG5	45881211	45881312	
ENSG00000274011	9	98115885	98116135	q22.33
ENSG00000212167	2	175022214	175022319	q31.1
ENSG00000265092	10	125819740	125819822	q26.2
ENSG00000200206	15	86173198	86173270	q25.3
ENSG00000276656	3	124374332	124374437	q21.2
ENSG00000222320	18	31937533	31937639	q12.1
ENSG00000252707	17	12036496	12036637	p12
ENSG00000200003	2	27475494	27475595	p23.3
ENSG00000283894	3	75630763	75630858	p12.3
ENSG00000277154	CHR_HSCHR19LRC_COX1_CTG3_1	54115536	54131896	
ENSG00000264978	12	93831076	93831372	q22
ENSG00000238705	1	26554542	26554593	p36.11
ENSG00000243424	8	80613544	80613826	q21.13
ENSG00000212295	6	156378750	156378824	q25.3
ENSG00000277141	1	117243212	117243508	p12
ENSG00000284372	1	1339650	1339708	p36.33
ENSG00000277985	17	7577955	7578091	p13.1
ENSG00000199713	18	58818883	58819016	q21.32
ENSG00000265301	2	35471405	35471486	p22.3
ENSG00000206743	5	37700331	37700437	p13.2
ENSG00000252909	22	31837238	31837298	q12.3
ENSG00000206631	10	94155639	94155745	q23.33
ENSG00000278198	GL000195.1	173872	179372	
ENSG00000275577	CHR_HSCHR19LRC_COX2_CTG3_1	54040833	54063953	
ENSG00000273657	19	7617439	7617505	p13.2
ENSG00000278109	17	43607436	43607723	q21.31
ENSG00000223156	10	16476003	16476164	p13
ENSG00000263989	20	41290280	41290577	q12
ENSG00000212407	8	32911493	32911598	p12
ENSG00000200774	10	83067962	83068071	q23.1
ENSG00000265281	16	56245520	56245623	q13
ENSG00000210049	MT	577	647	
ENSG00000211459	MT	648	1601	
ENSG00000210077	MT	1602	1670	
ENSG00000210082	MT	1671	3229	
ENSG00000209082	MT	3230	3304	
ENSG00000198888	MT	3307	4262	
ENSG00000210100	MT	4263	4331	
ENSG00000210107	MT	4329	4400	
ENSG00000210112	MT	4402	4469	
ENSG00000198763	MT	4470	5511	
ENSG00000210117	MT	5512	5579	
ENSG00000210127	MT	5587	5655	
ENSG00000210135	MT	5657	5729	
ENSG00000210140	MT	5761	5826	
ENSG00000210144	MT	5826	5891	
