id	chr	start	end	gene_sum	genes	distance
MACS_peak_120	1	20585993	20586130	80	0	107699
MACS_peak_121	1	20848810	20849115	81	1	262680
MACS_peak_125	1	21506275	21506750	81	0	94839
MACS_peak_126	1	21696936	21697353	82	1	190186
MACS_peak_128	1	22027853	22027993	82	0	6650
MACS_peak_129	1	23000743	23000909	86	4	972750
MACS_peak_130	1	23215765	23216067	87	1	214856
MACS_peak_131	1	23555045	23555258	88	1	338978
MACS_peak_132	1	24030079	24030396	94	6	474821
MACS_peak_133	1	24098656	24098879	94	0	68260
MACS_peak_134	1	24716563	24716907	97	3	617684
MACS_peak_147	1	26362407	26362754	97	0	37533
MACS_peak_148	1	26490744	26490999	98	1	127990
MACS_peak_150	1	26690349	26690645	98	0	30805
MACS_peak_151	1	26726093	26726452	99	1	35448
MACS_peak_152	1	26814920	26815220	99	0	88468
MACS_peak_153	1	26928704	26929133	103	4	113484
MACS_peak_154	1	27204517	27204805	104	1	275384
MACS_peak_155	1	27324139	27324394	104	0	119334
MACS_peak_156	1	27524522	27524692	105	1	200128
MACS_peak_157	1	27611301	27611555	105	0	86609
MACS_peak_158	1	27883270	27883558	109	4	271715
MACS_peak_159	1	27995688	27996072	110	1	112130
MACS_peak_160	1	27998779	27999121	110	0	2707
MACS_peak_161	1	28333187	28333396	112	2	334066
MACS_peak_172	1	30470790	30471317	112	0	281
MACS_peak_173	1	30781997	30782387	113	1	310680
MACS_peak_176	1	31040592	31040898	113	0	71229
MACS_peak_177	1	31967567	31967965	118	5	926669
MACS_peak_178	1	32129527	32129795	119	1	161562
MACS_peak_179	1	32531656	32531800	124	5	401861
MACS_peak_180	1	32575081	32575296	124	0	43281
MACS_peak_181	1	32681302	32681659	126	2	106006
MACS_peak_182	1	32985953	32986311	129	3	304294
MACS_peak_183	1	32989794	32990249	129	0	3483
MACS_peak_184	1	33046671	33047020	130	1	56422
MACS_peak_195	1	35421508	35421886	130	0	89276
MACS_peak_196	1	35490964	35491301	131	1	69078
MACS_peak_197	1	35726366	35726683	134	3	235065
MACS_peak_198	1	35740211	35740346	134	0	13528
MACS_peak_199	1	36615160	36615441	143	9	874814
MACS_peak_201	1	37116141	37116343	143	0	105532
MACS_peak_202	1	37674936	37675238	146	3	558593
MACS_peak_203	1	38385040	38385263	150	4	709802
MACS_peak_207	1	39149150	39149284	150	0	120721
MACS_peak_208	1	40071906	40072300	153	3	922622
MACS_peak_214	1	40550437	40550616	153	0	52170
MACS_peak_215	1	40648698	40648936	154	1	98082
MACS_peak_230	1	43174726	43174948	154	0	213748
MACS_peak_231	1	44383068	44383425	160	6	1208120
MACS_peak_233	1	44557915	44558143	160	0	55191
MACS_peak_234	1	44827135	44827419	162	2	268992
MACS_peak_235	1	45060913	45061128	165	3	233494
MACS_peak_239	1	45301583	45301934	165	0	39341
MACS_peak_240	1	45766055	45766244	167	2	464121
MACS_peak_241	1	45978322	45978539	167	0	212078
MACS_peak_242	1	46191532	46191826	168	1	212993
MACS_peak_243	1	46481518	46481896	170	2	289692
MACS_peak_245	1	46482979	46483317	170	0	69
MACS_peak_246	1	46689185	46689462	172	2	205868
MACS_peak_254	1	47301872	47302236	172	0	59532
MACS_peak_255	1	47341745	47342022	173	1	39509
MACS_peak_290	1	50413633	50414260	173	0	9782
MACS_peak_291	1	51149927	51150060	174	1	735667
MACS_peak_292	1	51330030	51330468	175	1	179970
MACS_peak_293	1	51395164	51395446	176	1	64696
MACS_peak_295	1	51554182	51554437	176	0	63709
MACS_peak_296	1	51655017	51655350	177	1	100580
MACS_peak_298	1	51762575	51762804	177	0	104423
MACS_peak_299	1	52234774	52235066	180	3	471970
MACS_peak_300	1	52855513	52855728	182	2	620447
MACS_peak_301	1	53156128	53156313	186	4	300400
MACS_peak_302	1	53213848	53214133	187	1	57535
MACS_peak_303	1	53262447	53263139	189	2	48314
MACS_peak_305	1	53826922	53827157	189	0	468949
MACS_peak_306	1	54320579	54320751	192	3	493422
MACS_peak_307	1	54425379	54425618	192	0	104628
MACS_peak_308	1	55487684	55487998	194	2	1062066
MACS_peak_318	1	58628650	58628958	194	0	556145
MACS_peak_319	1	58839922	58840219	195	1	210964
MACS_peak_347	1	62609895	62610200	195	0	8136
MACS_peak_348	1	63116050	63116284	196	1	505850
MACS_peak_349	1	63706178	63706589	197	1	589894
MACS_peak_390	1	70043778	70044288	197	0	40953
MACS_peak_391	1	70371735	70372248	199	2	327447
MACS_peak_397	1	70953666	70953907	199	0	176162
MACS_peak_398	1	71248588	71248722	200	1	294681
MACS_peak_412	1	74140477	74140926	200	0	344076
MACS_peak_413	1	74437437	74437855	202	2	296511
MACS_peak_420	1	75518949	75519204	202	0	151503
MACS_peak_421	1	75788752	75789123	203	1	269548
MACS_peak_437	1	77071084	77071283	203	0	262351
MACS_peak_438	1	77438996	77439298	204	1	367713
MACS_peak_439	1	77833342	77833639	207	3	394044
MACS_peak_441	1	77868942	77869369	207	0	160
MACS_peak_442	1	77978238	77978482	208	1	108869
MACS_peak_446	1	78596496	78596741	208	0	13751
MACS_peak_447	1	78653800	78654052	209	1	57059
MACS_peak_448	1	78710365	78710865	209	0	56313
MACS_peak_449	1	78927860	78927992	210	1	216995
MACS_peak_485	1	83819258	83819682	210	0	12785
MACS_peak_486	1	84140016	84140154	211	1	320334
MACS_peak_487	1	84203415	84203548	211	0	63261
MACS_peak_488	1	84371076	84371390	212	1	167528
MACS_peak_489	1	84486778	84486975	213	1	115388
MACS_peak_490	1	84606851	84607181	215	2	119876
MACS_peak_491	1	84696633	84696854	216	1	89452
MACS_peak_492	1	84700032	84700393	216	0	3178
MACS_peak_493	1	85310200	85310409	218	2	609807
MACS_peak_495	1	85410629	85411026	218	0	8310
MACS_peak_496	1	85651339	85651791	219	1	240313
MACS_peak_510	1	86741189	86741542	219	0	92961
MACS_peak_511	1	86939801	86940190	220	1	198259
MACS_peak_515	1	87419618	87419851	220	0	137142
MACS_peak_516	1	88808480	88808991	221	1	1388629
MACS_peak_517	1	88812263	88812658	221	0	3272
MACS_peak_518	1	89122854	89123080	223	2	310196
MACS_peak_519	1	89202391	89202637	224	1	79311
MACS_peak_524	1	90526682	90527003	224	0	310862
MACS_peak_525	1	91466569	91466918	225	1	939566
MACS_peak_534	1	91925534	91926178	225	0	263
MACS_peak_535	1	92698312	92698587	229	4	772134
MACS_peak_536	1	92700452	92700834	229	0	1865
MACS_peak_537	1	93003791	93003975	230	1	302957
MACS_peak_538	1	93173485	93173769	232	2	169510
MACS_peak_539	1	93360306	93360666	233	1	186537
MACS_peak_541	1	93361953	93362609	233	0	588
MACS_peak_542	1	93722794	93722928	234	1	360185
MACS_peak_543	1	93857092	93857429	234	0	134164
MACS_peak_544	1	93868477	93868841	235	1	11048
MACS_peak_550	1	95226039	95226451	235	0	249896
MACS_peak_551	1	95509034	95509293	236	1	282583
MACS_peak_555	1	96710790	96711142	236	0	555
MACS_peak_556	1	96730823	96731108	237	1	19681
MACS_peak_578	1	99456783	99456989	237	0	68894
MACS_peak_579	1	100173209	100173464	241	4	716220
MACS_peak_580	1	100724311	100724657	243	2	550847
MACS_peak_581	1	101132209	101132612	245	2	407552
MACS_peak_582	1	101143583	101143912	245	0	10971
MACS_peak_583	1	101718982	101719529	246	1	575070
MACS_peak_596	1	103397957	103398219	246	0	229506
MACS_peak_597	1	103743386	103743600	248	2	345167
MACS_peak_679	1	108689152	108689313	248	0	20695
MACS_peak_680	1	108708165	108708538	249	1	18852
MACS_peak_681	1	108757085	108757720	250	1	48547
MACS_peak_683	1	108859292	108859498	250	0	37340
MACS_peak_684	1	108957672	108957950	251	1	98174
MACS_peak_685	1	109055122	109055461	252	1	97172
MACS_peak_686	1	109065672	109065954	253	1	10211
MACS_peak_687	1	109104325	109104733	254	1	38371
MACS_peak_688	1	109219138	109219499	255	1	114405
MACS_peak_689	1	109272419	109272684	256	1	52920
MACS_peak_690	1	109288954	109289234	257	1	16270
MACS_peak_691	1	109313901	109314440	258	1	24667
MACS_peak_692	1	109440753	109441043	259	1	126313
MACS_peak_693	1	109570482	109570713	261	2	129439
MACS_peak_694	1	109743697	109744038	264	3	172984
MACS_peak_695	1	109806232	109806608	264	0	62194
MACS_peak_696	1	110033078	110033551	267	3	226470
MACS_peak_701	1	110288029	110288600	267	0	95331
MACS_peak_702	1	110523307	110523526	268	1	234707
MACS_peak_705	1	110745697	110745900	268	0	5869
MACS_peak_706	1	111000564	111000784	269	1	254664
MACS_peak_708	1	111038661	111038981	269	0	35473
MACS_peak_709	1	111308767	111309037	272	3	269786
MACS_peak_713	1	111390462	111390666	272	0	39036
MACS_peak_714	1	111490513	111490750	274	2	99847
MACS_peak_715	1	111751347	111751585	275	1	260597
MACS_peak_716	1	111833532	111833742	276	1	81947
MACS_peak_717	1	112312213	112312454	276	0	478471
MACS_peak_718	1	112511536	112511744	277	1	199082
MACS_peak_719	1	112534106	112534354	278	1	22362
MACS_peak_720	1	112646906	112647545	279	1	112552
MACS_peak_721	1	112698182	112698610	280	1	50637
MACS_peak_722	1	112742238	112742551	282	2	43628
MACS_peak_725	1	112883432	112883782	282	0	41861
MACS_peak_726	1	113346738	113347115	283	1	462956
MACS_peak_730	1	113683179	113683474	283	0	69333
MACS_peak_731	1	113885567	113885993	285	2	202093
MACS_peak_732	1	113891148	113891301	285	0	5155
MACS_peak_733	1	113977146	113977356	288	3	85845
MACS_peak_743	1	114378392	114378687	288	0	167053
MACS_peak_744	1	114393911	114394149	289	1	15224
MACS_peak_748	1	114521196	114521714	289	0	29104
MACS_peak_749	1	114575956	114576258	290	1	54242
MACS_peak_750	1	114647537	114647890	290	0	71279
MACS_peak_751	1	114736202	114736491	292	2	88312
MACS_peak_752	1	114767616	114768010	292	0	31125
MACS_peak_753	1	114825523	114825966	293	1	57513
MACS_peak_779	1	115595063	115595394	293	0	10437
MACS_peak_780	1	115655455	115655725	294	1	60061
MACS_peak_785	1	116392473	116392699	294	0	9177
MACS_peak_786	1	116517503	116517762	295	1	124804
MACS_peak_787	1	116563289	116563592	295	0	45527
MACS_peak_788	1	116595346	116595646	296	1	31754
MACS_peak_790	1	116694722	116694961	296	0	16594
MACS_peak_791	1	116823472	116823909	297	1	128511
MACS_peak_795	1	117041624	117042009	297	0	13433
MACS_peak_796	1	117073883	117074212	298	1	31874
MACS_peak_804	1	117360276	117360573	298	0	53256
MACS_peak_805	1	117597945	117598282	299	1	237372
MACS_peak_807	1	117855166	117855418	299	0	90316
MACS_peak_808	1	117945005	117945219	300	1	89587
MACS_peak_847	1	120866921	120867304	300	0	628
MACS_peak_848	1	121223285	121223554	302	2	355981
MACS_peak_921	1	144859689	144860051	302	0	47572
MACS_peak_922	1	144917810	144918363	303	1	57759
MACS_peak_947	1	145589289	145589652	303	0	402
MACS_peak_948	1	145713628	145713821	304	1	123976
MACS_peak_949	1	145773738	145773980	305	1	59917
MACS_peak_950	1	145817371	145817606	305	0	43391
MACS_peak_951	1	145825002	145825487	306	1	7396
MACS_peak_952	1	146011713	146012262	308	2	186226
MACS_peak_954	1	146057160	146057515	308	0	5738
MACS_peak_955	1	146236085	146236302	309	1	178570
MACS_peak_972	1	146914850	146915216	309	0	16303
MACS_peak_973	1	146952974	146953419	310	1	37758
MACS_peak_976	1	147113779	147114112	310	0	140348
MACS_peak_977	1	147172120	147172394	311	1	58008
MACS_peak_978	1	147196126	147196365	311	0	23732
MACS_peak_979	1	147362393	147362657	312	1	166028
MACS_peak_993	1	147843479	147843984	312	0	25393
MACS_peak_994	1	147970355	147970634	313	1	126371
MACS_peak_995	1	147999986	148000478	313	0	29352
MACS_peak_996	1	148182047	148182180	314	1	181569
MACS_peak_1002	1	148512023	148512295	314	0	165201
MACS_peak_1003	1	148531968	148532270	315	1	19673
MACS_peak_1027	1	149764104	149764343	315	0	105137
MACS_peak_1028	1	149973817	149974169	318	3	209474
MACS_peak_1032	1	150064723	150064949	318	0	19417
MACS_peak_1033	1	150087100	150087411	319	1	22151
MACS_peak_1037	1	150193960	150194323	319	0	6839
MACS_peak_1038	1	150425035	150425391	323	4	230712
MACS_peak_1039	1	150473677	150473897	323	0	48286
MACS_peak_1040	1	150505133	150505304	324	1	31236
MACS_peak_1042	1	150593920	150594384	324	0	60299
MACS_peak_1043	1	150603773	150603988	325	1	9389
MACS_peak_1045	1	150785671	150785889	325	0	68424
MACS_peak_1046	1	150894992	150895371	326	1	109103
MACS_peak_1047	1	150952025	150952278	327	1	56654
MACS_peak_1048	1	150968485	150968830	328	1	16207
MACS_peak_1050	1	151128401	151128764	328	0	55829
MACS_peak_1051	1	151168652	151169048	329	1	39888
MACS_peak_1052	1	151224219	151224519	331	2	55171
MACS_peak_1053	1	151507007	151507478	336	5	282488
MACS_peak_1059	1	151665558	151665928	336	0	16737
MACS_peak_1060	1	151861362	151861755	339	3	195434
MACS_peak_1085	1	153336576	153336710	339	0	8298
MACS_peak_1086	1	153467542	153467848	341	2	130832
MACS_peak_1087	1	153552969	153553162	342	1	85121
MACS_peak_1088	1	153709024	153709366	347	5	155862
MACS_peak_1089	1	153769823	153770100	347	0	60457
MACS_peak_1090	1	153820126	153820327	348	1	50026
MACS_peak_1092	1	153919106	153919309	348	0	42312
MACS_peak_1093	1	154098131	154098386	351	3	178822
MACS_peak_1094	1	154161482	154161953	351	0	63096
MACS_peak_1095	1	154452370	154452554	353	2	290417
MACS_peak_1096	1	154506754	154507104	355	2	54200
MACS_peak_1097	1	154916341	154916637	356	1	409237
MACS_peak_1098	1	154971562	154971901	357	1	54925
MACS_peak_1099	1	155034049	155034386	358	1	62148
MACS_peak_1100	1	155058598	155058811	358	0	24212
MACS_peak_1101	1	155133627	155133957	360	2	74816
MACS_peak_1102	1	155163342	155163570	361	1	29385
MACS_peak_1104	1	155247041	155247303	361	0	26226
MACS_peak_1105	1	155464126	155464366	365	4	216823
MACS_peak_1107	1	155603648	155603958	365	0	5633
MACS_peak_1108	1	155807300	155807466	369	4	203342
MACS_peak_1110	1	156036061	156036379	369	0	76573
MACS_peak_1111	1	156115800	156116185	371	2	79421
MACS_peak_1113	1	156162046	156162264	371	0	8351
MACS_peak_1114	1	156287317	156287644	372	1	125053
MACS_peak_1115	1	156289474	156289747	372	0	1830
MACS_peak_1116	1	156415702	156415933	373	1	125955
MACS_peak_1117	1	156444429	156444625	373	0	28496
MACS_peak_1118	1	156553879	156554049	374	1	109254
MACS_peak_1119	1	156689534	156689669	374	0	135485
MACS_peak_1120	1	157133508	157133671	378	4	443839
MACS_peak_1132	1	158278164	158278488	378	0	182881
MACS_peak_1133	1	158357613	158358017	379	1	79125
MACS_peak_1136	1	158732346	158732787	379	0	473
MACS_peak_1137	1	158837159	158837452	380	1	104372
MACS_peak_1141	1	158926429	158927015	380	0	1652
MACS_peak_1142	1	159085368	159085882	381	1	158353
MACS_peak_1146	1	159181437	159181677	381	0	13370
MACS_peak_1147	1	159235105	159235454	382	1	53428
MACS_peak_1148	1	159301565	159301952	383	1	66111
MACS_peak_1155	1	159731837	159732358	383	0	26031
MACS_peak_1156	1	160289703	160289835	387	4	557345
MACS_peak_1160	1	160696687	160696856	387	0	28054
MACS_peak_1161	1	160758371	160758676	388	1	61515
MACS_peak_1163	1	160960174	160960351	388	0	5555
MACS_peak_1164	1	161041628	161041950	389	1	81277
MACS_peak_1165	1	161067431	161067747	389	0	25481
MACS_peak_1166	1	161261285	161261711	394	5	193538
MACS_peak_1167	1	161351856	161352218	395	1	90145
MACS_peak_1172	1	162035602	162035736	395	0	595544
MACS_peak_1173	1	162200018	162200274	396	1	164282
MACS_peak_1174	1	162361997	162362236	396	0	161723
MACS_peak_1175	1	162558807	162559171	398	2	196571
MACS_peak_1181	1	163232208	163232608	398	0	91095
MACS_peak_1182	1	163285666	163286005	399	1	53058
MACS_peak_1197	1	165721629	165721780	399	0	34206
MACS_peak_1198	1	165933711	165933966	400	1	211931
MACS_peak_1210	1	166709054	166709441	400	0	31580
MACS_peak_1211	1	166912618	166912868	402	2	203177
MACS_peak_1218	1	167855439	167855822	402	0	82539
MACS_peak_1219	1	168318114	168318527	404	2	462292
MACS_peak_1232	1	169435557	169435806	404	0	110959
MACS_peak_1233	1	169663412	169663750	405	1	227606
MACS_peak_1265	1	173699379	173699562	405	0	867
MACS_peak_1266	1	173943105	173943455	406	1	243543
MACS_peak_1286	1	174956105	174956397	406	0	39527
MACS_peak_1287	1	175011766	175011961	407	1	55369
MACS_peak_1368	1	182753777	182753988	407	0	188713
MACS_peak_1369	1	182931700	182932001	408	1	177712
MACS_peak_1465	1	192579220	192579613	408	0	77452
MACS_peak_1466	1	192764919	192765142	409	1	185306
MACS_peak_1467	1	192834846	192834979	409	0	69704
MACS_peak_1468	1	193130704	193131480	411	2	295725
MACS_peak_1503	1	196850556	196850870	411	0	3818
MACS_peak_1504	1	197149442	197149884	412	1	298572
MACS_peak_1508	1	197495945	197496264	412	0	126483
MACS_peak_1509	1	197584278	197584552	413	1	88014
MACS_peak_1514	1	197708757	197708964	413	0	25634
MACS_peak_1515	1	198219592	198220026	414	1	510628
MACS_peak_1552	1	201571677	201572019	414	0	42663
MACS_peak_1553	1	202032761	202033044	415	1	460742
MACS_peak_1569	1	202821405	202821807	415	0	132280
MACS_peak_1570	1	202939972	202940105	416	1	118165
MACS_peak_1592	1	203720928	203721165	416	0	138925
MACS_peak_1593	1	203799947	203800194	419	3	78782
MACS_peak_1595	1	203840182	203840399	419	0	9439
MACS_peak_1596	1	203887648	203887996	420	1	47249
MACS_peak_1614	1	205030755	205031098	420	0	85640
MACS_peak_1615	1	205091355	205091620	421	1	60257
MACS_peak_1632	1	205876917	205877248	421	0	55325
MACS_peak_1633	1	206107717	206108056	422	1	230469
MACS_peak_1635	1	206166307	206166799	422	0	561
MACS_peak_1636	1	206308780	206309092	423	1	141981
MACS_peak_1638	1	206558245	206558586	423	0	52949
MACS_peak_1639	1	206652885	206653170	424	1	94299
MACS_peak_1640	1	206696656	206697533	425	1	43486
MACS_peak_1644	1	206780271	206780802	425	0	22947
MACS_peak_1645	1	206907898	206908219	427	2	127096
MACS_peak_1647	1	206933463	206933604	427	0	20848
MACS_peak_1648	1	207038282	207038596	429	2	104678
MACS_peak_1649	1	207084495	207084814	430	1	45899
MACS_peak_1661	1	207872323	207872628	430	0	44350
MACS_peak_1662	1	207892326	207892687	431	1	19698
MACS_peak_1669	1	209457410	209457641	431	0	2274
MACS_peak_1670	1	209899613	209899925	434	3	441972
MACS_peak_1676	1	211123397	211123577	434	0	501458
MACS_peak_1677	1	212243994	212244338	436	2	1120417
MACS_peak_1678	1	212629260	212629572	437	1	384922
MACS_peak_1679	1	212803467	212803704	438	1	173895
MACS_peak_1680	1	213248078	213248351	439	1	444374
MACS_peak_1683	1	213547737	213547907	439	0	28927
MACS_peak_1684	1	215007319	215007632	440	1	1459412
MACS_peak_1709	1	217105948	217106080	440	0	56810
MACS_peak_1710	1	217730644	217730856	442	2	624564
MACS_peak_1730	1	219590101	219590468	442	0	167945
MACS_peak_1731	1	219978667	219978842	443	1	388199
MACS_peak_1735	1	220039768	220040127	443	0	504
MACS_peak_1736	1	220095437	220095641	444	1	55310
MACS_peak_1737	1	220133549	220134449	444	0	37908
MACS_peak_1738	1	220164333	220164639	445	1	29884
MACS_peak_1743	1	220644347	220644640	445	0	252059
MACS_peak_1744	1	220948598	220948924	447	2	303958
MACS_peak_1746	1	221557399	221557747	447	0	573616
MACS_peak_1747	1	221717216	221717450	448	1	159469
MACS_peak_1754	1	222650989	222651226	448	0	81028
MACS_peak_1755	1	223046359	223046762	449	1	395133
MACS_peak_1767	1	224095839	224096065	449	0	7716
MACS_peak_1768	1	224124837	224125285	450	1	28772
MACS_peak_1769	1	224200201	224200732	451	1	74916
MACS_peak_1772	1	224204050	224204296	451	0	835
MACS_peak_1773	1	224289168	224289547	452	1	84872
MACS_peak_1774	1	224358410	224358644	452	0	68863
MACS_peak_1775	1	224560120	224560478	453	1	201476
MACS_peak_1783	1	225741985	225742202	453	0	167461
MACS_peak_1784	1	226153464	226153722	455	2	411262
MACS_peak_1785	1	226252552	226252896	455	0	98830
MACS_peak_1786	1	226521158	226521559	456	1	268262
MACS_peak_1787	1	226898971	226899269	457	1	377412
MACS_peak_1789	1	227395378	227395944	457	0	280060
MACS_peak_1790	1	227743150	227743491	459	2	347206
MACS_peak_1791	1	228134371	228134607	462	3	390880
MACS_peak_1793	1	228318738	228319014	462	0	163873
MACS_peak_1794	1	228581193	228581464	467	5	262179
MACS_peak_1817	1	229363359	229363566	467	0	66359
MACS_peak_1818	1	229589060	229589283	468	1	225494
MACS_peak_1819	1	229811479	229811805	470	2	222196
MACS_peak_1822	1	230738887	230739222	470	0	305093
MACS_peak_1823	1	231007705	231007854	471	1	268483
MACS_peak_1824	1	231188015	231188410	471	0	180161
MACS_peak_1825	1	231257581	231257985	472	1	69171
MACS_peak_1826	1	231892534	231892830	475	3	634549
MACS_peak_1833	1	234462451	234462597	475	0	731927
MACS_peak_1834	1	235161638	235161903	477	2	699041
MACS_peak_1835	1	235257167	235257483	477	0	95264
MACS_peak_1836	1	235516997	235517308	478	1	259514
MACS_peak_1839	1	235580501	235580727	478	0	1495
MACS_peak_1840	1	236198543	236198997	479	1	617816
MACS_peak_1841	1	236761311	236761547	482	3	562314
MACS_peak_1855	1	241407897	241408137	482	0	579846
MACS_peak_1856	1	241790877	241791093	483	1	382740
MACS_peak_1882	1	246175492	246175874	483	0	103201
MACS_peak_1883	1	246695905	246696118	484	1	520031
MACS_peak_1884	1	246852852	246853073	485	1	156734
MACS_peak_1888	1	247288617	247288756	485	0	120338
MACS_peak_1889	1	247739837	247740116	486	1	451081
MACS_peak_1890	1	247828026	247828280	486	0	87910
MACS_peak_1891	1	247964827	247965736	488	2	136547
MACS_peak_1899	1	248778036	248778241	488	0	443889
MACS_peak_1900	1	248840435	248840826	490	2	62194
MACS_peak_1902	1	249218897	249219241	490	0	57470
MACS_peak_9840	2	18713	19110	0	0	18713
MACS_peak_9841	2	246511	246781	0	0	227401
MACS_peak_9842	2	530911	531084	1	1	284130
MACS_peak_9859	2	3466085	3466544	1	0	52430
MACS_peak_9860	2	4006763	4007116	2	1	540219
MACS_peak_9873	2	6791613	6791991	2	0	1025601
MACS_peak_9874	2	7037312	7037594	4	2	245321
MACS_peak_9885	2	9181968	9182479	4	0	68785
MACS_peak_9886	2	9535615	9535778	5	1	353136
MACS_peak_9889	2	10071174	10071629	5	0	373056
MACS_peak_9890	2	10188710	10189134	6	1	117081
MACS_peak_9891	2	10237548	10237920	6	0	48414
MACS_peak_9892	2	10808641	10808909	8	2	570721
MACS_peak_9898	2	11264656	11264974	8	0	33352
MACS_peak_9899	2	11586907	11587155	9	1	321933
MACS_peak_9930	2	15582705	15583313	9	0	282475
MACS_peak_9931	2	15606949	15607112	10	1	23636
MACS_peak_9991	2	23963200	23963457	10	0	388552
MACS_peak_9992	2	24030607	24030988	11	1	67150
MACS_peak_9993	2	24129689	24130012	12	1	98701
MACS_peak_9994	2	24131160	24131552	12	0	1148
MACS_peak_9995	2	24416484	24416979	13	1	284932
MACS_peak_9998	2	24640166	24640861	13	0	220440
MACS_peak_9999	2	25419351	25419703	14	1	778490
MACS_peak_10007	2	26185416	26186074	14	0	336869
MACS_peak_10008	2	26641347	26641695	16	2	455273
MACS_peak_10009	2	26828189	26828581	17	1	186494
MACS_peak_10010	2	27069189	27069379	18	1	240608
MACS_peak_10013	2	27321484	27321846	18	0	81439
MACS_peak_10014	2	27392738	27393021	19	1	70892
MACS_peak_10015	2	27526394	27526690	19	0	133373
MACS_peak_10016	2	27593175	27593364	21	2	66485
MACS_peak_10017	2	27844385	27844690	25	4	251021
MACS_peak_10018	2	27906426	27906736	26	1	61736
MACS_peak_10048	2	31844862	31845155	26	0	95605
MACS_peak_10049	2	32062502	32062651	27	1	217347
MACS_peak_10060	2	33425183	33425744	27	0	103812
MACS_peak_10061	2	33605185	33605343	28	1	179441
MACS_peak_10088	2	37053310	37053519	28	0	40655
MACS_peak_10089	2	37145415	37145818	29	1	91896
MACS_peak_10090	2	37623114	37623360	31	2	477296
MACS_peak_10107	2	38692979	38693200	31	0	88947
MACS_peak_10108	2	38993734	38994120	32	1	300534
MACS_peak_10131	2	42688222	42688520	32	0	51247
MACS_peak_10132	2	42788808	42789033	34	2	100288
MACS_peak_10158	2	46290121	46290401	34	0	477420
MACS_peak_10159	2	46507100	46507401	35	1	216699
MACS_peak_10160	2	46691628	46691953	36	1	184227
MACS_peak_10208	2	55138079	55138298	36	0	10824
MACS_peak_10209	2	55241194	55241377	37	1	102896
MACS_peak_10235	2	57839647	57839880	37	0	689
MACS_peak_10236	2	57986926	57987218	38	1	147046
MACS_peak_10237	2	58401995	58402437	39	1	414777
MACS_peak_10263	2	61852565	61852771	39	0	156003
MACS_peak_10264	2	62075904	62076293	40	1	223133
MACS_peak_10282	2	63771265	63771565	40	0	7345
MACS_peak_10283	2	64088816	64089114	42	2	317251
MACS_peak_10315	2	68258708	68258962	42	0	184758
MACS_peak_10316	2	68509998	68510282	43	1	251036
MACS_peak_10335	2	70044176	70044398	43	0	251401
MACS_peak_10336	2	70657044	70657366	44	1	612646
MACS_peak_10337	2	70875077	70875308	45	1	217711
MACS_peak_10338	2	71012497	71012674	48	3	137189
MACS_peak_10339	2	71088956	71089186	48	0	76282
MACS_peak_10340	2	71204533	71204845	50	2	115347
MACS_peak_10353	2	72833057	72833315	50	0	25909
MACS_peak_10354	2	72972954	72973233	51	1	139639
MACS_peak_10355	2	72998063	72998254	51	0	24830
MACS_peak_10356	2	73115036	73115258	52	1	116782
