gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
GCLC	0	"glutamate-cysteine ligase, catalytic subunit"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FGF1	0	"fibroblast growth factor 1 (acidic)"	chr5	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM86B	0	"transmembrane protein 86B"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZFAND6	0	"zinc finger, AN1-type domain 6"	chr15	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CAMK2D	0	"calcium/calmodulin-dependent protein kinase II delta"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RRAD	0	"Ras-related associated with diabetes"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RNF145	0	"ring finger protein 145"	chr5	12	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RET	0	"ret proto-oncogene"	chr10	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDC14B	0	"cell division cycle 14B"	chr9	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLAU	0	"plasminogen activator, urokinase"	chr10	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TK2	0	"thymidine kinase 2, mitochondrial"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OARD1	0	"O-acyl-ADP-ribose deacylase 1"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
USP36	0	"ubiquitin specific peptidase 36"	chr17	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MAP4K4	0	"mitogen-activated protein kinase kinase kinase kinase 4"	chr2	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CTCF	1	"CCCTC-binding factor (zinc finger protein)"	chr16	2	"Kulakovskiy 2013"	298	"Homo sapiens"	0.00001
PEMT	0	"phosphatidylethanolamine N-methyltransferase"	chr17	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SHOX2	0	"short stature homeobox 2"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EN2	0	"engrailed homeobox 2"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C2orf74	0	"chromosome 2 open reading frame 74"	chr2	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
THOC7	0	"THO complex 7"	chr3	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ELMSAN1	0	"ELM2 and Myb/SANT-like domain containing 1"	chr14	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RCAN3	0	"RCAN family member 3"	chr1	15	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CTCFL	0	"CCCTC-binding factor (zinc finger protein)-like"	chr20	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FGF5	0	"fibroblast growth factor 5"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PKD1	0	"polycystic kidney disease 1 (autosomal dominant)"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CEP170B	0	"centrosomal protein 170B"	chr14	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NEDD4L	0	"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"	chr18	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RASSF7	0	"Ras association (RalGDS/AF-6) domain family (N-terminal) member 7"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KDM3A	0	"lysine (K)-specific demethylase 3A"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ERBB3	0	"erb-b2 receptor tyrosine kinase 3"	chr12	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MCFD2	0	"multiple coagulation factor deficiency 2"	chr2	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NR1D2	0	"nuclear receptor subfamily 1, group D, member 2"	chr3	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GTF2IRD1	0	"GTF2I repeat domain containing 1"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ATP8B3	0	"ATPase, aminophospholipid transporter, class I, type 8B, member 3"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DGKK	0	"diacylglycerol kinase, kappa"	chrX	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM178B	0	"family with sequence similarity 178, member B"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAI2	0	"retinoic acid induced 2"	chrX	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NREP	0	"neuronal regeneration related protein"	chr5	12	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NSG1	0	"neuron specific gene family member 1"	chr4	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MRPL24	0	"mitochondrial ribosomal protein L24"	chr1	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDV3	0	"CDV3 homolog (mouse)"	chr3	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MOB1B	0	"MOB kinase activator 1B"	chr4	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LEF1	0	"lymphoid enhancer-binding factor 1"	chr4	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPP1R12A	0	"protein phosphatase 1, regulatory subunit 12A"	chr12	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HARS2	0	"histidyl-tRNA synthetase 2, mitochondrial"	chr5	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ATP5G2	0	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)"	chr12	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PNPLA5	0	"patatin-like phospholipase domain containing 5"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MED12	0	"mediator complex subunit 12"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ACVR2A	0	"activin A receptor, type IIA"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDRT15	0	"CMT1A duplicated region transcript 15"	chr17	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
USP44	0	"ubiquitin specific peptidase 44"	chr12	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAB8A	0	"RAB8A, member RAS oncogene family"	chr19	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RNF38	0	"ring finger protein 38"	chr9	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ATP2C1	0	"ATPase, Ca++ transporting, type 2C, member 1"	chr3	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM99	0	"transmembrane protein 99"	chr17	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RBM43	0	"RNA binding motif protein 43"	chr2	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BTBD9	0	"BTB (POZ) domain containing 9"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SOX13	0	"SRY (sex determining region Y)-box 13"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MALT1	0	"MALT1 paracaspase"	chr18	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HAND1	1	"heart and neural crest derivatives expressed 1"	chr5	2	"Kulakovskiy 2013"	64	"Homo sapiens"	0.00001
KLF6	1	"Kruppel-like factor 6"	chr10	2	"Kulakovskiy 2013"	712	"Homo sapiens"	0.00001
DENND4A	0	"DENN/MADD domain containing 4A"	chr15	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF106	0	"zinc finger protein 106"	chr15	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MEGF10	0	"multiple EGF-like-domains 10"	chr5	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LRPAP1	0	"low density lipoprotein receptor-related protein associated protein 1"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GRAMD1B	0	"GRAM domain containing 1B"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARL4A	0	"ADP-ribosylation factor-like 4A"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KCNJ11	0	"potassium channel, inwardly rectifying subfamily J, member 11"	chr11	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM178A	0	"family with sequence similarity 178, member A"	chr10	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ETV3	0	"ets variant 3"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CPNE5	0	"copine V"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WDR4	0	"WD repeat domain 4"	chr21	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
AAK1	0	"AP2 associated kinase 1"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FST	0	follistatin	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RTN4	0	"reticulon 4"	chr2	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TTC33	0	"tetratricopeptide repeat domain 33"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MIER1	0	"mesoderm induction early response 1, transcriptional regulator"	chr1	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GABARAPL2	0	"GABA(A) receptor-associated protein like 2"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZSWIM6	0	"zinc finger, SWIM-type containing 6"	chr5	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SPECC1	0	"sperm antigen with calponin homology and coiled-coil domains 1"	chr17	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EYA4	0	"EYA transcriptional coactivator and phosphatase 4"	chr6	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MICAL1	0	"microtubule associated monooxygenase, calponin and LIM domain containing 1"	chr6	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MAN2A2	0	"mannosidase, alpha, class 2A, member 2"	chr15	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OR4D2	0	"olfactory receptor, family 4, subfamily D, member 2"	chr17	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FASTKD1	0	"FAST kinase domains 1"	chr2	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RASAL1	0	"RAS protein activator like 1 (GAP1 like)"	chr12	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HOMER3	0	"homer scaffolding protein 3"	chr19	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LRP3	0	"low density lipoprotein receptor-related protein 3"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WIZ	0	"widely interspaced zinc finger motifs"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RPS6KA2	0	"ribosomal protein S6 kinase, 90kDa, polypeptide 2"	chr6	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MSLN	0	mesothelin	chr16	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SCO2	0	"SCO2 cytochrome c oxidase assembly protein"	chr22	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TUBA8	0	"tubulin, alpha 8"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGAP25	0	"Rho GTPase activating protein 25"	chr2	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EIF3B	0	"eukaryotic translation initiation factor 3, subunit B"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ECSIT	0	"ECSIT signalling integrator"	chr19	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PANX2	0	"pannexin 2"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FBXL15	0	"F-box and leucine-rich repeat protein 15"	chr10	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MYL9	0	"myosin, light chain 9, regulatory"	chr20	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HADH	0	"hydroxyacyl-CoA dehydrogenase"	chr4	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NDRG1	0	"N-myc downstream regulated 1"	chr8	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CTSV	0	"cathepsin V"	chr9	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IRX5	0	"iroquois homeobox 5"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM120A	0	"family with sequence similarity 120A"	chr9	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PANK4	0	"pantothenate kinase 4"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRSS35	0	"protease, serine, 35"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MFAP3L	0	"microfibrillar-associated protein 3-like"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SNAP91	0	"synaptosomal-associated protein, 91kDa"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CUX1	1	"cut-like homeobox 1"	chr7	7	"Kulakovskiy 2013"	9	"Homo sapiens"	0.00001
INADL	0	"InaD-like (Drosophila)"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF274	0	"zinc finger protein 274"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FBXO3	0	"F-box protein 3"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAD52	0	"RAD52 homolog, DNA repair protein"	chr12	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PYCR2	0	"pyrroline-5-carboxylate reductase family, member 2"	chr1	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGAP20	0	"Rho GTPase activating protein 20"	chr11	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLXNA3	0	"plexin A3"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDC42BPG	0	"CDC42 binding protein kinase gamma (DMPK-like)"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CRMP1	0	"collapsin response mediator protein 1"	chr4	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SEPT4	0	"septin 4"	chr17	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COPB1	0	"coatomer protein complex, subunit beta 1"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGEF12	0	"Rho guanine nucleotide exchange factor (GEF) 12"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IRX4	0	"iroquois homeobox 4"	chr5	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EXOC3L2	0	"exocyst complex component 3-like 2"	chr19	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RPL31	0	"ribosomal protein L31"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EFCAB9	0	"EF-hand calcium binding domain 9"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KCNG3	0	"potassium channel, voltage gated modifier subfamily G, member 3"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RHBDL3	0	"rhomboid, veinlet-like 3 (Drosophila)"	chr17	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HOXA2	0	"homeobox A2"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IGSF3	0	"immunoglobulin superfamily, member 3"	chr1	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CEP63	0	"centrosomal protein 63kDa"	chr3	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FGFRL1	0	"fibroblast growth factor receptor-like 1"	chr4	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
JADE2	0	"jade family PHD finger 2"	chr5	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
QKI	0	"QKI, KH domain containing, RNA binding"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DPM3	0	"dolichyl-phosphate mannosyltransferase polypeptide 3"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NXPE3	0	"neurexophilin and PC-esterase domain family, member 3"	chr3	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ACD	0	"adrenocortical dysplasia homolog (mouse)"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRKD1	0	"protein kinase D1"	chr14	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPM1J	0	"protein phosphatase, Mg2+/Mn2+ dependent, 1J"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLK2	0	"polo-like kinase 2"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPP4R4	0	"protein phosphatase 4, regulatory subunit 4"	chr14	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PGF	0	"placental growth factor"	chr14	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PTPN2	0	"protein tyrosine phosphatase, non-receptor type 2"	chr18	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WASF1	0	"WAS protein family, member 1"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TXNRD2	0	"thioredoxin reductase 2"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MAPKAPK2	0	"mitogen-activated protein kinase-activated protein kinase 2"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MPST	0	"mercaptopyruvate sulfurtransferase"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
THBS4	0	"thrombospondin 4"	chr5	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC19A1	0	"solute carrier family 19 (folate transporter), member 1"	chr21	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RHEB	0	"Ras homolog enriched in brain"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF664	0	"zinc finger protein 664"	chr12	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ST20	0	"suppressor of tumorigenicity 20"	chr15	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF131	0	"zinc finger protein 131"	chr5	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRKAG1	0	"protein kinase, AMP-activated, gamma 1 non-catalytic subunit"	chr12	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PARP16	0	"poly (ADP-ribose) polymerase family, member 16"	chr15	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MCM7	0	"minichromosome maintenance complex component 7"	chr7	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PKNOX2	0	"PBX/knotted 1 homeobox 2"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MIER3	0	"mesoderm induction early response 1, family member 3"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SMS	0	"spermine synthase"	chrX	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBE2V2	0	"ubiquitin-conjugating enzyme E2 variant 2"	chr8	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PSMB8	0	"proteasome subunit beta 8"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SSTR3	0	"somatostatin receptor 3"	chr22	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PARVG	0	"parvin, gamma"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CLMN	0	"calmin (calponin-like, transmembrane)"	chr14	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
USP9X	0	"ubiquitin specific peptidase 9, X-linked"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HOMER1	0	"homer scaffolding protein 1"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF37A	0	"zinc finger protein 37A"	chr10	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RRAGD	0	"Ras-related GTP binding D"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
P4HA2	0	"prolyl 4-hydroxylase, alpha polypeptide II"	chr5	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ICA1	0	"islet cell autoantigen 1, 69kDa"	chr7	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PIP4K2B	0	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"	chr17	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
