gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
OR2F2	0	"olfactory receptor, family 2, subfamily F, member 2"	chr7	2	TF2DNA	0	"Homo sapiens"	0.00001
CRYGB	0	"crystallin, gamma B"	chr2	2	TF2DNA	0	"Homo sapiens"	0.00001
SAMD9	0	"sterile alpha motif domain containing 9"	chr7	2	TF2DNA	0	"Homo sapiens"	0.00001
BPIFA2	0	"BPI fold containing family A, member 2"	chr20	3	TF2DNA	0	"Homo sapiens"	0.00001
PDE6B	0	"phosphodiesterase 6B, cGMP-specific, rod, beta"	chr4	4	TF2DNA	0	"Homo sapiens"	0.00001
ACKR4	0	"atypical chemokine receptor 4"	chr3	1	TF2DNA	0	"Homo sapiens"	0.00001
PKN2	0	"protein kinase N2"	chr1	5	TF2DNA	0	"Homo sapiens"	0.00001
CYB5R1	0	"cytochrome b5 reductase 1"	chr1	4	TF2DNA	0	"Homo sapiens"	0.00001
EREG	0	epiregulin	chr4	1	TF2DNA	0	"Homo sapiens"	0.00001
XPA	0	"xeroderma pigmentosum, complementation group A"	chr9	3	TF2DNA	0	"Homo sapiens"	0.00001
FPR2	0	"formyl peptide receptor 2"	chr19	4	TF2DNA	0	"Homo sapiens"	0.00001
ABCA8	0	"ATP-binding cassette, sub-family A (ABC1), member 8"	chr17	1	TF2DNA	0	"Homo sapiens"	0.00001
MYO1H	0	"myosin IH"	chr12	2	TF2DNA	0	"Homo sapiens"	0.00001
B4GALT7	0	"xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7"	chr5	5	TF2DNA	0	"Homo sapiens"	0.00001
KRT222	0	"keratin 222, type II"	chr17	2	TF2DNA	0	"Homo sapiens"	0.00001
TMEM231	0	"transmembrane protein 231"	chr16	2	TF2DNA	0	"Homo sapiens"	0.00001
FAM163B	0	"family with sequence similarity 163, member B"	chr9	4	TF2DNA	0	"Homo sapiens"	0.00001
VWA3B	0	"von Willebrand factor A domain containing 3B"	chr2	3	TF2DNA	0	"Homo sapiens"	0.00001
DECR1	0	"2,4-dienoyl CoA reductase 1, mitochondrial"	chr8	2	TF2DNA	0	"Homo sapiens"	0.00001
MAN2A1	0	"mannosidase, alpha, class 2A, member 1"	chr5	3	TF2DNA	0	"Homo sapiens"	0.00001
ADH7	0	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	chr4	2	TF2DNA	0	"Homo sapiens"	0.00001
KRTAP19-4	0	"keratin associated protein 19-4"	chr21	3	TF2DNA	0	"Homo sapiens"	0.00001
ZNF157	0	"zinc finger protein 157"	chrX	2	TF2DNA	0	"Homo sapiens"	0.00001
KRTAP5-7	0	"keratin associated protein 5-7"	chr11	3	TF2DNA	0	"Homo sapiens"	0.00001
SLA2	0	"Src-like-adaptor 2"	chr20	2	TF2DNA	0	"Homo sapiens"	0.00001
AGGF1	0	"angiogenic factor with G patch and FHA domains 1"	chr5	4	TF2DNA	0	"Homo sapiens"	0.00001
N6AMT1	0	"N-6 adenine-specific DNA methyltransferase 1 (putative)"	chr21	2	TF2DNA	0	"Homo sapiens"	0.00001
FANCF	0	"Fanconi anemia, complementation group F"	chr11	2	TF2DNA	0	"Homo sapiens"	0.00001
TSNAX	0	"translin-associated factor X"	chr1	3	TF2DNA	0	"Homo sapiens"	0.00001
MAGEE1	0	"melanoma antigen family E1"	chrX	3	TF2DNA	0	"Homo sapiens"	0.00001
C7orf71	0	"chromosome 7 open reading frame 71"	chr7	1	TF2DNA	0	"Homo sapiens"	0.00001
KEL	0	"Kell blood group, metallo-endopeptidase"	chr7	2	TF2DNA	0	"Homo sapiens"	0.00001
CCDC182	0	"coiled-coil domain containing 182"	chr17	2	TF2DNA	0	"Homo sapiens"	0.00001
TRMT10C	0	"tRNA methyltransferase 10 homolog C (S. cerevisiae)"	chr3	1	TF2DNA	0	"Homo sapiens"	0.00001
RHOXF2B	0	"Rhox homeobox family, member 2B"	chrX	2	TF2DNA	0	"Homo sapiens"	0.00001
MTRNR2L6	0	"MT-RNR2-like 6"	chr7	1	TF2DNA	0	"Homo sapiens"	0.00001
RBMY1E	0	"RNA binding motif protein, Y-linked, family 1, member E"	chrY	3	TF2DNA	0	"Homo sapiens"	0.00001
GOLGA2	0	"golgin A2"	chr9	2	TF2DNA	0	"Homo sapiens"	0.00001
