gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
KCNIP4	0	"Kv channel interacting protein 4"	chr4	5	"Jolma 2013"	0	"Homo sapiens"	0.00001
RALGPS1	0	"Ral GEF with PH domain and SH3 binding motif 1"	chr9	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
C9orf131	0	"chromosome 9 open reading frame 131"	chr9	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
LPIN1	0	"lipin 1"	chr2	5	"Jolma 2013"	0	"Homo sapiens"	0.00001
SERPINB8	0	"serpin peptidase inhibitor, clade B (ovalbumin), member 8"	chr18	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
KIR2DL4	0	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"	chr19	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
CLCNKB	0	"chloride channel, voltage-sensitive Kb"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
PRKD1	0	"protein kinase D1"	chr14	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SPATA31A7	0	"SPATA31 subfamily A, member 7"	chr9	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
FUT7	0	"fucosyltransferase 7 (alpha (1,3) fucosyltransferase)"	chr9	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
ZNF131	0	"zinc finger protein 131"	chr5	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
MPPED2	0	"metallophosphoesterase domain containing 2"	chr11	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
PLEKHB1	0	"pleckstrin homology domain containing, family B (evectins) member 1"	chr11	6	"Jolma 2013"	0	"Homo sapiens"	0.00001
JMY	0	"junction mediating and regulatory protein, p53 cofactor"	chr5	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
DAZ1	0	"deleted in azoospermia 1"	chrY	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
HPN	0	hepsin	chr19	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SCN10A	0	"sodium channel, voltage gated, type X alpha subunit"	chr3	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
WNT8A	0	"wingless-type MMTV integration site family, member 8A"	chr5	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
ZBTB18	0	"zinc finger and BTB domain containing 18"	chr1	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
SPATA5	0	"spermatogenesis associated 5"	chr4	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SEZ6L	0	"seizure related 6 homolog (mouse)-like"	chr22	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
THG1L	0	"tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)"	chr5	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
RBFOX1	0	"RNA binding protein, fox-1 homolog (C. elegans) 1"	chr16	5	"Jolma 2013"	0	"Homo sapiens"	0.00001
IL22RA1	0	"interleukin 22 receptor, alpha 1"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
LOC441155	0	"zinc finger CCCH-type domain-containing-like"	chr6	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
TRIM72	0	"tripartite motif containing 72, E3 ubiquitin protein ligase"	chr16	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
DNAAF3	0	"dynein, axonemal, assembly factor 3"	chr19	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
LYPD5	0	"LY6/PLAUR domain containing 5"	chr19	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
TMEM56-RWDD3	0	"TMEM56-RWDD3 readthrough"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
PRRG1	0	"proline rich Gla (G-carboxyglutamic acid) 1"	chrX	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
CBLB	0	"Cbl proto-oncogene B, E3 ubiquitin protein ligase"	chr3	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
CCDC84	0	"coiled-coil domain containing 84"	chr11	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
YLPM1	0	"YLP motif containing 1"	chr14	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
BIN3	0	"bridging integrator 3"	chr8	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
GTF2IRD2B	0	"GTF2I repeat domain containing 2B"	chr7	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
IFNB1	0	"interferon, beta 1, fibroblast"	chr9	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SMR3B	0	"submaxillary gland androgen regulated protein 3B"	chr4	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
CCDC42B	0	"coiled-coil domain containing 42B"	chr12	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
B3GALT1	0	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1"	chr2	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
PEX19	0	"peroxisomal biogenesis factor 19"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
SLC51B	0	"solute carrier family 51, beta subunit"	chr15	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
ATOH7	0	"atonal bHLH transcription factor 7"	chr10	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SLC10A4	0	"solute carrier family 10, member 4"	chr4	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
C15orf43	0	"chromosome 15 open reading frame 43"	chr15	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
TRADD	0	"TNFRSF1A-associated via death domain"	chr16	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
MRPL10	0	"mitochondrial ribosomal protein L10"	chr17	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
IARS2	0	"isoleucyl-tRNA synthetase 2, mitochondrial"	chr1	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
ZNF697	0	"zinc finger protein 697"	chr1	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
PGA3	0	"pepsinogen 3, group I (pepsinogen A)"	chr11	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
UBE2N	0	"ubiquitin-conjugating enzyme E2N"	chr12	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
OPLAH	0	"5-oxoprolinase (ATP-hydrolysing)"	chr8	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
LRRC46	0	"leucine rich repeat containing 46"	chr17	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
R3HDML	0	"R3H domain containing-like"	chr20	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
EIF3E	0	"eukaryotic translation initiation factor 3, subunit E"	chr8	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
FOXO1	1	"forkhead box O1"	chr13	4	"Jolma 2013"	14	"Homo sapiens"	0.00001
