gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
VPS72	0	"vacuolar protein sorting 72 homolog (S. cerevisiae)"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NPEPL1	0	"aminopeptidase-like 1"	chr20	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OR4S2	0	"olfactory receptor, family 4, subfamily S, member 2"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRDX3	0	"peroxiredoxin 3"	chr10	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PUS7	0	"pseudouridylate synthase 7 (putative)"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BCOR	0	"BCL6 corepressor"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAG2	0	"recombination activating gene 2"	chr11	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM107B	0	"family with sequence similarity 107, member B"	chr10	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
USHBP1	0	"Usher syndrome 1C binding protein 1"	chr19	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WDR43	0	"WD repeat domain 43"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MICU1	0	"mitochondrial calcium uptake 1"	chr10	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
VRK2	0	"vaccinia related kinase 2"	chr2	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPP1R12B	0	"protein phosphatase 1, regulatory subunit 12B"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SMIM12	0	"small integral membrane protein 12"	chr1	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM181A	0	"family with sequence similarity 181, member A"	chr14	10	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GINM1	0	"glycoprotein integral membrane 1"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CCK	0	cholecystokinin	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CRHR1	0	"corticotropin releasing hormone receptor 1"	chr17	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EXOC7	0	"exocyst complex component 7"	chr17	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAB3GAP2	0	"RAB3 GTPase activating protein subunit 2 (non-catalytic)"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
AMPD3	0	"adenosine monophosphate deaminase 3"	chr11	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SIRT6	0	"sirtuin 6"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LDB1	0	"LIM domain binding 1"	chr10	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAB40C	0	"RAB40C, member RAS oncogene family"	chr16	11	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BPNT1	0	"3'(2'), 5'-bisphosphate nucleotidase 1"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TNFSF10	0	"tumor necrosis factor (ligand) superfamily, member 10"	chr3	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KLK14	0	"kallikrein-related peptidase 14"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PSMB5	0	"proteasome subunit beta 5"	chr14	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM122B	0	"family with sequence similarity 122B"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NTMT1	0	"N-terminal Xaa-Pro-Lys N-methyltransferase 1"	chr9	10	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC28A3	0	"solute carrier family 28 (concentrative nucleoside transporter), member 3"	chr9	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CES4A	0	"carboxylesterase 4A"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DOCK5	0	"dedicator of cytokinesis 5"	chr8	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GBP6	0	"guanylate binding protein family, member 6"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HOOK1	0	"hook microtubule-tethering protein 1"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CXorf58	0	"chromosome X open reading frame 58"	chrX	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EPHA1	0	"EPH receptor A1"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ANKRD9	0	"ankyrin repeat domain 9"	chr14	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RALGDS	0	"ral guanine nucleotide dissociation stimulator"	chr9	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
USP28	0	"ubiquitin specific peptidase 28"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KLHDC4	0	"kelch domain containing 4"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LEO1	0	"LEO1 homolog, Paf1/RNA polymerase II complex component"	chr15	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MOB3C	0	"MOB kinase activator 3C"	chr1	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PIH1D1	0	"PIH1 domain containing 1"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBLCP1	0	"ubiquitin-like domain containing CTD phosphatase 1"	chr5	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MBLAC2	0	"metallo-beta-lactamase domain containing 2"	chr5	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
B4GALT3	0	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FCN3	0	"ficolin (collagen/fibrinogen domain containing) 3"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LYZL6	0	"lysozyme-like 6"	chr17	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
METTL10	0	"methyltransferase like 10"	chr10	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CA5A	0	"carbonic anhydrase VA, mitochondrial"	chr16	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FOLR1	0	"folate receptor 1 (adult)"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CD19	0	"CD19 molecule"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ASPM	0	"abnormal spindle microtubule assembly"	chr1	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C10orf105	0	"chromosome 10 open reading frame 105"	chr10	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DENND6B	0	"DENN/MADD domain containing 6B"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COX19	0	"COX19 cytochrome c oxidase assembly factor"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MRPS10	0	"mitochondrial ribosomal protein S10"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IFT88	0	"intraflagellar transport 88"	chr13	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UNC93A	0	"unc-93 homolog A (C. elegans)"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TOM1	0	"target of myb1 membrane trafficking protein"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OPN1MW2	0	"opsin 1 (cone pigments), medium-wave-sensitive 2"	chrX	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KRIT1	0	"KRIT1, ankyrin repeat containing"	chr7	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SPACA4	0	"sperm acrosome associated 4"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PNPLA2	0	"patatin-like phospholipase domain containing 2"	chr11	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAPGEF3	0	"Rap guanine nucleotide exchange factor (GEF) 3"	chr12	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CD40	0	"CD40 molecule, TNF receptor superfamily member 5"	chr20	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ORC3	0	"origin recognition complex, subunit 3"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
AKR1C2	0	"aldo-keto reductase family 1, member C2"	chr10	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SMC3	0	"structural maintenance of chromosomes 3"	chr10	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PCBP3	0	"poly(rC) binding protein 3"	chr21	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
AFMID	0	arylformamidase	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SPATA45	0	"spermatogenesis associated 45"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ABAT	0	"4-aminobutyrate aminotransferase"	chr16	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HIST1H2BE	0	"histone cluster 1, H2be"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RRP1	0	"ribosomal RNA processing 1"	chr21	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SNX29	0	"sorting nexin 29"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TWF2	0	"twinfilin actin binding protein 2"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ABR	0	"active BCR-related"	chr17	11	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC2A9	0	"solute carrier family 2 (facilitated glucose transporter), member 9"	chr4	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CEP85	0	"centrosomal protein 85kDa"	chr1	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MPO	0	myeloperoxidase	chr17	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CBFA2T2	0	"core-binding factor, runt domain, alpha subunit 2; translocated to, 2"	chr20	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM133B	0	"family with sequence similarity 133, member B"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GIPC2	0	"GIPC PDZ domain containing family, member 2"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DNAJC10	0	"DnaJ (Hsp40) homolog, subfamily C, member 10"	chr2	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DBNDD1	0	"dysbindin (dystrobrevin binding protein 1) domain containing 1"	chr16	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ACTN3	0	"actinin, alpha 3 (gene/pseudogene)"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CENPA	0	"centromere protein A"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF114	0	"zinc finger protein 114"	chr19	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GALR3	0	"galanin receptor 3"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDH26	0	"cadherin 26"	chr20	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FKBP6	0	"FK506 binding protein 6, 36kDa"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLIN3	0	"perilipin 3"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SCN7A	0	"sodium channel, voltage gated, type VII alpha subunit"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IRF7	1	"interferon regulatory factor 7"	chr11	3	"Kulakovskiy 2013"	84	"Homo sapiens"	0.00001
ASMT	0	"acetylserotonin O-methyltransferase"	chrX	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRIM50	0	"tripartite motif containing 50"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FXYD1	0	"FXYD domain containing ion transport regulator 1"	chr19	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PDE4C	0	"phosphodiesterase 4C, cAMP-specific"	chr19	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ASMTL	0	"acetylserotonin O-methyltransferase-like"	chrY	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PNKD	0	"paroxysmal nonkinesigenic dyskinesia"	chr2	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RSPH10B	0	"radial spoke head 10 homolog B (Chlamydomonas)"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GPR152	0	"G protein-coupled receptor 152"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DVL3	0	"dishevelled segment polarity protein 3"	chr3	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HSPA8	0	"heat shock 70kDa protein 8"	chr11	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WDR45	0	"WD repeat domain 45"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GEMIN7	0	"gem (nuclear organelle) associated protein 7"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CNTNAP1	0	"contactin associated protein 1"	chr17	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ADAT1	0	"adenosine deaminase, tRNA-specific 1"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDKN2AIP	0	"CDKN2A interacting protein"	chr4	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRRT3	0	"proline-rich transmembrane protein 3"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UTP3	0	"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)"	chr4	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF653	0	"zinc finger protein 653"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CCDC84	0	"coiled-coil domain containing 84"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RGPD4	0	"RANBP2-like and GRIP domain containing 4"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PALB2	0	"partner and localizer of BRCA2"	chr16	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAB5C	0	"RAB5C, member RAS oncogene family"	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
VPS4A	0	"vacuolar protein sorting 4 homolog A (S. cerevisiae)"	chr16	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EPS8L1	0	"EPS8-like 1"	chr19	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CAAP1	0	"caspase activity and apoptosis inhibitor 1"	chr9	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SHPRH	0	"SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRIM38	0	"tripartite motif containing 38"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FPR2	0	"formyl peptide receptor 2"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C1orf167	0	"chromosome 1 open reading frame 167"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CHD8	0	"chromodomain helicase DNA binding protein 8"	chr14	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NUBPL	0	"nucleotide binding protein-like"	chr14	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ASAH2	0	"N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2"	chr10	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C20orf85	0	"chromosome 20 open reading frame 85"	chr20	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZRSR2	0	"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"	chrX	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRKAR2B	0	"protein kinase, cAMP-dependent, regulatory, type II, beta"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WEE1	0	"WEE1 G2 checkpoint kinase"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TNFRSF4	0	"tumor necrosis factor receptor superfamily, member 4"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CLK1	0	"CDC-like kinase 1"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C11orf80	0	"chromosome 11 open reading frame 80"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NHP2	0	"NHP2 ribonucleoprotein"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HCRTR1	0	"hypocretin (orexin) receptor 1"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RPL7L1	0	"ribosomal protein L7-like 1"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MAST3	0	"microtubule associated serine/threonine kinase 3"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ATP6V1G1	0	"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1"	chr9	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
APOE	0	"apolipoprotein E"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM236	0	"transmembrane protein 236"	chr10	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LRRC6	0	"leucine rich repeat containing 6"	chr8	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RNF113B	0	"ring finger protein 113B"	chr13	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PKD1L3	0	"polycystic kidney disease 1-like 3"	chr16	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DDTL	0	"D-dopachrome tautomerase-like"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NMRAL1	0	"NmrA-like family domain containing 1"	chr16	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HORMAD2	0	"HORMA domain containing 2"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EMX1	0	"empty spiracles homeobox 1"	chr2	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IZUMO2	0	"IZUMO family member 2"	chr19	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
