ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
hsa00630	Glyoxylate and dicarboxylate metabolism	14/366	23/2757	1.10141342316223e-07	1.6796554703224e-06	1.50719731590621e-06	ENSG00000062485/ENSG00000091140/ENSG00000100412/ENSG00000114054/ENSG00000122729/ENSG00000131069/ENSG00000135821/ENSG00000146085/ENSG00000146701/ENSG00000168237/ENSG00000175198/ENSG00000176974/ENSG00000241935/ENSG00000140905	14	60
hsa00650	Butanoate metabolism	11/366	16/2757	4.60269254543072e-07	6.60621753579467e-06	5.92792600278383e-06	ENSG00000081760/ENSG00000084754/ENSG00000087299/ENSG00000113790/ENSG00000117305/ENSG00000122971/ENSG00000127884/ENSG00000138796/ENSG00000161267/ENSG00000183044/ENSG00000083720	11	60
hsa00380	Tryptophan metabolism	10/366	14/2757	9.26033347400825e-07	1.2552896486989e-05	1.12640313601972e-05	ENSG00000084754/ENSG00000091140/ENSG00000105607/ENSG00000111275/ENSG00000113790/ENSG00000119689/ENSG00000127884/ENSG00000138796/ENSG00000181192/ENSG00000143149	10	60
hsa00062	Fatty acid elongation	10/366	15/2757	2.45186983798143e-06	3.14871705509194e-05	2.8254234144052e-05	ENSG00000084754/ENSG00000119673/ENSG00000127884/ENSG00000138029/ENSG00000138796/ENSG00000167315/ENSG00000170522/ENSG00000206527/ENSG00000012660/ENSG00000099797	10	60
hsa00410	beta-Alanine metabolism	9/366	14/2757	1.26497574192848e-05	0.000154327040515275	0.000138481554905855	ENSG00000084754/ENSG00000103150/ENSG00000111275/ENSG00000113790/ENSG00000119711/ENSG00000122971/ENSG00000127884/ENSG00000183044/ENSG00000143149	9	60
hsa00030	Pentose phosphate pathway	8/366	14/2757	0.000129854250305522	0.00150878271783559	0.00135386887536584	ENSG00000079739/ENSG00000105220/ENSG00000142657/ENSG00000160211/ENSG00000163931/ENSG00000168237/ENSG00000177156/ENSG00000130313	8	60
hsa00561	Glycerolipid metabolism	10/366	23/2757	0.000345413281613834	0.00383094730517162	0.00343760586486495	ENSG00000074416/ENSG00000111275/ENSG00000134324/ENSG00000160216/ENSG00000168237/ENSG00000169692/ENSG00000177666/ENSG00000185000/ENSG00000204310/ENSG00000143149	10	60
hsa01230	Biosynthesis of amino acids	12/366	33/2757	0.000644023465448843	0.00683224893780511	0.00613074969397525	ENSG00000062485/ENSG00000100412/ENSG00000105552/ENSG00000116761/ENSG00000122729/ENSG00000135821/ENSG00000138413/ENSG00000163931/ENSG00000166123/ENSG00000173599/ENSG00000176974/ENSG00000177156	12	60
hsa00010	Glycolysis / Gluconeogenesis	10/366	25/2757	0.00077064625189469	0.00783490356092935	0.00703045703482875	ENSG00000079739/ENSG00000091140/ENSG00000100889/ENSG00000105220/ENSG00000111275/ENSG00000131069/ENSG00000131828/ENSG00000150768/ENSG00000168291/ENSG00000143149	10	60
hsa00310	Lysine degradation	11/366	30/2757	0.00100004372918163	0.00976042679681274	0.00875827771241178	ENSG00000084754/ENSG00000091140/ENSG00000105607/ENSG00000111275/ENSG00000113790/ENSG00000119689/ENSG00000127884/ENSG00000138796/ENSG00000181192/ENSG00000008311/ENSG00000143149	11	60
hsa03010	Ribosome	20/47	69/2757	2.86782408987614e-21	2.1508680674071e-19	2.14332116190743e-19	ENSG00000118181/ENSG00000122026/ENSG00000131469/ENSG00000136942/ENSG00000140988/ENSG00000142534/ENSG00000142541/ENSG00000147403/ENSG00000149806/ENSG00000167526/ENSG00000172809/ENSG00000177954/ENSG00000182774/ENSG00000198755/ENSG00000213741/ENSG00000063177/ENSG00000125691/ENSG00000124614/ENSG00000116251/ENSG00000166441	20	69
hsa05340	Primary immunodeficiency	6/46	14/2757	4.19413777973804e-08	3.73278262396686e-06	3.22286376758818e-06	ENSG00000147168/ENSG00000167286/ENSG00000172116/ENSG00000182866/ENSG00000198851/ENSG00000153563	6	177
hsa04640	Hematopoietic cell lineage	6/46	37/2757	2.43269915380259e-05	0.00108255112344215	0.00093466862225047	ENSG00000110448/ENSG00000116824/ENSG00000167286/ENSG00000172116/ENSG00000198851/ENSG00000153563	6	177
hsa04060	Cytokine-cytokine receptor interaction	7/46	78/2757	0.0002435834851964	0.00722631006082654	0.00623915593660955	ENSG00000121807/ENSG00000139193/ENSG00000147168/ENSG00000160791/ENSG00000172215/ENSG00000196083/ENSG00000271503	7	177
hsa04514	Cell adhesion molecules (CAMs)	6/46	61/2757	0.000429815444376519	0.00956339363737754	0.00825698090512786	ENSG00000013725/ENSG00000116824/ENSG00000172116/ENSG00000005844/ENSG00000153563/ENSG00000076662	6	177
hsa04974	Protein digestion and absorption	12/245	20/2757	1.2395667712415e-08	3.12370826352858e-06	2.96191217970337e-06	ENSG00000049540/ENSG00000108821/ENSG00000130635/ENSG00000142173/ENSG00000163359/ENSG00000164692/ENSG00000168542/ENSG00000187955/ENSG00000197635/ENSG00000204262/ENSG00000206384/ENSG00000142156	12	19
hsa04270	Vascular smooth muscle contraction	9/43	43/2757	8.66982393158233e-09	8.5831256922665e-07	7.39216566798072e-07	ENSG00000065534/ENSG00000072952/ENSG00000107796/ENSG00000122786/ENSG00000145936/ENSG00000163017/ENSG00000077157/ENSG00000067560/ENSG00000101335	9	127
hsa04510	Focal adhesion	10/43	91/2757	7.29780910501086e-07	3.61241550698038e-05	3.11117125003095e-05	ENSG00000065534/ENSG00000072110/ENSG00000130402/ENSG00000131504/ENSG00000159840/ENSG00000196924/ENSG00000035403/ENSG00000077157/ENSG00000067560/ENSG00000101335	10	127
hsa04810	Regulation of actin cytoskeleton	9/43	93/2757	8.38923398297912e-06	0.000276844721438311	0.00023843086056888	ENSG00000065534/ENSG00000072110/ENSG00000100345/ENSG00000130402/ENSG00000131504/ENSG00000035403/ENSG00000077157/ENSG00000067560/ENSG00000101335	9	127
hsa04022	cGMP-PKG signaling pathway	7/43	57/2757	2.00506623415362e-05	0.000496253892953021	0.000427395697280114	ENSG00000065534/ENSG00000072952/ENSG00000145936/ENSG00000146592/ENSG00000067560/ENSG00000101335/ENSG00000006704	7	127
hsa04670	Leukocyte transendothelial migration	6/43	50/2757	9.58115322973906e-05	0.00189706833948833	0.00163383876128182	ENSG00000072110/ENSG00000130402/ENSG00000035403/ENSG00000067560/ENSG00000101335/ENSG00000213445	6	127
hsa04710	Circadian rhythm	4/31	16/2757	2.1690263605622e-05	0.00171353082484414	0.00166672551916885	ENSG00000126368/ENSG00000133794/ENSG00000213923/ENSG00000049246	4	163
hsa04110	Cell cycle	16/38	68/2757	4.307669859491e-17	2.75690871007424e-15	2.26719466289e-15	ENSG00000093009/ENSG00000117399/ENSG00000118007/ENSG00000127564/ENSG00000135476/ENSG00000145386/ENSG00000154473/ENSG00000156970/ENSG00000157456/ENSG00000158402/ENSG00000164611/ENSG00000166851/ENSG00000170312/ENSG00000085840/ENSG00000007968/ENSG00000101412	16	318
hsa04114	Oocyte meiosis	9/38	52/2757	1.58626695540152e-08	5.07605425728486e-07	4.17438672474084e-07	ENSG00000117399/ENSG00000127564/ENSG00000129810/ENSG00000135476/ENSG00000157456/ENSG00000158402/ENSG00000164611/ENSG00000166851/ENSG00000170312	9	318
hsa04914	Progesterone-mediated oocyte maturation	6/38	37/2757	7.75104786011529e-06	0.00016535568768246	0.000135983295791496	ENSG00000127564/ENSG00000145386/ENSG00000157456/ENSG00000158402/ENSG00000166851/ENSG00000170312	6	318
hsa05166	Human T-cell leukemia virus 1 infection	9/38	120/2757	2.32936405722555e-05	0.000372698249156087	0.000306495270687572	ENSG00000117399/ENSG00000135476/ENSG00000145386/ENSG00000154473/ENSG00000156970/ENSG00000157456/ENSG00000164611/ENSG00000007968/ENSG00000101412	9	318
hsa04218	Cellular senescence	6/38	80/2757	0.000649822750825737	0.00831773121056944	0.00684023948237618	ENSG00000111206/ENSG00000145386/ENSG00000157456/ENSG00000170312/ENSG00000007968/ENSG00000101412	6	318
hsa04978	Mineral absorption	5/53	18/2757	1.53702904777776e-05	0.00209035950497775	0.00187679336360232	ENSG00000125148/ENSG00000169715/ENSG00000187193/ENSG00000205364/ENSG00000205362	5	32
hsa04068	FoxO signaling pathway	8/53	72/2757	5.04665591140836e-05	0.00343172601975769	0.00308111624064932	ENSG00000111725/ENSG00000116717/ENSG00000117560/ENSG00000118515/ENSG00000118689/ENSG00000130222/ENSG00000145632/ENSG00000170989	8	32
hsa03040	Spliceosome	17/145	76/2757	1.87614390980313e-07	3.78981069780232e-05	3.78981069780232e-05	ENSG00000099783/ENSG00000100603/ENSG00000124562/ENSG00000125676/ENSG00000134186/ENSG00000140829/ENSG00000145833/ENSG00000146007/ENSG00000174243/ENSG00000175467/ENSG00000183684/ENSG00000196504/ENSG00000263465/ENSG00000116350/ENSG00000085872/ENSG00000144028/ENSG00000160799	17	45
hsa00900	Terpenoid backbone biosynthesis	7/15	15/2757	1.70183330295521e-13	3.74403326650147e-12	3.22452625823093e-12	ENSG00000110921/ENSG00000112972/ENSG00000113161/ENSG00000120437/ENSG00000160752/ENSG00000167508/ENSG00000067064	7	274
hsa00100	Steroid biosynthesis	5/15	11/2757	1.03006322928982e-09	1.1330695522188e-08	9.75849375116671e-09	ENSG00000079459/ENSG00000147155/ENSG00000160285/ENSG00000172893/ENSG00000147383	5	274
hsa04610	Complement and coagulation cascades	6/27	33/2757	4.52478114018991e-07	5.38448955682599e-05	4.42952258987012e-05	ENSG00000140678/ENSG00000159189/ENSG00000160255/ENSG00000171860/ENSG00000173369/ENSG00000173372	6	340
hsa05150	Staphylococcus aureus infection	5/27	34/2757	1.39872525686593e-05	0.000832241527835228	0.000684639204676481	ENSG00000159189/ENSG00000160255/ENSG00000171860/ENSG00000173369/ENSG00000173372	5	340
hsa05133	Pertussis	4/27	33/2757	0.000246118292992263	0.00976269228869311	0.00803122850816859	ENSG00000159189/ENSG00000160255/ENSG00000173369/ENSG00000173372	4	340
hsa05160	Hepatitis C	5/8	76/2757	7.32882732182367e-07	5.80671177496991e-06	1.35829515203975e-06	ENSG00000111331/ENSG00000111335/ENSG00000134321/ENSG00000157601/ENSG00000089127	5	4
hsa05164	Influenza A	5/8	85/2757	1.29038039443776e-06	5.80671177496991e-06	1.35829515203975e-06	ENSG00000111331/ENSG00000111335/ENSG00000134321/ENSG00000157601/ENSG00000089127	5	4
hsa05162	Measles	4/8	69/2757	2.33438253062695e-05	7.00314759188084e-05	1.63816317938733e-05	ENSG00000111331/ENSG00000111335/ENSG00000157601/ENSG00000089127	4	4
hsa05169	Epstein-Barr virus infection	4/8	111/2757	0.00015384291047234	0.000346146548562766	8.09699528801791e-05	ENSG00000111331/ENSG00000111335/ENSG00000187608/ENSG00000089127	4	4
hsa04621	NOD-like receptor signaling pathway	3/8	70/2757	0.000801487415608303	0.00144267734809495	0.000337468385519285	ENSG00000111331/ENSG00000111335/ENSG00000089127	3	4
hsa05332	Graft-versus-host disease	2/3	16/2757	9.44371180454891e-05	0.00103880829850038	0.000298222478038387	ENSG00000134539/ENSG00000180644	2	248
hsa04650	Natural killer cell mediated cytotoxicity	2/3	41/2757	0.000641403101917671	0.00352771706054719	0.00101274173987001	ENSG00000134539/ENSG00000180644	2	248
hsa03040	Spliceosome	2/3	76/2757	0.0022102063336666	0.00884082533466642	0.00232653298280695	ENSG00000125835/ENSG00000179950	2	5
hsa04976	Bile secretion	1/1	15/2757	0.00544069640914036	0.00725426187885381	NA	ENSG00000164889	1	139
hsa04970	Salivary secretion	1/1	16/2757	0.005803409503083	0.00725426187885381	NA	ENSG00000164889	1	139
hsa04971	Gastric acid secretion	1/1	17/2757	0.00616612259702598	0.00725426187885381	NA	ENSG00000164889	1	139
hsa04972	Pancreatic secretion	1/1	20/2757	0.00725426187885381	0.00725426187885381	NA	ENSG00000164889	1	139
hsa05322	Systemic lupus erythematosus	4/5	39/2757	1.69465465764278e-07	2.14508293065424e-06	1.61284430876259e-06	ENSG00000184678/ENSG00000197903/ENSG00000276180/ENSG00000180573	4	264
hsa05034	Alcoholism	4/5	45/2757	3.06440418664892e-07	2.14508293065424e-06	1.61284430876259e-06	ENSG00000184678/ENSG00000197903/ENSG00000276180/ENSG00000180573	4	264
hsa05203	Viral carcinogenesis	3/5	90/2757	0.000320970111924375	0.00149786052231375	0.0011262109190329	ENSG00000184678/ENSG00000197903/ENSG00000276180	3	264
hsa04612	Antigen processing and presentation	11/11	33/2757	1.1266513028369e-22	2.81662825709224e-21	1.18594873982831e-22	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344/ENSG00000179583/ENSG00000019582	11	316
hsa05310	Asthma	9/11	13/2757	1.56689092149337e-21	1.95861365186672e-20	8.24679432364933e-22	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05320	Autoimmune thyroid disease	9/11	16/2757	2.50209424309092e-20	1.25104712154546e-19	5.26756682755983e-21	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05330	Allograft rejection	9/11	16/2757	2.50209424309092e-20	1.25104712154546e-19	5.26756682755983e-21	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05332	Graft-versus-host disease	9/11	16/2757	2.50209424309092e-20	1.25104712154546e-19	5.26756682755983e-21	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa04940	Type I diabetes mellitus	9/11	17/2757	5.31345962681122e-20	2.21394151117134e-19	9.32185899440565e-21	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
